Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0998987,0.0998987,0.0998987,0,***,***,***,0,0,1.15664,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.0170444,0.020997,0.0196795,0.00228201,143.196,148.945,143.196,0,0,0.194345,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.0171724,0.032984,0.0224429,0.00912883,35.6949,37.3339,35.6949,0,0,0.194345,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0229574,0.0308631,0.0269103,0.00395285,82.058,86.5965,82.058,0,0,0.194345,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00357717,0.000374525,-0.000942706,0.00228151,145.964,145.964,146.24,0,0,0.194345,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",0.00754197,0.0154456,0.0101765,0.00456315,72.3056,73.7923,72.3056,0,0,0.194345,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",0.00131527,0.00526719,0.00394988,0.00228164,145.516,146.671,145.516,0,0,0.194345,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.000175588,0.00773055,0.00377748,0.00395307,84.0041,84.6412,84.0041,0,0,0.194345,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.0138996,0.021806,0.0165351,0.00456477,71.8156,74.2304,71.8156,0,0,0.194345,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.0120864,0.0160382,0.0134037,0.00228153,144.142,148.059,144.142,0,0,0.194345,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.00460003,0.0125047,0.00986982,0.00456378,72.3181,73.7598,72.3181,0,0,0.194345,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.0100557,-0.00215829,-0.00479076,0.00455958,72.7559,72.7559,73.4563,0,0,0.194345,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0514679,0.0909409,0.0725202,0.0198677,15.561,17.9944,15.561,0,0,0.194345,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0671143,0.0671143,0.0671143,0,***,***,***,0,0,0.194345,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",731.5,831.032,797.592,57.2385,2.34346,4.64542,2.34346,0,0,0.194345,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.756358,0.758407,0.757667,0.00113649,41.7464,163.564,41.7464,0,0,0.222352,***
