Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"9759521",0,1,1,"1",1,132771,""
2,"9759522",0,1,1,"1",1,122882,""
3,"9759523",0,1,1,"2",2,126766,""
4,"9759524",0,1,1,"1",1,113758,""
5,"9759525",0,1,1,"2",2,111456,""
6,"9759526",0,1,1,"2",2,117278,""
7,"9759527",0,1,1,"1",1,108537,""
8,"9759528",0,1,1,"1",1,111448,""
9,"9759529",0,1,1,"1",1,104322,""
10,"9759530",0,1,1,"2",2,114444,""
11,"9759531",0,1,1,"2",2,110020,""
12,"9759532",0,1,1,"1",1,108162,""
13,"9759533",0,1,1,"1",1,110189,""
14,"9759534",0,1,1,"2",2,101725,""
15,"9759535",0,1,1,"1",1,107396,""
16,"9759536",0,1,1,"1",1,107593,""
