Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0143661,0.0189067,0.0163822,0.00159825,-13.2682,-13.2682,21.6107,7,7,0,1.35059,***
"supply_short_HT","supply_short_HT_vcs_pll",221102,"Parametric","",-1,1,"mA",0.131737,0.18312,0.154888,0.0175919,16.0133,21.883,16.0133,7,0,0,0.189548,***
"supply_short_HT","supply_short_HT_vcs_pm_1",221103,"Parametric","",-1,1,"mA",0.163304,0.214693,0.183069,0.0170788,15.9443,23.0904,15.9443,7,0,0,0.189548,***
"supply_short_HT","supply_short_HT_vcs_pm_2",221104,"Parametric","",-1,1,"mA",0.169934,0.22132,0.195909,0.0193453,13.8551,20.6064,13.8551,7,0,0,0.189548,***
"supply_short_HT","supply_short_HT_vcsio_pll",221107,"Parametric","",-1,2,"mA",0.0260694,0.0339723,0.0294563,0.00355527,96.5194,96.5194,184.754,7,0,0,0.189548,***
"supply_short_HT","supply_short_HT_vcsio_ts",221108,"Parametric","",-1,1,"mA",0.022957,0.0308606,0.0280379,0.00375893,86.1913,91.1639,86.1913,7,0,0,0.189548,***
"supply_short_HT","supply_short_HT_vcsio_vs_1",221109,"Parametric","",-1,1,"mA",0.0156047,0.0274608,0.0201213,0.00422489,77.31,80.485,77.31,7,0,0,0.189548,***
"supply_short_HT","supply_short_HT_vcsio_vs_2",221110,"Parametric","",-1,1,"mA",0.022241,0.0341002,0.0273235,0.00495544,65.4282,69.1041,65.4282,7,0,0,0.189548,***
"supply_short_HT","supply_short_HT_vdd_io_clk",221105,"Parametric","",-1,1,"mA",0.0974009,0.144837,0.117731,0.014331,20.5212,25.9979,20.5212,7,0,0,0.189548,***
"supply_short_HT","supply_short_HT_vdd_pll",221106,"Parametric","",-1,1,"mA",0.0933153,0.132831,0.110815,0.0126733,23.3873,29.2166,23.3873,7,0,0,0.189548,***
"supply_short_HT","supply_short_HT_vddio_io_clk",221111,"Parametric","",-1,1,"mA",0.019382,0.019382,0.019382,0,***,***,***,7,0,0,0.189548,***
"supply_short_HT","supply_short_HT_vddio_pll",221112,"Parametric","",-1,1,"mA",-0.00276301,0.00513449,0.00118574,0.00394875,84.3149,84.515,84.3149,7,0,0,0.189548,***
"supply_short_HT","supply_short_HT_vddio_rx",221113,"Parametric","",-1,2,"mA",0.875325,1.23057,1.00333,0.139459,2.38223,4.78833,2.38223,7,0,0,0.189548,***
"supply_short_HT","supply_short_HT_vddio_tx",221114,"Parametric","",-1,2,"mA",0.733523,1.28638,0.953536,0.180758,1.92977,3.60248,1.92977,7,0,0,0.189548,***
"supply_short_HT","supply_short_HT_vdd_core",221101,"Parametric","",-1,7500,"mA",4197.99,5602.04,4889.16,529.313,1.64417,3.07956,1.64417,7,0,0,0.189548,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.669642,0.672318,0.670577,0.00106011,72.1382,147.965,72.1382,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.669414,0.671976,0.670325,0.00102021,55.6505,55.6505,75.0421,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.670121,0.672285,0.670967,0.000863459,66.0007,66.0007,88.4169,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.670887,0.672995,0.67162,0.000842035,67.9384,67.9384,90.4081,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.669528,0.67209,0.670414,0.00104427,54.3968,54.3968,73.2844,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.670252,0.672299,0.671008,0.0008219,69.3546,69.3546,92.8711,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.231615,0.247151,0.238786,0.00568289,2.275,2.275,9.45612,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.670511,0.672673,0.671292,0.000881829,64.7486,64.7486,86.4523,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.671008,0.673056,0.671748,0.000831618,68.8408,68.8408,91.4893,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.230306,0.245497,0.238035,0.00527618,2.40296,2.40296,10.2324,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.231605,0.245148,0.238116,0.00526452,2.41342,2.41342,10.25,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.669926,0.672147,0.670764,0.00088435,64.3652,64.3652,86.4047,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"Parametric","",0.5,0.9,"V",0.670568,0.672673,0.67134,0.000848815,67.2861,67.2861,89.7956,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"Parametric","",0.5,0.9,"V",0.670857,0.672848,0.671523,0.000821618,69.5877,69.5877,92.6937,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"Parametric","",0.2,0.4,"V",0.23177,0.246224,0.237989,0.00524747,2.41316,2.41316,10.2914,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"Parametric","",0.5,0.9,"V",0.6715,0.673549,0.672166,0.000841592,68.1908,68.1908,90.2392,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"Parametric","",0.5,0.9,"V",0.671577,0.673568,0.672268,0.000806835,71.1702,71.1702,94.0845,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"Parametric","",0.2,0.4,"V",0.233104,0.249661,0.240241,0.00623851,2.15012,2.15012,8.53619,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"Parametric","",0.5,0.9,"V",0.671204,0.673194,0.671943,0.000795309,72.0654,72.0654,95.5842,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"Parametric","",0.2,0.4,"V",0.231419,0.248324,0.238648,0.00607329,2.12118,2.12118,8.85584,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"Parametric","",0.2,0.4,"V",0.23208,0.248466,0.239322,0.0059258,2.21192,2.21192,9.03832,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_7",110022,"Parametric","",0.2,0.4,"V",0.231553,0.247146,0.238122,0.00571743,2.22255,2.22255,9.43771,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_2",110023,"Parametric","",0.5,0.9,"V",0.671421,0.673413,0.672112,0.000792979,72.3485,72.3485,95.7939,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_15",110024,"Parametric","",0.5,0.9,"V",0.670149,0.672482,0.671043,0.000911645,62.5401,62.5401,83.7156,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_pmon_d_clk0_pad_o",110025,"Parametric","",0.2,0.4,"V",0.233569,0.246028,0.23912,0.00499099,2.61269,2.61269,10.7447,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_18",110026,"Parametric","",0.2,0.4,"V",0.231557,0.248114,0.238247,0.0061507,2.07275,2.07275,8.76612,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_8",110027,"Parametric","",0.2,0.4,"V",0.231731,0.247199,0.238352,0.00548036,2.33269,2.33269,9.83195,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_14",110028,"Parametric","",0.2,0.4,"V",0.230316,0.245849,0.238103,0.00531907,2.38782,2.38782,10.1457,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_20",110029,"Parametric","",0.5,0.9,"V",0.669187,0.671462,0.670072,0.000894329,63.3892,63.3892,85.6984,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_rstn_pad_i",110030,"Parametric","",0.5,0.9,"V",0.670976,0.67308,0.671732,0.000859194,66.625,66.625,88.5591,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_12",110031,"Parametric","",0.2,0.4,"V",0.231582,0.246956,0.23826,0.00577996,2.20649,2.20649,9.32761,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_24",110032,"Parametric","",0.5,0.9,"V",0.669806,0.672139,0.670676,0.000925176,61.4931,61.4931,82.6237,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_shiftwr_pad_i",110033,"Parametric","",0.5,0.9,"V",0.671162,0.673266,0.671917,0.000840839,68.1531,68.1531,90.4186,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_wrstn_pad_i",110034,"Parametric","",0.5,0.9,"V",0.671249,0.673297,0.671989,0.0008153,70.3171,70.3171,93.2219,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_12",110035,"Parametric","",0.5,0.9,"V",0.670283,0.67256,0.671129,0.000885663,64.407,64.407,86.1393,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_12",110036,"Parametric","",0.5,0.9,"V",0.670096,0.672315,0.670998,0.000866245,65.8005,65.8005,88.1205,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_1",110037,"Parametric","",0.5,0.9,"V",0.669877,0.672268,0.67078,0.000939449,60.5958,60.5958,81.3313,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_lpg2_pad_i",110038,"Parametric","",0.5,0.9,"V",0.668931,0.671433,0.669889,0.000980766,57.7403,57.7403,78.2079,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_clk_pad_i",110039,"Parametric","",0.5,0.9,"V",0.669395,0.672012,0.670281,0.00106545,53.2733,53.2733,71.869,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_10",110040,"Parametric","",0.2,0.4,"V",0.23139,0.247426,0.238149,0.005922,2.14729,2.14729,9.11016,7,0,0,0.198077,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_14",110041,"Parametric","",0.2,0.4,"V",0.231468,0.247753,0.238781,0.00568573,2.27358,2.27358,9.45168,7,0,0,0.198077,***
