Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0143661,0.0185385,0.0157621,0.00133295,-16.0641,-16.0641,26.0669,8,8,0,1.00749,***
"supply_short_HT","supply_short_HT_vcs_pll",221102,"Parametric","",-1,1,"mA",0.108022,0.163357,0.127291,0.0200916,14.4788,18.7025,14.4788,8,0,0,0.182541,***
"supply_short_HT","supply_short_HT_vcs_pm_1",221103,"Parametric","",-1,1,"mA",0.139586,0.183069,0.158857,0.0140853,19.906,27.4248,19.906,8,0,0,0.182541,***
"supply_short_HT","supply_short_HT_vcs_pm_2",221104,"Parametric","",-1,1,"mA",0.146218,0.22132,0.175863,0.0263894,10.41,14.8527,10.41,8,0,0,0.182541,***
"supply_short_HT","supply_short_HT_vcsio_pll",221107,"Parametric","",-1,2,"mA",0.014215,0.0260694,0.0201422,0.00472289,71.9998,71.9998,139.735,8,0,0,0.182541,***
"supply_short_HT","supply_short_HT_vcsio_ts",221108,"Parametric","",-1,1,"mA",0.00714967,0.0269088,0.0175232,0.00631497,51.8596,53.7095,51.8596,8,0,0,0.182541,***
"supply_short_HT","supply_short_HT_vcsio_vs_1",221109,"Parametric","",-1,1,"mA",0.00374863,0.0156047,0.00868866,0.00409073,80.777,82.193,80.777,8,0,0,0.182541,***
"supply_short_HT","supply_short_HT_vcsio_vs_2",221110,"Parametric","",-1,1,"mA",0.0143348,0.0301471,0.022241,0.00597649,54.5336,57.0146,54.5336,8,0,0,0.182541,***
"supply_short_HT","supply_short_HT_vdd_io_clk",221105,"Parametric","",-1,1,"mA",0.0815887,0.129025,0.0988833,0.0170273,17.6406,21.5122,17.6406,8,0,0,0.182541,***
"supply_short_HT","supply_short_HT_vdd_pll",221106,"Parametric","",-1,1,"mA",0.0775089,0.124928,0.0952911,0.0158064,19.0789,23.098,19.0789,8,0,0,0.182541,***
"supply_short_HT","supply_short_HT_vddio_io_clk",221111,"Parametric","",-1,1,"mA",0.0114773,0.019382,0.0159237,0.00329833,99.452,102.671,99.452,8,0,0,0.182541,***
"supply_short_HT","supply_short_HT_vddio_pll",221112,"Parametric","",-1,1,"mA",-0.00671175,0.00118574,-0.00375019,0.00279219,118.933,118.933,119.828,8,0,0,0.182541,***
"supply_short_HT","supply_short_HT_vddio_rx",221113,"Parametric","",-1,2,"mA",0.539812,0.855589,0.644413,0.106981,4.22376,5.12369,4.22376,8,0,0,0.182541,***
"supply_short_HT","supply_short_HT_vddio_tx",221114,"Parametric","",-1,2,"mA",0.496586,0.891481,0.634799,0.143162,3.17869,3.80642,3.17869,8,0,0,0.182541,***
"supply_short_HT","supply_short_HT_vdd_core",221101,"Parametric","",-1,7500,"mA",4196.2,5534.08,5070.16,449.734,1.80095,3.75864,1.80095,8,0,0,0.182541,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.670325,0.671293,0.670937,0.000350618,217.771,447.721,217.771,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.670154,0.671122,0.670709,0.000358453,158.746,158.746,213.223,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.670861,0.671829,0.671452,0.000341537,167.334,167.334,223.058,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.671571,0.672653,0.672105,0.000383706,149.511,149.511,197.977,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.670211,0.671179,0.670787,0.000346201,164.44,164.44,220.693,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.670878,0.671958,0.671446,0.00037728,151.476,151.476,201.931,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.234973,0.251761,0.244925,0.00557385,2.68664,2.68664,9.27396,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.671251,0.672332,0.67182,0.00039174,146.202,146.202,194.159,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.671634,0.672715,0.672217,0.00038187,150.328,150.328,198.831,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.235995,0.252551,0.24406,0.00538159,2.72906,2.72906,9.65885,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.23445,0.251465,0.244337,0.00573752,2.57588,2.57588,9.04354,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.670496,0.671521,0.671087,0.000360003,158.412,158.412,211.955,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"Parametric","",0.5,0.9,"V",0.671194,0.672332,0.671813,0.000389903,146.885,146.885,195.08,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"Parametric","",0.5,0.9,"V",0.671426,0.672507,0.672016,0.000368475,155.611,155.611,206.241,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"Parametric","",0.2,0.4,"V",0.233364,0.250663,0.243578,0.00555943,2.61287,2.61287,9.37876,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"Parametric","",0.5,0.9,"V",0.672126,0.673207,0.672681,0.000378398,152.116,152.116,200.247,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"Parametric","",0.5,0.9,"V",0.672089,0.673284,0.67275,0.000397522,144.856,144.856,190.555,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"Parametric","",0.2,0.4,"V",0.237656,0.253587,0.246098,0.00552356,2.7819,2.7819,9.28761,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"Parametric","",0.5,0.9,"V",0.671829,0.672966,0.672412,0.000390023,147.352,147.352,194.508,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"Parametric","",0.2,0.4,"V",0.233981,0.251739,0.244489,0.00575711,2.57589,2.57589,9.00399,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"Parametric","",0.2,0.4,"V",0.236575,0.252108,0.245614,0.00521203,2.91725,2.91725,9.87368,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_7",110022,"Parametric","",0.2,0.4,"V",0.23639,0.251414,0.245766,0.00571772,2.66806,2.66806,8.99159,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_2",110023,"Parametric","",0.5,0.9,"V",0.672047,0.673072,0.672602,0.000376114,152.97,152.97,201.533,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_15",110024,"Parametric","",0.5,0.9,"V",0.671003,0.67197,0.671494,0.00033583,170.219,170.219,226.808,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_pmon_d_clk0_pad_o",110025,"Parametric","",0.2,0.4,"V",0.242842,0.254846,0.248865,0.005306,3.0698,3.0698,9.49458,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_18",110026,"Parametric","",0.2,0.4,"V",0.234516,0.251357,0.24448,0.00572284,2.59077,2.59077,9.05846,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_8",110027,"Parametric","",0.2,0.4,"V",0.235371,0.251123,0.244669,0.00539844,2.75811,2.75811,9.59113,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_14",110028,"Parametric","",0.2,0.4,"V",0.235778,0.253246,0.244334,0.00570122,2.59208,2.59208,9.10132,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_20",110029,"Parametric","",0.5,0.9,"V",0.669869,0.670836,0.670452,0.000329894,172.229,172.229,231.941,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_rstn_pad_i",110030,"Parametric","",0.5,0.9,"V",0.671602,0.672796,0.672206,0.000439264,130.678,130.678,172.861,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_12",110031,"Parametric","",0.2,0.4,"V",0.235738,0.250657,0.245056,0.00525492,2.858,2.858,9.82853,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_24",110032,"Parametric","",0.5,0.9,"V",0.670602,0.671513,0.671129,0.000330234,172.735,172.735,231.019,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_shiftwr_pad_i",110033,"Parametric","",0.5,0.9,"V",0.671901,0.672925,0.67242,0.00036557,157.216,157.216,207.511,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_wrstn_pad_i",110034,"Parametric","",0.5,0.9,"V",0.671989,0.67307,0.672487,0.000365778,157.187,157.187,207.333,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_12",110035,"Parametric","",0.5,0.9,"V",0.670966,0.672047,0.671564,0.000372553,153.503,153.503,204.388,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_12",110036,"Parametric","",0.5,0.9,"V",0.670835,0.671916,0.671433,0.000368794,154.949,154.949,206.59,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_1",110037,"Parametric","",0.5,0.9,"V",0.670674,0.671585,0.671229,0.000335721,170.012,170.012,227.144,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_lpg2_pad_i",110038,"Parametric","",0.5,0.9,"V",0.669727,0.67058,0.670182,0.000320153,177.188,177.188,239.28,8,0,0,0.172333,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_clk_pad_i",110039,"Parametric","",0.5,0.9,"V",0.670021,0.670874,0.670547,0.000343487,165.506,165.506,222.671,8,0,0,0.172333,***
