Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0196405,0.0196405,0.0196405,0,***,***,***,1,0,3.34521,***
"supply_short_HT","supply_short_HT_vcs_pll",221102,"Parametric","",-1,1,"mA",0.139573,0.139573,0.139573,0,***,***,***,0,0,0.212632,***
"supply_short_HT","supply_short_HT_vcs_pm_1",221103,"Parametric","",-1,1,"mA",0.16343,0.16343,0.16343,0,***,***,***,0,0,0.212632,***
"supply_short_HT","supply_short_HT_vcs_pm_2",221104,"Parametric","",-1,1,"mA",0.173166,0.173166,0.173166,0,***,***,***,0,0,0.212632,***
"supply_short_HT","supply_short_HT_vcsio_pll",221107,"Parametric","",-1,2,"mA",0.0240847,0.0240847,0.0240847,0,***,***,***,0,0,0.212632,***
"supply_short_HT","supply_short_HT_vcsio_ts",221108,"Parametric","",-1,1,"mA",0.0312528,0.0312528,0.0312528,0,***,***,***,0,0,0.212632,***
"supply_short_HT","supply_short_HT_vcsio_vs_1",221109,"Parametric","",-1,1,"mA",0.0210749,0.0210749,0.0210749,0,***,***,***,0,0,0.212632,***
"supply_short_HT","supply_short_HT_vcsio_vs_2",221110,"Parametric","",-1,1,"mA",0.035402,0.035402,0.035402,0,***,***,***,0,0,0.212632,***
"supply_short_HT","supply_short_HT_vdd_io_clk",221105,"Parametric","",-1,1,"mA",0.104823,0.104823,0.104823,0,***,***,***,0,0,0.212632,***
"supply_short_HT","supply_short_HT_vdd_pll",221106,"Parametric","",-1,1,"mA",0.106928,0.106928,0.106928,0,***,***,***,0,0,0.212632,***
"supply_short_HT","supply_short_HT_vddio_io_clk",221111,"Parametric","",-1,1,"mA",0.0164571,0.0164571,0.0164571,0,***,***,***,0,0,0.212632,***
"supply_short_HT","supply_short_HT_vddio_pll",221112,"Parametric","",-1,1,"mA",0.0136366,0.0136366,0.0136366,0,***,***,***,0,0,0.212632,***
"supply_short_HT","supply_short_HT_vddio_rx",221113,"Parametric","",-1,1.5,"mA",1.09356,1.09356,1.09356,0,***,***,***,0,0,0.212632,***
"supply_short_HT","supply_short_HT_vddio_tx",221114,"Parametric","",-1,1.5,"mA",1.01483,1.01483,1.01483,0,***,***,***,0,0,0.212632,***
"supply_short_HT","supply_short_HT_vdd_core",221101,"Parametric","",-1,7500,"mA",3984.68,3984.68,3984.68,0,***,***,***,0,0,0.212632,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.66925,0.66925,0.66925,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.669323,0.669323,0.669323,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.669887,0.669887,0.669887,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.671139,0.671139,0.671139,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.669209,0.669209,0.669209,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.670373,0.670373,0.670373,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.233038,0.233038,0.233038,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.670397,0.670397,0.670397,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.671039,0.671039,0.671039,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.233487,0.233487,0.233487,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.231563,0.231563,0.231563,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.669607,0.669607,0.669607,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"Parametric","",0.5,0.9,"V",0.670495,0.670495,0.670495,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"Parametric","",0.5,0.9,"V",0.670815,0.670815,0.670815,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"Parametric","",0.2,0.4,"V",0.231848,0.231848,0.231848,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"Parametric","",0.5,0.9,"V",0.671083,0.671083,0.671083,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"Parametric","",0.5,0.9,"V",0.671521,0.671521,0.671521,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"Parametric","",0.2,0.4,"V",0.235253,0.235253,0.235253,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"Parametric","",0.5,0.9,"V",0.671429,0.671429,0.671429,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"Parametric","",0.2,0.4,"V",0.232729,0.232729,0.232729,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"Parametric","",0.2,0.4,"V",0.234352,0.234352,0.234352,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_7",110022,"Parametric","",0.2,0.4,"V",0.233779,0.233779,0.233779,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_2",110023,"Parametric","",0.5,0.9,"V",0.671141,0.671141,0.671141,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_15",110024,"Parametric","",0.5,0.9,"V",0.66983,0.66983,0.66983,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_pmon_d_clk0_pad_o",110025,"Parametric","",0.2,0.4,"V",0.236931,0.236931,0.236931,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_18",110026,"Parametric","",0.2,0.4,"V",0.233031,0.233031,0.233031,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_8",110027,"Parametric","",0.2,0.4,"V",0.233417,0.233417,0.233417,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_14",110028,"Parametric","",0.2,0.4,"V",0.233139,0.233139,0.233139,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_20",110029,"Parametric","",0.5,0.9,"V",0.669306,0.669306,0.669306,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_rstn_pad_i",110030,"Parametric","",0.5,0.9,"V",0.671584,0.671584,0.671584,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_12",110031,"Parametric","",0.2,0.4,"V",0.233153,0.233153,0.233153,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_24",110032,"Parametric","",0.5,0.9,"V",0.669411,0.669411,0.669411,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_shiftwr_pad_i",110033,"Parametric","",0.5,0.9,"V",0.67101,0.67101,0.67101,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_wrstn_pad_i",110034,"Parametric","",0.5,0.9,"V",0.671155,0.671155,0.671155,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_12",110035,"Parametric","",0.5,0.9,"V",0.670132,0.670132,0.670132,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_12",110036,"Parametric","",0.5,0.9,"V",0.669888,0.669888,0.669888,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_1",110037,"Parametric","",0.5,0.9,"V",0.669246,0.669246,0.669246,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_lpg2_pad_i",110038,"Parametric","",0.5,0.9,"V",0.669437,0.669437,0.669437,0,***,***,***,0,0,79.3721,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_clk_pad_i",110039,"Parametric","",0.5,0.9,"V",0.669518,0.669518,0.669518,0,***,***,***,0,0,79.3721,***
