Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0132617,0.0169432,0.014811,0.0012462,-17.4367,-17.4367,28.1359,8,8,0,1.06307,***
"supply_short_HT","supply_short_HT_vcs_pll",221102,"Parametric","",-1,1,"mA",0.127785,0.202883,0.168298,0.0309604,8.95446,12.5784,8.95446,8,0,0,0.186023,***
"supply_short_HT","supply_short_HT_vcs_pm_1",221103,"Parametric","",-1,1,"mA",0.147492,0.234458,0.201351,0.0314779,8.45723,12.7216,8.45723,8,0,0,0.186023,***
"supply_short_HT","supply_short_HT_vcs_pm_2",221104,"Parametric","",-1,1,"mA",0.17784,0.248989,0.211932,0.0274619,9.5656,14.7105,9.5656,8,0,0,0.186023,***
"supply_short_HT","supply_short_HT_vcsio_pll",221107,"Parametric","",-1,2,"mA",0.0260694,0.0418752,0.0339723,0.00633643,54.393,54.393,103.425,8,0,0,0.186023,***
"supply_short_HT","supply_short_HT_vcsio_ts",221108,"Parametric","",-1,1,"mA",0.022957,0.0348124,0.0283907,0.00514713,62.9224,66.5996,62.9224,8,0,0,0.186023,***
"supply_short_HT","supply_short_HT_vcsio_vs_1",221109,"Parametric","",-1,1,"mA",0.0116527,0.0235087,0.0185687,0.00460397,71.0569,73.7457,71.0569,8,0,0,0.186023,***
"supply_short_HT","supply_short_HT_vcsio_vs_2",221110,"Parametric","",-1,1,"mA",0.022241,0.0380533,0.0286647,0.00556548,58.1762,61.6098,58.1762,8,0,0,0.186023,***
"supply_short_HT","supply_short_HT_vdd_io_clk",221105,"Parametric","",-1,1,"mA",0.0974009,0.148791,0.125566,0.019185,15.193,19.5564,15.193,8,0,0,0.186023,***
"supply_short_HT","supply_short_HT_vdd_pll",221106,"Parametric","",-1,1,"mA",0.097267,0.148638,0.12394,0.01933,15.1071,19.3816,15.1071,8,0,0,0.186023,***
"supply_short_HT","supply_short_HT_vddio_io_clk",221111,"Parametric","",-1,1,"mA",0.0114773,0.0233343,0.0178998,0.00362085,90.4115,93.7072,90.4115,8,0,0,0.186023,***
"supply_short_HT","supply_short_HT_vddio_pll",221112,"Parametric","",-1,1,"mA",-0.00276301,0.00513449,0.000692148,0.00253063,131.628,131.81,131.628,8,0,0,0.186023,***
"supply_short_HT","supply_short_HT_vddio_rx",221113,"Parametric","",-1,2,"mA",0.970058,1.41215,1.14768,0.154497,1.83891,4.63372,1.83891,8,0,0,0.186023,***
"supply_short_HT","supply_short_HT_vddio_tx",221114,"Parametric","",-1,2,"mA",0.891481,1.32587,1.07906,0.16179,1.89741,4.28345,1.89741,8,0,0,0.186023,***
"supply_short_HT","supply_short_HT_vdd_core",221101,"Parametric","",-1,7500,"mA",4713.11,6059.93,5524.46,494.145,1.33263,3.72729,1.33263,8,0,0,0.186023,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.670382,0.671862,0.670966,0.00053727,142.098,292.197,142.098,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.67004,0.671692,0.670709,0.000597133,95.2939,95.2939,127.995,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.670747,0.672228,0.671488,0.000604276,94.5968,94.5968,126.053,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.671457,0.673279,0.672183,0.000652591,87.9485,87.9485,116.365,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.670211,0.671749,0.670845,0.000569037,100.078,100.078,134.236,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.670821,0.672584,0.671546,0.000656905,87.0475,87.0475,115.924,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.222908,0.236965,0.229979,0.00516156,1.93605,1.93605,10.9799,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.67108,0.672844,0.671841,0.000644297,88.9036,88.9036,118.04,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.671463,0.673284,0.672281,0.00064153,89.5157,89.5157,118.321,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.222511,0.236336,0.229516,0.00533298,1.84489,1.84489,10.6559,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.222329,0.236726,0.229478,0.00542204,1.81223,1.81223,10.4833,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.670439,0.671919,0.671158,0.000603957,94.4647,94.4647,126.302,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"Parametric","",0.5,0.9,"V",0.671308,0.672901,0.671941,0.000607036,94.4154,94.4154,125.231,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"Parametric","",0.5,0.9,"V",0.671369,0.673076,0.672102,0.000613079,93.5722,93.5722,123.909,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"Parametric","",0.2,0.4,"V",0.22295,0.235583,0.228918,0.00514912,1.87203,1.87203,11.0752,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"Parametric","",0.5,0.9,"V",0.671955,0.674004,0.672816,0.000709904,81.1452,81.1452,106.674,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"Parametric","",0.5,0.9,"V",0.671975,0.67408,0.672885,0.000696071,82.791,82.791,108.76,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"Parametric","",0.2,0.4,"V",0.225025,0.237599,0.231298,0.00485236,2.15,2.15,11.589,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"Parametric","",0.5,0.9,"V",0.671715,0.673649,0.672519,0.000659351,87.2163,87.2163,115.003,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"Parametric","",0.2,0.4,"V",0.223337,0.2362,0.229797,0.00507011,1.95901,1.95901,11.19,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"Parametric","",0.2,0.4,"V",0.225821,0.238054,0.230928,0.0047718,2.16044,2.16044,11.8105,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_7",110022,"Parametric","",0.2,0.4,"V",0.222789,0.237073,0.229846,0.00522855,1.90275,1.90275,10.8478,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_2",110023,"Parametric","",0.5,0.9,"V",0.67182,0.673755,0.672673,0.0006658,86.4492,86.4492,113.811,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_15",110024,"Parametric","",0.5,0.9,"V",0.670832,0.672369,0.67155,0.000613078,93.2728,93.2728,124.209,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_pmon_d_clk0_pad_o",110025,"Parametric","",0.2,0.4,"V",0.224182,0.238689,0.231542,0.00557529,1.88582,1.88582,10.0717,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_18",110026,"Parametric","",0.2,0.4,"V",0.222113,0.236621,0.229338,0.00489743,1.99684,1.99684,11.6157,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_8",110027,"Parametric","",0.2,0.4,"V",0.221495,0.236849,0.229186,0.00542933,1.79188,1.79188,10.4871,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_14",110028,"Parametric","",0.2,0.4,"V",0.221838,0.235949,0.228929,0.00535055,1.80225,1.80225,10.6575,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_20",110029,"Parametric","",0.5,0.9,"V",0.669699,0.671291,0.670438,0.000612414,92.7684,92.7684,124.949,8,0,0,0.188034,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_rstn_pad_i",110030,"Parametric","",0.5,0.9,"V",0.671488,0.673535,0.672334,0.000709811,80.9295,80.9295,106.914,8,0,0,0.188034,***
