Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0136298,0.0174341,0.0154161,0.00132613,-16.2337,-16.2337,26.288,9,9,0,1.0563,***
"supply_short_HT","supply_short_HT_vcs_pll",221102,"Parametric","",-1,1,"mA",0.139642,0.187073,0.166432,0.015407,18.0345,25.236,18.0345,9,0,0,0.186789,***
"supply_short_HT","supply_short_HT_vcs_pm_1",221103,"Parametric","",-1,1,"mA",0.151445,0.21074,0.192732,0.02007,13.4075,19.8095,13.4075,9,0,0,0.186789,***
"supply_short_HT","supply_short_HT_vcs_pm_2",221104,"Parametric","",-1,1,"mA",0.17784,0.229226,0.212097,0.0170015,15.4477,23.7645,15.4477,9,0,0,0.186789,***
"supply_short_HT","supply_short_HT_vcsio_pll",221107,"Parametric","",-1,2,"mA",0.0260694,0.0379238,0.0335332,0.0041652,82.7117,82.7117,157.373,9,0,0,0.186789,***
"supply_short_HT","supply_short_HT_vcsio_ts",221108,"Parametric","",-1,1,"mA",0.022957,0.0387643,0.0304215,0.00461046,70.0999,74.4988,70.0999,9,0,0,0.186789,***
"supply_short_HT","supply_short_HT_vcsio_vs_1",221109,"Parametric","",-1,1,"mA",0.0156047,0.0274608,0.0221914,0.00484022,67.3391,70.3957,67.3391,9,0,0,0.186789,***
"supply_short_HT","supply_short_HT_vcsio_vs_2",221110,"Parametric","",-1,1,"mA",0.0143348,0.0420063,0.0310256,0.00809603,39.895,42.4498,39.895,9,0,0,0.186789,***
"supply_short_HT","supply_short_HT_vdd_io_clk",221105,"Parametric","",-1,1,"mA",0.105307,0.136931,0.125072,0.011525,25.3052,32.54,25.3052,9,0,0,0.186789,***
"supply_short_HT","supply_short_HT_vdd_pll",221106,"Parametric","",-1,1,"mA",0.10517,0.136783,0.124489,0.0125653,23.2256,29.8305,23.2256,9,0,0,0.186789,***
"supply_short_HT","supply_short_HT_vddio_io_clk",221111,"Parametric","",-1,1,"mA",0.0154296,0.0233343,0.0202603,0.0026349,123.944,129.07,123.944,9,0,0,0.186789,***
"supply_short_HT","supply_short_HT_vddio_pll",221112,"Parametric","",-1,1,"mA",-0.00276301,0.00513449,0.000308242,0.00329062,101.267,101.329,101.267,9,0,0,0.186789,***
"supply_short_HT","supply_short_HT_vddio_rx",221113,"Parametric","",-1,2,"mA",0.997689,1.36478,1.2104,0.119471,2.20304,6.16716,2.20304,9,0,0,0.186789,***
"supply_short_HT","supply_short_HT_vddio_tx",221114,"Parametric","",-1,2,"mA",0.851992,1.32587,1.13719,0.139306,2.06454,5.11391,2.06454,9,0,0,0.186789,***
"supply_short_HT","supply_short_HT_vdd_core",221101,"Parametric","",-1,7500,"mA",4570.02,5861.39,5251.67,444.978,1.68422,3.93479,1.68422,9,0,0,0.186789,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.67004,0.671464,0.670641,0.000508665,150.301,308.416,150.301,9,0,0,0.183565,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.669699,0.671407,0.670414,0.000568023,100.004,100.004,134.728,9,0,0,0.183565,***
