Test Suite,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Value,Unit,P/F,Time,TS Time,Print To Data Log
"Device_Power_Up","vdd_core",721101,"",1,1,"vdd_core",1,"9759364",0.0243063,"V","F",1.47711,***,"061324001"
"supply_short_HT","supply_short_HT_vcs_pll",221102,"",1,1,"vcs_pll",1,"9759364",0.115927,"mA","P",0.189312,***,""
"supply_short_HT","supply_short_HT_vcs_pm_1",221103,"",1,1,"vcs_pm_1",1,"9759364",0.135633,"mA","P",0.189312,***,""
"supply_short_HT","supply_short_HT_vcs_pm_2",221104,"",1,1,"vcs_pm_2",1,"9759364",0.154123,"mA","P",0.189312,***,""
"supply_short_HT","supply_short_HT_vcsio_pll",221107,"",1,1,"vcsio_pll",1,"9759364",0.0221179,"mA","P",0.189312,***,""
"supply_short_HT","supply_short_HT_vcsio_ts",221108,"",1,1,"vcsio_ts",1,"9759364",0.022957,"mA","P",0.189312,***,""
"supply_short_HT","supply_short_HT_vcsio_vs_1",221109,"",1,1,"vcsio_vs_1",1,"9759364",0.0156047,"mA","P",0.189312,***,""
"supply_short_HT","supply_short_HT_vcsio_vs_2",221110,"",1,1,"vcsio_vs_2",1,"9759364",0.026194,"mA","P",0.189312,***,""
"supply_short_HT","supply_short_HT_vdd_io_clk",221105,"",1,1,"vdd_io_clk",1,"9759364",0.0855417,"mA","P",0.189312,***,""
"supply_short_HT","supply_short_HT_vdd_pll",221106,"",1,1,"vdd_pll",1,"9759364",0.0854121,"mA","P",0.189312,***,""
"supply_short_HT","supply_short_HT_vddio_io_clk",221111,"",1,1,"vddio_io_clk",1,"9759364",0.0233343,"mA","P",0.189312,***,""
"supply_short_HT","supply_short_HT_vddio_pll",221112,"",1,1,"vddio_pll",1,"9759364",0.00513449,"mA","P",0.189312,***,""
"supply_short_HT","supply_short_HT_vddio_rx",221113,"",1,1,"vddio_rx",1,"9759364",1.07663,"mA","P",0.189312,***,""
"supply_short_HT","supply_short_HT_vddio_tx",221114,"",1,1,"vddio_tx",1,"9759364",0.97046,"mA","P",0.189312,***,""
"supply_short_HT","supply_short_HT_vdd_core",221101,"",1,1,"vdd_core",1,"9759364",3360.92,"mA","P",0.189312,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"",1,1,"io_req_pad_size_0",1,"9759364",0.670439,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"",1,1,"io_req_pad_data_30",1,"9759364",0.670211,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"",1,1,"io_req_pad_data_13",1,"9759364",0.670975,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"",1,1,"io_req_pad_addr_5",1,"9759364",0.67197,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"",1,1,"io_req_pad_size_1",1,"9759364",0.670325,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"",1,1,"io_req_pad_addr_9",1,"9759364",0.671162,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"",1,1,"dft_scan_scan_out_pad_o_4",1,"9759364",0.242826,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"",1,1,"io_req_pad_data_8",1,"9759364",0.671478,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"",1,1,"io_req_pad_data_4",1,"9759364",0.671918,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"",1,1,"io_rsp_pad_data_30",1,"9759364",0.241002,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"",1,1,"io_rsp_pad_data_26",1,"9759364",0.241791,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"",1,1,"io_req_pad_data_18",1,"9759364",0.670724,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"",1,1,"io_req_pad_addr_8",1,"9759364",0.671535,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"",1,1,"io_req_pad_addr_4",1,"9759364",0.67171,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"",1,1,"io_rsp_pad_data_21",1,"9759364",0.242355,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"",1,1,"io_req_pad_data_1",1,"9759364",0.672467,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"",1,1,"tap_tck_pad_i",1,"9759364",0.672544,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"",1,1,"io_rsp_pad_size_1",1,"9759364",0.241639,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"",1,1,"tap_tdi_pad_i",1,"9759364",0.672113,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"",1,1,"dft_scan_scan_out_pad_o_2",1,"9759364",0.243543,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"",1,1,"io_rsp_pad_addr_valid",1,"9759364",0.239932,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_7",110022,"",1,1,"io_rsp_pad_data_7",1,"9759364",0.243902,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_2",110023,"",1,1,"io_req_pad_addr_2",1,"9759364",0.672332,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_15",110024,"",1,1,"io_req_pad_addr_15",1,"9759364",0.671173,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_pmon_d_clk0_pad_o",110025,"",1,1,"pmon_d_clk0_pad_o",1,"9759364",0.24398,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_18",110026,"",1,1,"io_rsp_pad_data_18",1,"9759364",0.242822,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_8",110027,"",1,1,"dft_scan_scan_out_pad_o_8",1,"9759364",0.24265,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_14",110028,"",1,1,"io_rsp_pad_data_14",1,"9759364",0.242947,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_20",110029,"",1,1,"io_req_pad_data_20",1,"9759364",0.669926,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_tap_rstn_pad_i",110030,"",1,1,"tap_rstn_pad_i",1,"9759364",0.671943,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_12",110031,"",1,1,"dft_scan_scan_out_pad_o_12",1,"9759364",0.243198,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_24",110032,"",1,1,"io_req_pad_addr_24",1,"9759364",0.670659,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_shiftwr_pad_i",110033,"",1,1,"dft_1500_shiftwr_pad_i",1,"9759364",0.672186,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_wrstn_pad_i",110034,"",1,1,"dft_1500_wrstn_pad_i",1,"9759364",0.67233,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_12",110035,"",1,1,"io_req_pad_addr_12",1,"9759364",0.671308,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_12",110036,"",1,1,"dft_scan_scan_in_pad_i_12",1,"9759364",0.671177,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_1",110037,"",1,1,"dft_scan_scan_in_pad_i_1",1,"9759364",0.670731,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_lpg2_pad_i",110038,"",1,1,"dft_scan_lpg2_pad_i",1,"9759364",0.669784,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_clk_pad_i",110039,"",1,1,"io_clk_pad_i",1,"9759364",0.670021,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_10",110040,"",1,1,"dft_scan_scan_out_pad_o_10",1,"9759364",0.242877,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_14",110041,"",1,1,"dft_scan_scan_out_pad_o_14",1,"9759364",0.245191,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_27",110042,"",1,1,"io_req_pad_data_27",1,"9759364",0.670117,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_selectwr_pad_i",110043,"",1,1,"dft_1500_selectwr_pad_i",1,"9759364",0.672186,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_pmbist_pmbist_mode_pad_i",110044,"",1,1,"dft_pmbist_pmbist_mode_pad_i",1,"9759364",0.671861,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_11",110045,"",1,1,"dft_scan_scan_in_pad_i_11",1,"9759364",0.67058,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_21",110046,"",1,1,"io_req_pad_addr_21",1,"9759364",0.670496,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_0",110047,"",1,1,"dft_scan_scan_in_pad_i_0",1,"9759364",0.670125,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_ss1_pad_i",110048,"",1,1,"dft_scan_ss1_pad_i",1,"9759364",0.670496,"V","P",0.207993,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_ddr_enable_pad_i",110049,"",1,1,"io_ddr_enable_pad_i",1,"9759364",0.669742,"V","P",0.207993,***,""
