Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"9759193",1,1,1,"4",4,103147,""
2,"9759194",1,1,1,"4",4,93471,""
3,"9759195",1,1,1,"4",4,87573,""
4,"9759196",1,1,0,"1111",6,1388,""
5,"9759196",1,1,1,"4",4,73918,""
6,"9759197",1,1,1,"4",4,80368,""
7,"9759198",1,1,1,"4",4,80878,""
8,"9759199",1,1,1,"4",4,99538,""
9,"9759200",1,1,0,"1111",6,1399,""
10,"9759200",1,1,1,"4",4,74924,""
11,"9759201",1,1,0,"1111",6,1391,""
12,"9759201",1,1,0,"1111",6,1384,""
13,"9759201",1,1,0,"1111",6,1385,""
14,"9759201",1,1,0,"1111",6,1388,""
15,"9759202",1,1,1,"4",4,90559,""
