Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"8363000",0,1,0,"1580",5,170089,""
2,"8363001",0,1,1,"4",4,122314,""
3,"8363002",0,1,0,"1113",6,2300,""
4,"8363002",0,1,0,"1580",5,22463,""
5,"8363003",0,1,0,"1580",5,22463,""
6,"8363004",0,1,0,"1412",5,26935,""
7,"8363005",0,1,0,"1580",5,22479,""
8,"8363006",0,1,0,"1113",6,2294,""
9,"8363006",0,1,1,"2",2,113279,""
10,"8363007",0,1,0,"1413",5,12228,""
11,"8363008",0,1,1,"2",2,116586,""
12,"8363009",0,1,0,"1580",5,22501,""
13,"8363010",0,1,0,"1580",5,22429,""
14,"8363011",0,1,0,"1412",5,26942,""
15,"8363012",0,1,0,"1580",5,22471,""
16,"8363013",0,1,0,"1441",5,14916,""
17,"8363014",0,1,0,"1580",5,22452,""
18,"8363015",0,1,1,"2",2,125736,""
19,"8363016",0,1,0,"1412",5,26952,""
20,"8363017",0,1,0,"1580",5,22449,""
21,"8363018",0,1,0,"1412",5,26928,""
22,"8363019",0,1,1,"2",2,102171,""
23,"8363020",0,1,0,"1416",5,23291,""
24,"8363021",0,1,1,"2",2,110973,""
25,"8363022",0,1,0,"1413",5,12221,""
26,"8363023",0,1,0,"1580",5,22455,""
27,"8363024",0,1,1,"2",2,101767,""
28,"8363025",0,1,0,"1580",5,22454,""
29,"8363026",0,1,1,"2",2,107880,""
30,"8363027",0,1,0,"1411",5,17730,""
31,"8363028",0,1,0,"1411",5,17719,""
32,"8363029",0,1,1,"2",2,118989,""
33,"8363030",0,1,1,"2",2,106666,""
34,"8363031",0,1,1,"4",4,78946,""
35,"8363032",0,1,0,"1412",5,26912,""
