Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.099776,0.0998987,0.0998742,4.9804e-05,133.016,133.016,134.7,0,0,1.07471,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.00913934,0.0249495,0.0156893,0.0037057,88.5404,91.3629,88.5404,0,0,0.184634,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.00926662,0.0250782,0.019883,0.00380738,85.8085,89.2899,85.8085,0,0,0.184634,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0110988,0.0229574,0.0177622,0.00392619,83.3919,86.408,83.3919,0,0,0.184634,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00752886,0.00827791,3.58085e-05,0.00375764,88.7049,88.7112,88.7049,0,0,0.184634,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",-0.000361633,0.0193974,0.00946142,0.00443086,74.5182,75.9418,74.5182,0,0,0.184634,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",-0.00263665,0.013171,0.00425098,0.00362996,91.438,92.2188,91.438,0,0,0.184634,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.00412866,0.0116836,0.00468104,0.00396302,83.7172,84.5046,83.7172,0,0,0.184634,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.0059932,0.021806,0.0127701,0.00378346,86.9776,89.2278,86.9776,0,0,0.184634,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.000231226,0.0199899,0.0120864,0.00371201,88.7134,90.8841,88.7134,0,0,0.184634,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.00064768,0.0125047,0.00663266,0.00399529,82.8782,83.985,82.8782,0,0,0.184634,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.006107,0.00968786,-0.000353159,0.00398833,83.5476,83.5476,83.6066,0,0,0.184634,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0317313,0.079099,0.0591369,0.011406,27.4962,30.9526,27.4962,0,0,0.184634,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",-0.0118621,0.106602,0.0501908,0.0258511,12.2472,13.5415,12.2472,0,0,0.184634,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",386.538,552.608,491.67,39.6624,4.13297,4.13297,5.95299,0,0,0.184634,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.760682,0.764893,0.762422,0.00086279,53.1524,217.288,53.1524,0,0,2.39453,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.7607,0.764682,0.762382,0.00087921,52.1748,99.4765,52.1748,0,0,2.39453,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.760517,0.76467,0.762329,0.000897226,51.1469,97.4593,51.1469,0,0,2.39453,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.76063,0.764784,0.762431,0.000905132,50.6624,96.6457,50.6624,0,0,2.39453,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.7607,0.76491,0.762457,0.000895038,51.2243,97.7452,51.2243,0,0,2.39453,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.760636,0.764793,0.762349,0.000898557,51.0638,97.3223,51.0638,0,0,2.39453,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.278875,0.298747,0.288236,0.00538002,5.4669,5.4669,6.92462,0,0,2.39453,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.760678,0.764836,0.762375,0.000910071,50.4081,96.1006,50.4081,0,0,2.39453,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.760752,0.764796,0.762501,0.000878266,52.1856,99.6287,52.1856,0,0,2.39453,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.277977,0.298029,0.28811,0.00585814,5.01357,5.01357,6.36661,0,0,2.39453,***
