Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"8362794",0,1,0,"1416",5,142788,""
2,"8362795",0,1,0,"1580",5,51207,""
3,"8362796",0,1,0,"1580",5,22432,""
4,"8362797",0,1,0,"1580",5,22458,""
5,"8362798",0,1,0,"1415",5,12669,""
6,"8362799",0,1,0,"1580",5,22425,""
7,"8362800",0,1,0,"1416",5,17194,""
8,"8362801",0,1,1,"4",4,93006,""
9,"8362802",0,1,1,"4",4,75725,""
10,"8362803",0,1,0,"1413",5,12161,""
11,"8362804",0,1,0,"1411",5,17701,""
12,"8362805",0,1,0,"1580",5,22433,""
13,"8362806",0,1,1,"2",2,130041,""
14,"8362807",0,1,0,"1413",5,16699,""
15,"8362808",0,1,0,"1580",5,22438,""
16,"8362809",0,1,0,"1580",5,22440,""
17,"8362810",0,1,0,"1412",5,31449,""
18,"8362811",0,1,0,"1412",5,31501,""
19,"8362812",0,1,0,"1413",5,12149,""
20,"8362813",0,1,0,"1580",5,22441,""
21,"8362814",0,1,0,"1580",5,22450,""
22,"8362815",0,1,1,"2",2,117026,""
23,"8362816",0,1,1,"2",2,112664,""
24,"8362817",0,1,0,"1416",5,17162,""
25,"8362818",0,1,0,"1580",5,22433,""
26,"8362819",0,1,1,"4",4,98665,""
