Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.099776,0.0998987,0.0998095,5.73217e-05,115.195,115.195,117.41,0,0,1.21994,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.00913934,0.0249495,0.0163258,0.00461558,71.0401,73.3981,71.0401,0,0,0.184463,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.0132195,0.0250782,0.0211253,0.0030619,106.565,111.165,106.565,0,0,0.184463,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0110988,0.0269103,0.0197233,0.00553913,58.991,61.3649,58.991,0,0,0.184463,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00357717,0.0122296,0.00360773,0.00461458,71.9742,72.4954,71.9742,0,0,0.184463,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",0.00359017,0.0154456,0.010416,0.00357454,92.2808,94.2234,92.2808,0,0,0.184463,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",0.00131527,0.013171,0.00598572,0.0038794,85.4095,86.4382,85.4095,0,0,0.184463,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.000175588,0.0116836,0.00557433,0.00369295,89.7589,90.7652,89.7589,0,0,0.184463,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.00994641,0.021806,0.0164153,0.00365441,89.7167,92.7113,89.7167,0,0,0.184463,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.00813469,0.0199899,0.0138827,0.00445815,73.7314,75.8073,73.7314,0,0,0.184463,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.00460003,0.0125047,0.00819307,0.00276921,119.385,121.358,119.385,0,0,0.184463,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.00215829,0.00573914,0.00179043,0.00353184,94.2106,94.5486,94.2106,0,0,0.184463,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0475205,0.110677,0.079099,0.0202047,15.1929,17.8028,15.1929,0,0,0.184463,***
