SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"1413","TOP_SAF4_EXT_IF_SCAN_Fail",1,2.9,1,2.9,1,0
"4","TOP ONLY",1,11.4,4,11.4,1,0
"2","Medium",1,17.1,6,17.1,1,0
"1411","TOP_SAF4_CORE_ROW_0_7_SCAN_Fail",1,5.7,2,5.7,1,0
"1580","PMBIST_Post_repair_Func_fail",1,48.6,17,48.6,1,0
"1441","TOP_SAF4_EXTEST_LOGIC_0000fce_Fail",1,2.9,1,2.9,1,0
"1407","PMBIST_POST_BURN_fail",1,2.9,1,2.9,1,0
"1161","Serial_ID_Fail",1,2.9,1,2.9,1,0
"1414","TOP_SAF4_EXTEST_SCAN_1_Fail",1,2.9,1,2.9,1,0
"1408","PMBIST_BWE_Func_fail",1,2.9,1,2.9,1,0
