Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"8362841",0,1,0,"1441",5,60413,""
2,"8362841",0,1,0,"1428",5,64824,""
3,"8362842",0,1,1,"2",2,171784,""
4,"8362844",0,1,1,"2",2,111940,""
5,"8362845",0,1,1,"2",2,118006,""
6,"8362847",0,1,1,"2",2,112336,""
7,"8362851",0,1,1,"2",2,112657,""
8,"8362852",0,1,0,"1113",6,2287,""
9,"8362852",0,1,0,"1113",6,2271,""
10,"8362852",0,1,1,"2",2,102797,""
11,"8362856",0,1,1,"2",2,102649,""
12,"8362861",0,1,1,"4",4,72488,""
13,"8362862",0,1,1,"2",2,110118,""
14,"8362864",0,1,1,"2",2,124662,""
15,"8362868",0,1,1,"2",2,109385,""
16,"8362871",0,1,1,"2",2,109774,""
17,"8362873",0,1,0,"1428",5,48752,""
18,"8362873",0,1,1,"2",2,104964,""
19,"8362874",0,1,1,"2",2,117575,""
