Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"Continuity_Direct_Neg","cont_row_even_col_even_io_req_pad_size_0",114001,"Parametric","",-0.9,-0.5,"V",-0.659608,-0.658186,-0.658778,0.000534642,98.9932,150.395,98.9932,5,0,0,4797.36,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_req_pad_data_30",114002,"Parametric","",-0.9,-0.5,"V",-0.659627,-0.658205,-0.658853,0.000522416,101.358,153.866,101.358,5,0,0,0.026,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_req_pad_data_13",114003,"Parametric","",-0.9,-0.5,"V",-0.660709,-0.659173,-0.659844,0.000559448,95.239,143.091,95.239,5,0,0,0.1352,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_req_pad_addr_5",114004,"Parametric","",-0.9,-0.5,"V",-0.661903,-0.660254,-0.660959,0.000610886,87.8282,130.434,87.8282,5,0,0,0.1802,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_req_pad_size_1",114005,"Parametric","",-0.9,-0.5,"V",-0.659665,-0.658186,-0.658789,0.000556872,95.0482,144.384,95.0482,5,0,0,0.0194,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_req_pad_addr_9",114006,"Parametric","",-0.9,-0.5,"V",-0.661386,-0.659792,-0.660464,0.000595128,89.8762,134.165,89.8762,5,0,0,0.023,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",114007,"Parametric","",-0.4,-0.2,"V",-0.2448,-0.244173,-0.244492,0.000226327,65.5281,229.031,65.5281,5,0,0,0.3576,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_req_pad_data_8",114008,"Parametric","",-0.9,-0.5,"V",-0.661385,-0.659847,-0.660542,0.000561569,95.2939,142.136,95.2939,5,0,0,0.0134,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_req_pad_data_4",114009,"Parametric","",-0.9,-0.5,"V",-0.661765,-0.660284,-0.660922,0.000551363,97.2875,144.537,97.2875,5,0,0,0.0126,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_rsp_pad_data_30",114010,"Parametric","",-0.4,-0.2,"V",-0.244576,-0.244121,-0.244314,0.000182821,80.7973,283.857,80.7973,5,0,0,0.0128,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_rsp_pad_data_26",114011,"Parametric","",-0.4,-0.2,"V",-0.244244,-0.243789,-0.243948,0.000190567,76.8724,272.96,76.8724,5,0,0,0.3116,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_req_pad_data_18",114012,"Parametric","",-0.9,-0.5,"V",-0.660537,-0.659058,-0.659673,0.000549282,96.8977,145.843,96.8977,5,0,0,0.011,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_req_pad_addr_8",114013,"Parametric","",-0.9,-0.5,"V",-0.66131,-0.659772,-0.660512,0.00055954,95.6215,142.67,95.6215,5,0,0,0.0112,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_req_pad_addr_4",114014,"Parametric","",-0.9,-0.5,"V",-0.661689,-0.66015,-0.660834,0.00056824,94.3463,140.296,94.3463,5,0,0,0.0114,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_rsp_pad_data_21",114015,"Parametric","",-0.4,-0.2,"V",-0.243782,-0.243269,-0.243497,0.000193096,75.0871,270.164,75.0871,5,0,0,0.0106,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_req_pad_data_1",114016,"Parametric","",-0.9,-0.5,"V",-0.661899,-0.660305,-0.660988,0.000597255,89.8489,133.395,89.8489,5,0,0,0.013,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_tap_tck_pad_i",114017,"Parametric","",-0.9,-0.5,"V",-0.662297,-0.660759,-0.661454,0.000560147,96.0782,141.955,96.0782,5,0,0,0.0116,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_rsp_pad_size_1",114018,"Parametric","",-0.4,-0.2,"V",-0.243886,-0.243316,-0.24351,0.000222819,65.0902,234.107,65.0902,5,0,0,0.0106,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_tap_tdi_pad_i",114019,"Parametric","",-0.9,-0.5,"V",-0.662525,-0.660931,-0.66158,0.000602169,89.4433,131.979,89.4433,5,0,0,0.0108,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",114020,"Parametric","",-0.4,-0.2,"V",-0.244372,-0.24386,-0.244099,0.000186274,78.9138,278.982,78.9138,5,0,0,0.0108,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_rsp_pad_addr_valid",114021,"Parametric","",-0.4,-0.2,"V",-0.243601,-0.243031,-0.243293,0.00021915,65.8505,238.355,65.8505,5,0,0,0.0104,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_rsp_pad_data_7",114022,"Parametric","",-0.4,-0.2,"V",-0.243889,-0.243319,-0.24357,0.000215317,67.4506,242.17,67.4506,5,0,0,0.0104,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_req_pad_addr_2",114023,"Parametric","",-0.9,-0.5,"V",-0.66195,-0.660299,-0.661028,0.000604202,88.8377,131.839,88.8377,5,0,0,0.0114,4808.65
"Continuity_Direct_Neg","cont_row_even_col_even_io_req_pad_addr_15",114024,"Parametric","",-0.9,-0.5,"V",-0.660532,-0.659052,-0.659701,0.000554455,96.0108,144.466,96.0108,5,0,0,0.0108,4808.65
