Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"8362951",0,1,0,"1113",6,5609,""
2,"8362951",0,1,0,"1113",6,2384,""
3,"8362951",0,1,1,"2",2,172137,""
4,"8362953",0,1,1,"2",2,109688,""
5,"8362955",0,1,1,"4",4,81372,""
6,"8362957",0,1,1,"4",4,75045,""
7,"8362962",0,1,1,"2",2,115549,""
8,"8362963",0,1,1,"4",4,81105,""
9,"8362964",0,1,1,"2",2,121617,""
10,"8362967",0,1,0,"1113",6,2401,""
11,"8362967",0,1,1,"2",2,112806,""
12,"8362970",0,1,1,"2",2,115689,""
13,"8362971",0,1,1,"2",2,112582,""
14,"8362972",0,1,1,"4",4,72595,""
15,"8362976",0,1,1,"4",4,76305,""
16,"8362977",0,1,1,"2",2,111035,""
