Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.099776,0.0998987,0.0998757,4.94694e-05,133.926,133.926,135.601,0,0,1.16244,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.00913934,0.020997,0.013833,0.00359914,91.3337,93.896,91.3337,0,0,0.186081,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.0132195,0.0250782,0.0186548,0.00349856,93.5,97.0548,93.5,0,0,0.186081,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.00714599,0.0190046,0.0150517,0.00433014,75.8212,78.1386,75.8212,0,0,0.186081,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00357717,0.00827791,0.00333829,0.00367882,90.3062,90.9111,90.3062,0,0,0.186081,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",0.00359017,0.0114938,0.00680101,0.00296385,111.701,113.231,111.701,0,0,0.186081,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",-0.00263665,0.013171,0.00502019,0.00394368,84.0991,84.9477,84.0991,0,0,0.186081,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.00412866,0.00773055,0.00328335,0.00349871,94.9605,95.5861,94.9605,0,0,0.186081,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.0059932,0.0178528,0.0109347,0.00338533,97.3875,99.5409,97.3875,0,0,0.186081,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.00813469,0.0199899,0.0128274,0.00387693,84.8758,87.0816,84.8758,0,0,0.186081,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.00064768,0.0125047,0.00608215,0.00349807,94.7111,95.8703,94.7111,0,0,0.186081,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.006107,0.00573914,-0.000924312,0.00344807,96.5832,96.5832,96.7619,0,0,0.186081,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0356786,0.0712044,0.0517146,0.0100346,31.5005,34.9362,31.5005,0,0,0.186081,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0276261,0.106602,0.0498382,0.0248441,12.7483,14.0857,12.7483,0,0,0.186081,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",291.259,473.25,374.761,59.7983,2.08959,2.08959,4.60012,0,0,0.186081,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.763869,0.767567,0.765394,0.00125795,35.6679,149.819,35.6679,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.763829,0.767584,0.76534,0.0012816,35.0239,69.0128,35.0239,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.763759,0.767401,0.76526,0.00123138,36.4741,71.8059,36.4741,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.763703,0.767401,0.765267,0.00122132,36.7724,72.3988,36.7724,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.763886,0.767641,0.765444,0.00126688,35.4037,69.842,35.4037,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.763711,0.767412,0.765305,0.00121424,36.9763,72.8314,36.9763,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.279445,0.288726,0.284327,0.00278529,10.092,10.092,13.8433,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.763697,0.767399,0.765288,0.00121143,37.0671,72.996,37.0671,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.763828,0.76753,0.765416,0.00123342,36.3716,71.729,36.3716,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.280256,0.289256,0.284831,0.00302678,9.34226,9.34226,12.6834,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.280988,0.289074,0.285134,0.00273656,10.37,10.37,13.9915,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.763772,0.767584,0.76539,0.00125741,35.6844,70.3536,35.6844,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"Parametric","",0.5,0.9,"V",0.763793,0.767552,0.76537,0.00124485,36.0498,71.058,36.0498,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"Parametric","",0.5,0.9,"V",0.763784,0.767486,0.765322,0.00123097,36.4694,71.8462,36.4694,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"Parametric","",0.2,0.4,"V",0.280533,0.287764,0.284747,0.00249561,11.3194,11.3194,15.3942,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"Parametric","",0.5,0.9,"V",0.763448,0.767263,0.765053,0.0012615,35.6577,70.0366,35.6577,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"Parametric","",0.5,0.9,"V",0.763679,0.767381,0.765274,0.0012207,36.7892,72.4375,36.7892,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"Parametric","",0.2,0.4,"V",0.281851,0.288573,0.285365,0.0023086,12.3256,12.3256,16.5519,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"Parametric","",0.5,0.9,"V",0.763575,0.767333,0.765198,0.00124233,36.1691,71.1558,36.1691,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"Parametric","",0.2,0.4,"V",0.280907,0.288765,0.284825,0.00276572,10.2234,10.2234,13.8812,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"Parametric","",0.2,0.4,"V",0.280155,0.288244,0.285136,0.00258619,10.9731,10.9731,14.8048,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_7",110022,"Parametric","",0.2,0.4,"V",0.280128,0.288555,0.285053,0.00306716,9.24344,9.24344,12.4922,0,0,0.178256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_2",110023,"Parametric","",0.5,0.9,"V",0.763624,0.767266,0.765196,0.00121361,37.0257,72.8395,37.0257,0,0,0.178256,***
