Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"8365600",0,1,0,"1113",6,5507,""
2,"8365600",0,1,0,"1113",6,2373,""
3,"8365600",0,1,0,"1111",6,1380,""
4,"8365600",0,1,1,"2",2,155372,""
5,"8365603",0,1,1,"2",2,118742,""
6,"8365604",0,1,1,"2",2,104254,""
7,"8365610",0,1,1,"2",2,105091,""
8,"8365611",0,1,1,"4",4,79419,""
9,"8365618",0,1,1,"2",2,110639,""
10,"8365619",0,1,1,"4",4,98534,""
11,"8365620",0,1,1,"2",2,114285,""
12,"8365623",0,1,1,"4",4,97771,""
13,"8365624",0,1,1,"2",2,103004,""
14,"8365627",0,1,0,"1113",6,2388,""
15,"8365627",0,1,0,"1113",6,2366,""
16,"8365627",0,1,1,"2",2,107063,""
17,"8365628",0,1,1,"2",2,109713,""
18,"8365629",0,1,1,"2",2,102025,""
19,"8365630",0,1,1,"2",2,103840,""
20,"8365631",0,1,1,"4",4,71152,""
