Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.099776,0.0998987,0.0998435,6.26377e-05,105.599,105.599,107.265,0,0,1.1246,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.00913934,0.020997,0.0164516,0.00411061,79.7569,82.425,79.7569,0,0,0.184917,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.0132195,0.0250782,0.0201371,0.00336272,97.1301,101.122,97.1301,0,0,0.184917,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.00714599,0.0190046,0.0150517,0.00314141,104.512,107.707,104.512,0,0,0.184917,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00357717,0.00432622,0.00156003,0.00259605,128.2,128.6,128.2,0,0,0.184917,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",-0.000361633,0.0154456,0.00852992,0.00336178,98.3079,99.9995,98.3079,0,0,0.184917,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",-0.00263665,0.00921911,0.00388402,0.00410996,80.7888,81.4188,80.7888,0,0,0.184917,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.000175588,0.0116836,0.00555636,0.00300099,110.457,111.692,110.457,0,0,0.184917,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.0059932,0.0178528,0.012516,0.00368954,89.2148,91.4763,89.2148,0,0,0.184917,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.00418296,0.0160382,0.0103081,0.00394653,83.5918,85.3331,83.5918,0,0,0.184917,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.00064768,0.0125047,0.00618096,0.00413533,80.1081,81.1045,80.1081,0,0,0.184917,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.00215829,0.00573914,0.000605815,0.0028932,115.143,115.282,115.143,0,0,0.184917,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0435732,0.0869936,0.0648887,0.00995308,31.3173,35.6636,31.3173,0,0,0.184917,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0276261,0.106602,0.0730375,0.0320931,9.62783,11.145,9.62783,0,0,0.184917,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",400.332,483.033,435.378,22.3097,6.50656,6.50656,11.4244,0,0,0.184917,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.761194,0.764665,0.763021,0.0010427,43.7898,179.988,43.7898,0,0,0.175215,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.761155,0.764682,0.763007,0.00107363,42.5328,81.6567,42.5328,0,0,0.175215,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.761029,0.764556,0.762932,0.00105881,43.1514,82.7755,43.1514,0,0,0.175215,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.761029,0.922147,0.770888,0.0356155,1.20839,2.5353,1.20839,1,0,0.175215,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.761098,0.764569,0.762961,0.00105228,43.4101,83.2989,43.4101,0,0,0.175215,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.760977,0.764451,0.762922,0.00101453,45.0381,86.3853,45.0381,0,0,0.175215,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.278704,0.300285,0.285805,0.005663,5.05061,5.05061,6.72172,0,0,0.175215,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.760962,0.764608,0.762999,0.00106811,42.755,82.0758,42.755,0,0,0.175215,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.761151,0.764739,0.763102,0.00103851,43.9407,84.4486,43.9407,0,0,0.175215,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.279515,0.299168,0.285559,0.00467823,6.09627,6.09627,8.15414,0,0,0.175215,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.279622,0.298526,0.284707,0.00462315,6.10744,6.10744,8.31275,0,0,0.175215,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.761041,0.764626,0.76299,0.00107187,42.6079,81.7854,42.6079,0,0,0.175215,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"Parametric","",0.5,0.9,"V",0.761002,0.764477,0.762959,0.00102286,44.6593,85.6936,44.6593,0,0,0.175215,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"Parametric","",0.5,0.9,"V",0.761049,0.764638,0.763,0.00106242,42.9834,82.5158,42.9834,0,0,0.175215,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"Parametric","",0.2,0.4,"V",0.280077,0.297729,0.285344,0.00444793,6.39581,6.39581,8.59243,0,0,0.175215,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"Parametric","",0.5,0.9,"V",0.760658,0.764302,0.762708,0.00105025,43.5744,83.3793,43.5744,0,0,0.175215,***
