Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"8365498",0,1,0,"1407",5,67165,""
2,"8365499",0,1,0,"1580",5,25228,""
3,"8365500",0,1,0,"1413",5,13661,""
4,"8365501",0,1,0,"1113",6,2360,""
5,"8365501",0,1,0,"1113",6,2361,""
6,"8365501",0,1,0,"1580",5,22493,""
7,"8365502",0,1,0,"1580",5,22477,""
8,"8365503",0,1,0,"1412",5,38403,""
9,"8365504",0,1,0,"1580",5,22478,""
10,"8365505",0,1,0,"1411",5,17848,""
11,"8365506",0,1,0,"1413",5,12233,""
12,"8365507",0,1,0,"1413",5,12249,""
13,"8365508",0,1,0,"1113",6,2367,""
14,"8365508",0,1,0,"1113",6,2377,""
15,"8365508",0,1,1,"2",2,139570,""
16,"8365509",0,1,0,"1001",7,1229,""
17,"8365509",0,1,0,"1001",7,1220,""
18,"8365509",0,1,0,"1001",7,1218,""
19,"8365510",0,1,0,"1580",5,22485,""
20,"8365511",0,1,0,"1113",6,2368,""
21,"8365511",0,1,0,"1580",5,22531,""
22,"8365512",0,1,0,"1413",5,16788,""
23,"8365513",0,1,0,"1131",7,3390,""
24,"8365513",0,1,0,"1131",7,3371,""
25,"8365513",0,1,0,"1131",7,3378,""
26,"8365514",0,1,0,"1580",5,22611,""
27,"8365515",0,1,1,"4",4,94105,""
28,"8365516",0,1,0,"1113",6,2368,""
29,"8365516",0,1,0,"1113",6,2364,""
30,"8365516",0,1,0,"1411",5,22308,""
31,"8365517",0,1,0,"1113",6,2355,""
32,"8365517",0,1,0,"1413",5,12295,""
33,"8365518",0,1,0,"1413",5,12248,""
34,"8365519",0,1,0,"1413",5,12251,""
35,"8365520",0,1,0,"1113",6,2368,""
36,"8365520",0,1,0,"1580",5,22540,""
37,"8365521",0,1,0,"1413",5,12254,""
38,"8365522",0,1,0,"1580",5,22534,""
39,"8365523",0,1,1,"4",4,85614,""
40,"8365524",0,1,0,"1580",5,22495,""
41,"8365525",0,1,0,"1113",6,2361,""
42,"8365525",0,1,0,"1580",5,22486,""
43,"8365526",0,1,0,"1580",5,22485,""
44,"8365527",0,1,0,"1580",5,22523,""
