Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"8365548",0,1,0,"1111",6,2168,""
2,"8365548",0,1,0,"1416",5,19878,""
3,"8365549",0,1,0,"1580",5,34676,""
4,"8365550",0,1,0,"1580",5,22480,""
5,"8365551",0,1,0,"1580",5,22478,""
6,"8365552",0,1,0,"1580",5,22487,""
7,"8365552",0,1,0,"1580",5,22497,""
8,"8365553",0,1,1,"2",2,122904,""
9,"8365554",0,1,1,"4",4,92959,""
10,"8365555",0,1,1,"2",2,102885,""
11,"8365556",0,1,0,"1412",5,31584,""
12,"8365556",0,1,0,"1412",5,31539,""
13,"8365557",0,1,0,"1412",5,26995,""
14,"8365557",0,1,0,"1412",5,31527,""
15,"8365558",0,1,0,"1412",5,27030,""
16,"8365559",0,1,1,"2",2,109416,""
17,"8365560",0,1,0,"1416",5,17279,""
18,"8365561",0,1,0,"1415",5,17283,""
19,"8365561",0,1,0,"1413",5,16773,""
20,"8365562",0,1,1,"2",2,114310,""
21,"8365563",0,1,0,"1580",5,22528,""
22,"8365563",0,1,0,"1580",5,22496,""
23,"8365564",0,1,0,"1441",5,14988,""
24,"8365564",0,1,0,"1441",5,15049,""
25,"8365565",0,1,0,"1580",5,22528,""
26,"8365565",0,1,0,"1580",5,22482,""
27,"8365566",0,1,1,"2",2,113276,""
28,"8365567",0,1,0,"1416",5,17271,""
29,"8365567",0,1,0,"1416",5,17238,""
30,"8365568",0,1,0,"1411",5,17774,""
31,"8365568",0,1,0,"1411",5,17806,""
32,"8365569",0,1,1,"4",4,77057,""
33,"8365570",0,1,1,"2",2,111901,""
34,"8365571",0,1,0,"1580",5,22525,""
35,"8365571",0,1,0,"1580",5,22500,""
36,"8365572",0,1,1,"4",4,83043,""
37,"8365573",0,1,0,"1580",5,22494,""
38,"8365573",0,1,0,"1580",5,22487,""
39,"8365574",0,1,0,"1113",6,2382,""
40,"8365574",0,1,0,"1412",5,31534,""
41,"8365574",0,1,0,"1412",5,31547,""
42,"8365575",0,1,0,"1580",5,22495,""
43,"8365575",0,1,0,"1580",5,22494,""
44,"8365576",0,1,0,"1001",7,1232,""
45,"8365576",0,1,0,"1001",7,1231,""
46,"8365576",0,1,0,"1001",7,1235,""
47,"8365576",0,1,1,"2",2,118153,""
48,"8365577",0,1,0,"1113",6,2370,""
49,"8365577",0,1,0,"1113",6,2358,""
50,"8365577",0,1,1,"4",4,85737,""
