SW Bin,Desc,Device#,Bin%,Good Bin,Reprobe Bin
"1111","Continuity_DIr_Pos",1,2,1,0
"1416","TOP_SAF4_EXTEST_LOGIC_1_Fail",4,8,1,0
"1580","PMBIST_Post_repair_Func_fail",15,30,1,0
"2","Medium",7,14,1,0
"4","TOP ONLY",4,8,1,0
"1412","TOP_SAF4_CORE_ROW_0_7_LOGIC_Fail",7,14,1,0
"1415","TOP_SAF4_EXT_IF_LOGIC_Fail",1,2,1,0
"1413","TOP_SAF4_EXT_IF_SCAN_Fail",1,2,1,0
"1441","TOP_SAF4_EXTEST_LOGIC_0000fce_Fail",2,4,1,0
"1411","TOP_SAF4_CORE_ROW_0_7_SCAN_Fail",2,4,1,0
"1113","Continuity_Mux_Pos",3,6,1,0
"1001","supply_short_fail",3,6,1,0
