Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"8365448",0,1,0,"1580",5,26220,""
2,"8365449",0,1,1,"2",2,124429,""
3,"8365450",0,1,1,"2",2,120619,""
4,"8365451",0,1,0,"1580",5,22526,""
5,"8365452",0,1,0,"1416",5,17318,""
6,"8365453",0,1,1,"2",2,122742,""
7,"8365454",0,1,0,"1416",5,21818,""
8,"8365455",0,1,0,"1580",5,22519,""
9,"8365456",0,1,0,"1416",5,17285,""
10,"8365457",0,1,0,"1416",5,17278,""
11,"8365458",0,1,1,"2",2,100702,""
12,"8365459",0,1,0,"1580",5,22531,""
13,"8365460",0,1,0,"1414",5,14471,""
14,"8365461",0,1,1,"4",4,76694,""
15,"8365462",0,1,0,"1580",5,22510,""
16,"8365463",0,1,0,"1580",5,22518,""
17,"8365464",0,1,1,"2",2,106722,""
18,"8365465",0,1,0,"1131",7,3393,""
19,"8365465",0,1,0,"1131",7,3376,""
20,"8365465",0,1,0,"1131",7,3398,""
21,"8365466",0,1,1,"4",4,88464,""
22,"8365467",0,1,1,"2",2,121021,""
23,"8365468",0,1,0,"1580",5,22528,""
24,"8365469",0,1,0,"1580",5,22543,""
25,"8365470",0,1,0,"1580",5,22515,""
26,"8365471",0,1,0,"1580",5,22518,""
27,"8365472",0,1,1,"4",4,87944,""
28,"8365473",0,1,0,"1580",5,22523,""
29,"8365474",0,1,1,"2",2,117308,""
30,"8365475",0,1,1,"4",4,75197,""
31,"8365476",0,1,0,"1580",5,22530,""
32,"8365477",0,1,0,"1413",5,12269,""
