Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"8365498",0,1,0,"1001",7,3755,""
2,"8365498",0,1,0,"1407",5,64478,""
3,"8365499",0,1,0,"1580",5,25300,""
4,"8365500",0,1,0,"1413",5,13745,""
5,"8365501",0,1,0,"1111",6,1392,""
6,"8365501",0,1,0,"1580",5,22513,""
7,"8365502",0,1,0,"1580",5,22502,""
8,"8365503",0,1,0,"1412",5,38444,""
9,"8365504",0,1,0,"1580",5,22505,""
10,"8365505",0,1,0,"1411",5,17826,""
11,"8365506",0,1,0,"1413",5,12301,""
12,"8365507",0,1,0,"1413",5,12258,""
13,"8365508",0,1,0,"1441",5,19530,""
14,"8365509",0,1,0,"1001",7,1228,""
15,"8365509",0,1,0,"1001",7,1221,""
16,"8365509",0,1,0,"1001",7,1219,""
17,"8365510",0,1,0,"1580",5,22539,""
18,"8365511",0,1,0,"1580",5,22529,""
19,"8365512",0,1,0,"1413",5,16815,""
20,"8365513",0,1,0,"1131",7,3395,""
21,"8365513",0,1,0,"1131",7,3465,""
22,"8365513",0,1,0,"1131",7,3390,""
23,"8365514",0,1,0,"1580",5,22533,""
24,"8365515",0,1,1,"4",4,105835,""
25,"8365516",0,1,0,"1411",5,22334,""
26,"8365517",0,1,0,"1413",5,12291,""
27,"8365518",0,1,0,"1413",5,12268,""
28,"8365519",0,1,0,"1413",5,12270,""
29,"8365520",0,1,0,"1580",5,22533,""
30,"8365521",0,1,0,"1413",5,12286,""
31,"8365522",0,1,0,"1580",5,22522,""
32,"8365523",0,1,1,"4",4,86796,""
33,"8365524",0,1,0,"1580",5,22508,""
34,"8365525",0,1,0,"1580",5,22504,""
35,"8365526",0,1,0,"1580",5,22513,""
36,"8365527",0,1,0,"1580",5,22536,""
