Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0236902,0.0998987,0.092931,0.0173301,0.24872,0.24872,0.520655,4,0,1.07006,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.00913934,434.761,12.0933,72.4574,-0.0510336,0.0602344,-0.0510336,1,0,0.184582,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.0132195,332.707,9.26075,55.4479,-0.0496607,0.061684,-0.0496607,1,0,0.184582,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0110988,418.204,11.631,69.6983,-0.0508429,0.0604079,-0.0508429,1,0,0.184582,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",0.000374525,422.156,11.7308,70.3587,-0.0508384,0.0603137,-0.0508384,1,0,0.184582,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",-0.000361633,389.061,10.8145,64.8422,-0.0504531,0.0607344,-0.0504531,1,0,0.184582,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",-0.00658858,401.659,11.1595,66.9427,-0.0505878,0.0605465,-0.0505878,1,0,0.184582,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.000175588,430.004,11.9489,71.6666,-0.0509251,0.0602274,-0.0509251,1,0,0.184582,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.00203999,418.07,11.6249,69.6763,-0.0508299,0.060398,-0.0508299,1,0,0.184582,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.000231226,435.003,12.0942,72.4987,-0.0510087,0.0602042,-0.0510087,1,0,0.184582,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.00064768,400.896,11.1438,66.8146,-0.0506065,0.0605843,-0.0506065,1,0,0.184582,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.006107,403.93,11.2202,67.3217,-0.0506036,0.0605063,-0.0506036,1,0,0.184582,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.027784,959.069,26.689,159.837,-0.0535734,0.0577444,-0.0535734,1,0,0.184582,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0276261,956.274,26.6163,159.37,-0.0535784,0.0577615,-0.0535784,1,0,0.184582,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",277.466,1399.91,520.707,319.627,0.54314,0.54314,0.708423,4,0,0.184582,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.762162,0.765291,0.763821,0.000849204,53.4538,221.313,53.4538,0,0,0.170027,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.762236,0.765422,0.763801,0.000857793,52.9263,102.511,52.9263,0,0,0.170027,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.762053,0.765409,0.763734,0.000844297,53.7984,104.124,53.7984,0,0,0.170027,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.76211,0.765808,0.763793,0.000875841,51.8385,100.396,51.8385,0,0,0.170027,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.762179,0.765422,0.763833,0.00086679,52.3646,101.46,52.3646,0,0,0.170027,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.762059,0.765932,0.763778,0.000889625,51.0408,98.8351,51.0408,0,0,0.170027,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.279217,0.294477,0.284964,0.00440431,6.43039,6.43039,8.7063,0,0,0.170027,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.762102,0.765747,0.763775,0.000850814,53.3705,103.342,53.3705,0,0,0.170027,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.762119,0.765708,0.763906,0.000830561,54.6193,105.915,54.6193,0,0,0.170027,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.277749,0.294953,0.285053,0.00460674,6.15426,6.15426,8.31728,0,0,0.170027,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.277971,0.294199,0.284661,0.00478238,5.90091,5.90091,8.03916,0,0,0.170027,***
