Test Suite,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Value,Unit,P/F,Time,TS Time,Print To Data Log
"Device_Power_Up","vdd_core",721101,"",0,1,"vdd_core",1,"8365394",0.0163271,"V","F",1.03412,***,"061324001"
"supply_short_HT","supply_short_HT_vcs_pll",221102,"",0,1,"vcs_pll",1,"8365394",0.143526,"mA","P",0.184755,***,""
"supply_short_HT","supply_short_HT_vcs_pm_1",221103,"",0,1,"vcs_pm_1",1,"8365394",0.167383,"mA","P",0.184755,***,""
"supply_short_HT","supply_short_HT_vcs_pm_2",221104,"",0,1,"vcs_pm_2",1,"8365394",0.181072,"mA","P",0.184755,***,""
"supply_short_HT","supply_short_HT_vcsio_pll",221107,"",0,1,"vcsio_pll",1,"8365394",0.0240847,"mA","P",0.184755,***,""
"supply_short_HT","supply_short_HT_vcsio_ts",221108,"",0,1,"vcsio_ts",1,"8365394",0.027301,"mA","P",0.184755,***,""
"supply_short_HT","supply_short_HT_vcsio_vs_1",221109,"",0,1,"vcsio_vs_1",1,"8365394",0.0289787,"mA","P",0.184755,***,""
"supply_short_HT","supply_short_HT_vcsio_vs_2",221110,"",0,1,"vcsio_vs_2",1,"8365394",0.0274959,"mA","P",0.184755,***,""
"supply_short_HT","supply_short_HT_vdd_io_clk",221105,"",0,1,"vdd_io_clk",1,"8365394",0.11273,"mA","P",0.184755,***,""
"supply_short_HT","supply_short_HT_vdd_pll",221106,"",0,1,"vdd_pll",1,"8365394",0.114831,"mA","P",0.184755,***,""
"supply_short_HT","supply_short_HT_vddio_io_clk",221111,"",0,1,"vddio_io_clk",1,"8365394",0.0125047,"mA","P",0.184755,***,""
"supply_short_HT","supply_short_HT_vddio_pll",221112,"",0,1,"vddio_pll",1,"8365394",0.00968786,"mA","P",0.184755,***,""
"supply_short_HT","supply_short_HT_vddio_rx",221113,"",0,1,"vddio_rx",1,"8365394",0.963296,"mA","P",0.184755,***,""
"supply_short_HT","supply_short_HT_vddio_tx",221114,"",0,1,"vddio_tx",1,"8365394",0.856878,"mA","P",0.184755,***,""
"supply_short_HT","supply_short_HT_vdd_core",221101,"",0,1,"vdd_core",1,"8365394",5007.77,"mA","P",0.184755,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"",0,1,"io_req_pad_size_0",1,"8365394",0.668795,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"",0,1,"io_req_pad_data_30",1,"8365394",0.668811,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"",0,1,"io_req_pad_data_13",1,"8365394",0.669432,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"",0,1,"io_req_pad_addr_5",1,"8365394",0.670229,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"",0,1,"io_req_pad_size_1",1,"8365394",0.668754,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"",0,1,"io_req_pad_addr_9",1,"8365394",0.670031,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"",0,1,"dft_scan_scan_out_pad_o_4",1,"8365394",0.237024,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"",0,1,"io_req_pad_data_8",1,"8365394",0.670055,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"",0,1,"io_req_pad_data_4",1,"8365394",0.670469,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"",0,1,"io_rsp_pad_data_30",1,"8365394",0.236677,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"",0,1,"io_rsp_pad_data_26",1,"8365394",0.23646,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"",0,1,"io_req_pad_data_18",1,"8365394",0.669379,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"",0,1,"io_req_pad_addr_8",1,"8365394",0.670154,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"",0,1,"io_req_pad_addr_4",1,"8365394",0.670245,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"",0,1,"io_rsp_pad_data_21",1,"8365394",0.235891,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"",0,1,"io_req_pad_data_1",1,"8365394",0.670798,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"",0,1,"tap_tck_pad_i",1,"8365394",0.671122,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"",0,1,"io_rsp_pad_size_1",1,"8365394",0.239354,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"",0,1,"tap_tdi_pad_i",1,"8365394",0.671201,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"",0,1,"dft_scan_scan_out_pad_o_2",1,"8365394",0.237284,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"",0,1,"io_rsp_pad_addr_valid",1,"8365394",0.240618,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_7",110022,"",0,1,"io_rsp_pad_data_7",1,"8365394",0.240099,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_2",110023,"",0,1,"io_req_pad_addr_2",1,"8365394",0.670686,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_15",110024,"",0,1,"io_req_pad_addr_15",1,"8365394",0.669375,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_pmon_d_clk0_pad_o",110025,"",0,1,"pmon_d_clk0_pad_o",1,"8365394",0.239889,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_18",110026,"",0,1,"io_rsp_pad_data_18",1,"8365394",0.237873,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_8",110027,"",0,1,"dft_scan_scan_out_pad_o_8",1,"8365394",0.238941,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_14",110028,"",0,1,"io_rsp_pad_data_14",1,"8365394",0.238437,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_20",110029,"",0,1,"io_req_pad_data_20",1,"8365394",0.668908,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_tap_rstn_pad_i",110030,"",0,1,"tap_rstn_pad_i",1,"8365394",0.670844,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_12",110031,"",0,1,"dft_scan_scan_out_pad_o_12",1,"8365394",0.237762,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_24",110032,"",0,1,"io_req_pad_addr_24",1,"8365394",0.668956,"V","P",0.176447,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_shiftwr_pad_i",110033,"",0,1,"dft_1500_shiftwr_pad_i",1,"8365394",0.670612,"V","P",0.176447,***,""
