Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"8365553",0,1,1,"2",2,179114,""
2,"8365554",0,1,1,"4",4,134391,""
3,"8365555",0,1,1,"2",2,106820,""
4,"8365559",0,1,1,"2",2,112684,""
5,"8365562",0,1,0,"1113",6,2376,""
6,"8365562",0,1,0,"1113",6,2384,""
7,"8365562",0,1,0,"1113",6,2371,""
8,"8365562",0,1,0,"1111",6,1386,""
9,"8365562",0,1,0,"1113",6,2388,""
10,"8365562",0,1,0,"1113",6,2371,""
11,"8365566",0,1,1,"2",2,118793,""
12,"8365569",0,1,0,"1580",5,34727,""
13,"8365569",0,1,0,"1580",5,23085,""
14,"8365570",0,1,0,"1113",6,2377,""
15,"8365570",0,1,0,"1113",6,2371,""
16,"8365570",0,1,1,"2",2,117899,""
17,"8365572",0,1,1,"4",4,84442,""
18,"8365576",0,1,1,"2",2,117908,""
19,"8365577",0,1,1,"4",4,81152,""
