Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0173088,0.0184133,0.0178815,0.000553371,-37.4182,-37.4182,61.5129,3,0,1.78893,***
"supply_short_HT","supply_short_HT_vcs_pll",221102,"Parametric","",-1,1,"mA",0.131668,0.155384,0.139573,0.013692,20.9471,27.743,20.9471,0,0,0.19277,***
"supply_short_HT","supply_short_HT_vcs_pm_1",221103,"Parametric","",-1,1,"mA",0.167383,0.187147,0.175288,0.0104584,26.2855,37.4592,26.2855,0,0,0.19277,***
"supply_short_HT","supply_short_HT_vcs_pm_2",221104,"Parametric","",-1,1,"mA",0.169213,0.177119,0.173166,0.00395285,69.7247,98.9299,69.7247,0,0,0.19277,***
"supply_short_HT","supply_short_HT_vcsio_pll",221107,"Parametric","",-1,2,"mA",0.020133,0.020133,0.020133,0,***,***,***,0,0,0.19277,***
"supply_short_HT","supply_short_HT_vcsio_ts",221108,"Parametric","",-1,1,"mA",0.027301,0.0312528,0.0299355,0.00228157,141.724,150.472,141.724,0,0,0.19277,***
"supply_short_HT","supply_short_HT_vcsio_vs_1",221109,"Parametric","",-1,1,"mA",0.017123,0.0250268,0.0197576,0.00456329,71.6035,74.49,71.6035,0,0,0.19277,***
"supply_short_HT","supply_short_HT_vcsio_vs_2",221110,"Parametric","",-1,1,"mA",0.0235428,0.031449,0.0274959,0.00395307,82.0041,86.6412,82.0041,0,0,0.19277,***
"supply_short_HT","supply_short_HT_vdd_io_clk",221105,"Parametric","",-1,1,"mA",0.10087,0.116683,0.107459,0.00822926,36.1532,44.8586,36.1532,0,0,0.19277,***
"supply_short_HT","supply_short_HT_vdd_pll",221106,"Parametric","",-1,1,"mA",0.106928,0.118783,0.112197,0.00603637,49.0252,61.4164,49.0252,0,0,0.19277,***
"supply_short_HT","supply_short_HT_vddio_io_clk",221111,"Parametric","",-1,1,"mA",0.00855237,0.0204094,0.0151396,0.00603731,54.3764,56.0481,54.3764,0,0,0.19277,***
"supply_short_HT","supply_short_HT_vddio_pll",221112,"Parametric","",-1,1,"mA",0.00968786,0.0136366,0.0110041,0.00227979,144.603,147.821,144.603,0,0,0.19277,***
"supply_short_HT","supply_short_HT_vddio_rx",221113,"Parametric","",-1,1.5,"mA",0.797509,0.97119,0.879086,0.0873179,2.37032,7.17335,2.37032,0,0,0.19277,***
"supply_short_HT","supply_short_HT_vddio_tx",221114,"Parametric","",-1,1.5,"mA",0.738413,0.896366,0.81739,0.0789764,2.88107,7.6706,2.88107,0,0,0.19277,***
"supply_short_HT","supply_short_HT_vdd_core",221101,"Parametric","",-1,7500,"mA",4379.97,4641.11,4498.61,132.193,7.56822,11.3461,7.56822,0,0,0.19277,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.669194,0.670218,0.669687,0.00051306,149.634,305.154,149.634,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.669379,0.670347,0.669816,0.000490882,115.313,115.313,156.307,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.669831,0.670798,0.670305,0.000483793,117.34,117.34,158.26,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.67057,0.671708,0.671158,0.000569936,100.104,100.104,133.841,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.669266,0.67029,0.66974,0.000516214,109.606,109.606,148.685,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.670259,0.671341,0.670829,0.000543274,104.814,104.814,140.611,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.236227,0.247274,0.242358,0.00562272,2.5111,2.5111,9.34556,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.670226,0.671365,0.670795,0.000569522,99.9641,99.9641,134.15,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.670811,0.67195,0.67138,0.000569493,100.312,100.312,133.815,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.23736,0.246133,0.242791,0.00474493,3.00609,3.00609,11.044,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.237087,0.244717,0.241946,0.00422161,3.31198,3.31198,12.4798,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.669778,0.670745,0.670252,0.000483793,117.304,117.304,158.296,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"Parametric","",0.5,0.9,"V",0.670325,0.671521,0.670932,0.000598232,95.243,95.243,127.636,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"Parametric","",0.5,0.9,"V",0.670587,0.671783,0.671195,0.000598218,95.3915,95.3915,127.493,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"Parametric","",0.2,0.4,"V",0.235435,0.24466,0.241528,0.00527739,2.62301,2.62301,10.0095,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"Parametric","",0.5,0.9,"V",0.670969,0.672108,0.671576,0.000573251,99.7679,99.7679,132.823,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"Parametric","",0.5,0.9,"V",0.67135,0.672489,0.671995,0.000584441,98.0968,98.0968,130.041,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"Parametric","",0.2,0.4,"V",0.23736,0.247158,0.243607,0.00542718,2.67833,2.67833,9.60553,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"Parametric","",0.5,0.9,"V",0.671315,0.672454,0.67196,0.000584441,98.0769,98.0769,130.061,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"Parametric","",0.2,0.4,"V",0.236373,0.245314,0.242049,0.00493407,2.84073,2.84073,10.6708,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"Parametric","",0.2,0.4,"V",0.238567,0.246657,0.243884,0.00460636,3.17563,3.17563,11.2971,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_7",110022,"Parametric","",0.2,0.4,"V",0.237366,0.24585,0.242984,0.00486566,2.94472,2.94472,10.7567,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_2",110023,"Parametric","",0.5,0.9,"V",0.670856,0.671938,0.671482,0.000560824,101.923,101.923,135.823,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_15",110024,"Parametric","",0.5,0.9,"V",0.669887,0.670798,0.670324,0.000456665,124.324,124.324,167.647,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_pmon_d_clk0_pad_o",110025,"Parametric","",0.2,0.4,"V",0.239093,0.249106,0.245237,0.00538043,2.80259,2.80259,9.588,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_18",110026,"Parametric","",0.2,0.4,"V",0.235765,0.245905,0.241917,0.00540548,2.58486,2.58486,9.74829,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_8",110027,"Parametric","",0.2,0.4,"V",0.237461,0.245832,0.242814,0.00464839,3.07016,3.07016,11.2717,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_14",110028,"Parametric","",0.2,0.4,"V",0.236956,0.246412,0.242918,0.0051889,2.75706,2.75706,10.0909,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_20",110029,"Parametric","",0.5,0.9,"V",0.669363,0.670275,0.6698,0.000457161,123.808,123.808,167.848,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_rstn_pad_i",110030,"Parametric","",0.5,0.9,"V",0.671072,0.672552,0.671793,0.000740723,77.3087,77.3087,102.696,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_12",110031,"Parametric","",0.2,0.4,"V",0.236283,0.246581,0.242845,0.00570104,2.5051,2.5051,9.18867,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_24",110032,"Parametric","",0.5,0.9,"V",0.669411,0.670322,0.669885,0.000456665,124.004,124.004,167.967,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_shiftwr_pad_i",110033,"Parametric","",0.5,0.9,"V",0.670783,0.671864,0.67139,0.000552517,103.399,103.399,137.921,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_wrstn_pad_i",110034,"Parametric","",0.5,0.9,"V",0.670984,0.672065,0.671553,0.000542743,105.362,105.362,140.304,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_12",110035,"Parametric","",0.5,0.9,"V",0.670018,0.670929,0.670473,0.000455499,124.752,124.752,167.967,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_12",110036,"Parametric","",0.5,0.9,"V",0.669945,0.670855,0.670381,0.000456181,124.498,124.498,167.783,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_1",110037,"Parametric","",0.5,0.9,"V",0.669417,0.670327,0.669853,0.000456181,124.112,124.112,168.169,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_lpg2_pad_i",110038,"Parametric","",0.5,0.9,"V",0.669494,0.670461,0.669968,0.000483793,117.108,117.108,158.492,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_clk_pad_i",110039,"Parametric","",0.5,0.9,"V",0.669405,0.670599,0.669917,0.000615024,92.0921,92.0921,124.701,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_10",110040,"Parametric","",0.2,0.4,"V",0.234727,0.246402,0.242036,0.00636941,2.19987,2.19987,8.26682,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_14",110041,"Parametric","",0.2,0.4,"V",0.236402,0.246189,0.242813,0.00555443,2.56928,2.56928,9.43315,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_27",110042,"Parametric","",0.5,0.9,"V",0.668997,0.669965,0.669453,0.000486503,116.103,116.103,157.962,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_selectwr_pad_i",110043,"Parametric","",0.5,0.9,"V",0.670741,0.671936,0.671348,0.000597703,95.5591,95.5591,127.517,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_pmbist_pmbist_mode_pad_i",110044,"Parametric","",0.5,0.9,"V",0.670416,0.671555,0.670985,0.000569493,100.08,100.08,134.046,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_11",110045,"Parametric","",0.5,0.9,"V",0.669761,0.670786,0.670235,0.000516759,109.81,109.81,148.209,0,0,0.241443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_21",110046,"Parametric","",0.5,0.9,"V",0.669304,0.670272,0.669779,0.00048426,116.865,116.865,158.47,0,0,0.241443,***
