Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.099776,0.0998987,0.0998169,6.33716e-05,104.237,104.237,106.163,6,0,0,1.4007,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.0130919,0.020997,0.0170444,0.00353527,92.6809,95.8951,92.6809,6,0,0,0.189051,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.00926662,0.0250782,0.0204665,0.00581851,56.116,58.461,56.116,6,0,0,0.189051,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0150517,0.0229574,0.0170281,0.0033072,99.0741,102.507,99.0741,6,0,0,0.189051,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",0.00432622,0.00432622,0.00432622,0,***,***,***,6,0,0,0.189051,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",0.00359017,0.0114938,0.00820061,0.00297481,111.133,112.971,111.133,6,0,0,0.189051,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",-0.00263665,0.00921911,0.00460854,0.0038855,85.3937,86.1844,85.3937,6,0,0,0.189051,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.000175588,0.00773055,0.00311864,0.00297576,111.667,112.365,111.667,6,0,0,0.189051,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.00203999,0.0178528,0.011923,0.00649578,50.7035,51.9272,50.7035,6,0,0,0.189051,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.00813469,0.0120864,0.0114278,0.00161329,204.256,208.979,204.256,6,0,0,0.189051,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.00064768,0.0125047,0.00789365,0.0052533,62.9513,63.9531,62.9513,6,0,0,0.189051,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.006107,0.00179043,-0.0028164,0.00297248,111.824,111.824,112.455,6,0,0,0.189051,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0317313,0.079099,0.056073,0.0190809,16.4899,18.449,16.4899,6,0,0,0.189051,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0671143,0.106602,0.080277,0.0203916,15.0343,17.6588,15.0343,6,0,0,0.189051,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",368.856,529.092,456.448,59.6894,2.54958,2.54958,4.15234,6,0,0,0.189051,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.763698,0.764893,0.764039,0.000437812,103.515,429.438,103.515,6,0,0,0.199341,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.763715,0.76491,0.764019,0.000448974,100.957,196.016,100.957,6,0,0,0.199341,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.763532,0.764556,0.763778,0.000390262,116.35,225.3,116.35,6,0,0,0.199341,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.763589,0.76467,0.763854,0.000412905,109.909,213.007,109.909,6,0,0,0.199341,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.763601,0.764967,0.764057,0.00048291,93.8361,182.268,93.8361,6,0,0,0.199341,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.76354,0.764622,0.763882,0.000394518,115.008,222.957,115.008,6,0,0,0.199341,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.280299,0.295445,0.286638,0.00534685,5.40119,5.40119,7.0672,6,0,0,0.199341,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.763583,0.764665,0.763868,0.000407496,111.357,215.845,111.357,6,0,0,0.199341,***
