Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"8371557",0,1,0,"1113",6,5539,""
2,"8371557",0,1,0,"1113",6,2355,""
3,"8371557",0,1,0,"1412",5,66368,""
4,"8371558",0,1,0,"1113",6,2363,""
5,"8371558",0,1,1,"2",2,134544,""
6,"8371559",0,1,0,"1580",5,51935,""
7,"8371560",0,1,0,"1113",6,2383,""
8,"8371560",0,1,0,"1111",6,1389,""
9,"8371560",0,1,1,"2",2,123022,""
10,"8371561",0,1,0,"1580",5,22516,""
11,"8371562",0,1,0,"1113",6,2365,""
12,"8371562",0,1,0,"1113",6,2376,""
13,"8371562",0,1,1,"2",2,115890,""
14,"8371563",0,1,1,"2",2,122400,""
15,"8371564",0,1,1,"2",2,103537,""
16,"8371565",0,1,1,"4",4,74761,""
17,"8371566",0,1,0,"1113",6,2382,""
18,"8371566",0,1,0,"1113",6,2360,""
19,"8371566",0,1,0,"1580",5,22511,""
20,"8371567",0,1,0,"1580",5,22509,""
21,"8371568",0,1,0,"1580",5,22530,""
22,"8371569",0,1,0,"1113",6,2363,""
23,"8371569",0,1,0,"1113",6,2383,""
24,"8371569",0,1,0,"1113",6,2362,""
25,"8371569",0,1,1,"2",2,106217,""
26,"8371570",0,1,0,"1411",5,18347,""
27,"8371571",0,1,0,"1580",5,22528,""
28,"8371572",0,1,1,"4",4,77631,""
29,"8371573",0,1,0,"1580",5,22493,""
30,"8371574",0,1,1,"2",2,108754,""
31,"8371575",0,1,0,"1580",5,22512,""
32,"8371576",0,1,1,"2",2,102011,""
33,"8371577",0,1,0,"1113",6,2364,""
34,"8371577",0,1,0,"1412",5,27599,""
35,"8371578",0,1,0,"1580",5,22529,""
36,"8371579",0,1,0,"1411",5,18341,""
37,"8371580",0,1,1,"2",2,111071,""
38,"8371581",0,1,1,"4",4,132116,""
39,"8371582",0,1,1,"2",2,105231,""
40,"8371583",0,1,0,"1580",5,22567,""
41,"8371584",0,1,0,"1580",5,22513,""
