Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0181679,0.0209904,0.0195041,0.00105468,-19.1199,-19.1199,31.7619,9,9,0,1.05651,***
"supply_short_HT","supply_short_HT_vcs_pll",221102,"Parametric","",-1,1,"mA",0.115858,0.151431,0.132547,0.0142206,20.3332,26.547,20.3332,9,0,0,0.186944,***
"supply_short_HT","supply_short_HT_vcs_pm_1",221103,"Parametric","",-1,1,"mA",0.139712,0.175288,0.155963,0.0137565,20.4519,28.0101,20.4519,9,0,0,0.186944,***
"supply_short_HT","supply_short_HT_vcs_pm_2",221104,"Parametric","",-1,1,"mA",0.13759,0.169213,0.155158,0.011024,25.5456,34.9286,25.5456,9,0,0,0.186944,***
"supply_short_HT","supply_short_HT_vcsio_pll",221107,"Parametric","",-1,2,"mA",0.020133,0.0319881,0.0245238,0.00366701,93.1297,93.1297,179.572,9,0,0,0.186944,***
"supply_short_HT","supply_short_HT_vcsio_ts",221108,"Parametric","",-1,1,"mA",0.0233492,0.0391564,0.032131,0.00474948,67.9281,72.4382,67.9281,9,0,0,0.186944,***
"supply_short_HT","supply_short_HT_vcsio_vs_1",221109,"Parametric","",-1,1,"mA",0.017123,0.0250268,0.0219531,0.00263461,123.743,129.298,123.743,9,0,0,0.186944,***
"supply_short_HT","supply_short_HT_vcsio_vs_2",221110,"Parametric","",-1,1,"mA",0.0156367,0.035402,0.025739,0.00596609,54.4332,57.3094,54.4332,9,0,0,0.186944,***
"supply_short_HT","supply_short_HT_vdd_io_clk",221105,"Parametric","",-1,1,"mA",0.0811042,0.116683,0.0982347,0.0129615,23.1909,28.2436,23.1909,9,0,0,0.186944,***
"supply_short_HT","supply_short_HT_vdd_pll",221106,"Parametric","",-1,1,"mA",0.0871693,0.11088,0.0985854,0.00996676,30.1474,36.7417,30.1474,9,0,0,0.186944,***
"supply_short_HT","supply_short_HT_vddio_io_clk",221111,"Parametric","",-1,1,"mA",0.00855237,0.0204094,0.0160179,0.00308969,106.158,109.614,106.158,9,0,0,0.186944,***
"supply_short_HT","supply_short_HT_vddio_pll",221112,"Parametric","",-1,1,"mA",-0.00215829,0.00968786,0.0053004,0.00366425,90.4868,91.4512,90.4868,9,0,0,0.186944,***
"supply_short_HT","supply_short_HT_vddio_rx",221113,"Parametric","",-1,1.5,"mA",0.817245,1.01856,0.908033,0.066609,2.9624,9.54843,2.9624,9,0,0,0.186944,***
"supply_short_HT","supply_short_HT_vddio_tx",221114,"Parametric","",-1,1.5,"mA",0.738413,0.935854,0.83494,0.0658137,3.3684,9.29361,3.3684,9,0,0,0.186944,***
"supply_short_HT","supply_short_HT_vdd_core",221101,"Parametric","",-1,7500,"mA",3714.6,4345.98,4027.61,230.192,5.02825,5.83369,5.02825,9,0,0,0.186944,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.66834,0.669478,0.668877,0.000403427,190.966,387.412,190.966,9,0,0,0.185023,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.668412,0.669607,0.668994,0.00039817,141.476,141.476,193.39,9,0,0,0.185023,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.669034,0.669887,0.669508,0.00030636,184.433,184.433,250.786,9,0,0,0.185023,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.669774,0.670741,0.670324,0.000366383,154.959,154.959,208.958,9,0,0,0.185023,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.668355,0.669607,0.668943,0.000438014,128.568,128.568,175.837,9,0,0,0.185023,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.669405,0.67043,0.670006,0.000367985,153.997,153.997,208.336,9,0,0,0.185023,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.234633,0.247501,0.239485,0.00456175,2.88524,2.88524,11.729,9,0,0,0.185023,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.669485,0.670454,0.670042,0.000341746,165.857,165.857,224.297,9,0,0,0.185023,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.669956,0.670982,0.670513,0.000376768,150.856,150.856,203.031,9,0,0,0.185023,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.234797,0.246931,0.239873,0.0046375,2.86599,2.86599,11.5096,9,0,0,0.185023,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.23441,0.246596,0.239194,0.00464247,2.81413,2.81413,11.546,9,0,0,0.185023,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.668867,0.669948,0.669417,0.000370996,152.218,152.218,207.175,9,0,0,0.185023,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"Parametric","",0.5,0.9,"V",0.669527,0.670495,0.670116,0.000354453,159.98,159.98,216.187,9,0,0,0.185023,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"Parametric","",0.5,0.9,"V",0.669847,0.670815,0.670353,0.000356135,159.446,159.446,214.944,9,0,0,0.185023,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"Parametric","",0.2,0.4,"V",0.234923,0.246254,0.238744,0.00445333,2.90002,2.90002,12.07,9,0,0,0.185023,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"Parametric","",0.5,0.9,"V",0.670115,0.671368,0.670729,0.000404492,140.694,140.694,188.938,9,0,0,0.185023,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"Parametric","",0.5,0.9,"V",0.670552,0.671805,0.671128,0.000401267,142.156,142.156,190.124,9,0,0,0.185023,***
