SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"2","Medium",1,10.8,4,10.8,1,0
"1413","TOP_SAF4_EXT_IF_SCAN_Fail",1,5.4,2,5.4,1,0
"1412","TOP_SAF4_CORE_ROW_0_7_LOGIC_Fail",1,5.4,2,5.4,1,0
"1580","PMBIST_Post_repair_Func_fail",1,37.8,14,37.8,1,0
"1407","PMBIST_POST_BURN_fail",1,10.8,4,10.8,1,0
"4","TOP ONLY",1,8.1,3,8.1,1,0
"1411","TOP_SAF4_CORE_ROW_0_7_SCAN_Fail",1,5.4,2,5.4,1,0
"1406","Machine_init_fail",1,5.4,2,5.4,1,0
"1131","IDD_static_fail",1,8.1,3,8.1,1,0
"1414","TOP_SAF4_EXTEST_SCAN_1_Fail",1,2.7,1,2.7,1,0
