Test Suite,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Value,Unit,P/F,Time,TS Time,Print To Data Log
"Device_Power_Up","vdd_core",721101,"",0,1,"vdd_core",1,"9426158",0.0997595,"V","P",1.01006,***,""
"supply_short","supply_short_vcs_pll",211002,"",0,1,"vcs_pll",1,"9426158",0.0146828,"mA","P",0.18405,***,""
"supply_short","supply_short_vcs_pm_1",211003,"",0,1,"vcs_pm_1",1,"9426158",0.029674,"mA","P",0.18405,***,""
"supply_short","supply_short_vcs_pm_2",211004,"",0,1,"vcs_pm_2",1,"9426158",0.0190386,"mA","P",0.18405,***,""
"supply_short","supply_short_vcsio_pll",211007,"",0,1,"vcsio_pll",1,"9426158",-0.00307712,"mA","P",0.18405,***,""
"supply_short","supply_short_vcsio_ts",211008,"",0,1,"vcsio_ts",1,"9426158",0.0055331,"mA","P",0.18405,***,""
"supply_short","supply_short_vcsio_vs_1",211009,"",0,1,"vcsio_vs_1",1,"9426158",0.00126401,"mA","P",0.18405,***,""
"supply_short","supply_short_vcsio_vs_2",211010,"",0,1,"vcsio_vs_2",1,"9426158",-0.00212176,"mA","P",0.18405,***,""
"supply_short","supply_short_vdd_io_clk",211005,"",0,1,"vdd_io_clk",1,"9426158",0.011372,"mA","P",0.18405,***,""
"supply_short","supply_short_vdd_pll",211006,"",0,1,"vdd_pll",1,"9426158",0.0150641,"mA","P",0.18405,***,""
"supply_short","supply_short_vddio_io_clk",211011,"",0,1,"vddio_io_clk",1,"9426158",0.0119251,"mA","P",0.18405,***,""
"supply_short","supply_short_vddio_pll",211012,"",0,1,"vddio_pll",1,"9426158",0.00126792,"mA","P",0.18405,***,""
"supply_short","supply_short_vddio_rx",211013,"",0,1,"vddio_rx",1,"9426158",0.0922845,"mA","P",0.18405,***,""
"supply_short","supply_short_vddio_tx",211014,"",0,1,"vddio_tx",1,"9426158",0.14307,"mA","P",0.18405,***,""
