Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0996368,0.0997595,0.0996614,5.48814e-05,119.417,119.417,123.531,0,0,1.09421,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.0146828,0.0225882,0.017845,0.00330705,98.9961,102.593,98.9961,0,0,0.189754,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.0217683,0.0336269,0.0273023,0.00450696,71.9404,75.9789,71.9404,0,0,0.189754,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0229914,0.0269442,0.023782,0.00176773,184.081,193.05,184.081,0,0,0.189754,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",0.000874455,0.00877761,0.00482603,0.00279419,118.72,119.871,118.72,0,0,0.189754,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",0.0055331,0.013437,0.00948503,0.00279444,118.153,120.416,118.153,0,0,0.189754,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",-0.00663997,0.00126401,-0.00189758,0.00330648,100.621,100.621,101.004,0,0,0.189754,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",0.00578406,0.00973696,0.00736522,0.0021651,152.824,155.092,152.824,0,0,0.189754,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.011372,0.0192784,0.0153252,0.00395323,83.027,85.6114,83.027,0,0,0.189754,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.0111126,0.0269189,0.0190157,0.00624799,52.336,54.365,52.336,0,0,0.189754,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.00402056,0.0158773,0.00955372,0.00450627,73.2644,74.6778,73.2644,0,0,0.189754,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",0.00126792,0.00916547,0.00363718,0.00353189,94.0349,94.7214,94.0349,0,0,0.189754,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0922845,0.119914,0.107284,0.0109528,27.1686,33.6987,27.1686,0,0,0.189754,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.103582,0.182559,0.135173,0.0330384,8.72549,11.4531,8.72549,0,0,0.189754,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",484.712,578.538,556.334,40.1983,4.61407,4.61407,5.33742,0,0,0.189754,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.763507,0.764986,0.764235,0.00058764,77.0114,320.057,77.0114,0,0,0.202566,***
