Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"9425971",0,1,1,"2",2,126355,""
2,"9425972",0,1,1,"2",2,112972,""
3,"9425973",0,1,1,"2",2,123696,""
4,"9425974",0,1,0,"1113",6,2428,""
5,"9425974",0,1,0,"1113",6,2352,""
6,"9425974",0,1,1,"2",2,116147,""
7,"9425975",0,1,1,"2",2,114994,""
8,"9425976",0,1,1,"2",2,109276,""
9,"9425977",0,1,1,"2",2,109595,""
10,"9425978",0,1,1,"2",2,109412,""
11,"9425961",0,1,1,"2",2,108501,""
12,"9425962",0,1,1,"2",2,115719,""
13,"9425963",0,1,1,"2",2,109528,""
14,"9425964",0,1,1,"2",2,103165,""
15,"9425965",0,1,1,"2",2,110348,""
16,"9425966",0,1,1,"2",2,120486,""
17,"9425967",0,1,1,"2",2,115688,""
18,"9425968",0,1,1,"2",2,111162,""
19,"9425969",0,1,1,"2",2,110483,""
20,"9425970",0,1,1,"2",2,109909,""
