Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.099776,0.0998987,0.0998578,7.08516e-05,93.4245,93.4245,94.7623,3,0,0,1.16026,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.0130919,0.020997,0.0170444,0.00395255,82.8963,85.7712,82.8963,3,0,0,0.194306,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.0132195,0.0211253,0.01849,0.00456441,71.6784,74.3791,71.6784,3,0,0,0.194306,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0110988,0.0190046,0.0150517,0.00395285,83.058,85.5965,83.058,3,0,0,0.194306,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",0.000374525,0.00432622,0.00169176,0.00228151,145.855,146.349,145.855,3,0,0,0.194306,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",0.00359017,0.00754197,0.00622471,0.00228157,145.189,147.007,145.189,3,0,0,0.194306,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",0.00131527,0.00131527,0.00131527,0,***,***,***,3,0,0,0.194306,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.000175588,0.00773055,0.00509517,0.00456461,72.6535,73.3977,72.6535,3,0,0,0.194306,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.0059932,0.0138996,0.00994641,0.00395321,83.481,85.1584,83.481,3,0,0,0.194306,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.00418296,0.0160382,0.00945193,0.00603637,54.6989,55.7428,54.6989,3,0,0,0.194306,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.00460003,0.0125047,0.00855237,0.00395235,83.6168,85.0594,83.6168,3,0,0,0.194306,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",0.00179043,0.00573914,0.00442291,0.00227979,145.566,146.859,145.566,3,0,0,0.194306,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0396259,0.0672571,0.0554152,0.0142322,22.1232,24.7189,22.1232,3,0,0,0.194306,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0671143,0.0671143,0.0671143,0,***,***,***,3,0,0,0.194306,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",329.116,379.429,359.903,26.981,4.44761,4.44761,10.3789,3,0,0,0.194306,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.763129,0.763243,0.763186,5.70118e-05,799.916,3292.8,799.916,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.763089,0.763203,0.763146,5.70118e-05,800.149,1538.55,800.149,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.762906,0.763134,0.763001,0.000118651,384.879,738.865,384.879,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.762963,0.763361,0.763115,0.000215219,212.009,407.515,212.009,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.763203,0.76326,0.763222,3.28986e-05,1385.85,2667,1385.85,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.762913,0.763198,0.763027,0.000150828,302.714,581.296,302.714,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.279615,0.288897,0.282842,0.00524758,5.26224,5.26224,7.44204,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.762956,0.763241,0.763051,0.000164527,277.459,532.943,277.459,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.76303,0.763372,0.763163,0.00018324,248.922,478.723,248.922,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.278832,0.287946,0.282174,0.0050197,5.45675,5.45675,7.82427,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.277458,0.28822,0.281975,0.00558505,4.89254,4.89254,7.04408,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.763089,0.76326,0.763146,9.87302e-05,462.047,888.435,462.047,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"Parametric","",0.5,0.9,"V",0.763053,0.76328,0.763148,0.000118083,386.316,742.831,386.316,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"Parametric","",0.5,0.9,"V",0.762929,0.763214,0.763043,0.000150794,302.746,581.462,302.746,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"Parametric","",0.2,0.4,"V",0.278483,0.28896,0.282526,0.00563312,4.88336,4.88336,6.95141,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"Parametric","",0.5,0.9,"V",0.762708,0.763106,0.762841,0.000229774,198.977,381.303,198.977,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"Parametric","",0.5,0.9,"V",0.762882,0.763223,0.763034,0.000173589,263.009,505.089,263.009,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"Parametric","",0.2,0.4,"V",0.281224,0.289826,0.284186,0.00488617,5.74317,5.74317,7.90078,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"Parametric","",0.5,0.9,"V",0.762891,0.763176,0.763005,0.000150828,302.762,581.247,302.762,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"Parametric","",0.2,0.4,"V",0.27897,0.288424,0.282634,0.0050729,5.42977,5.42977,7.71196,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"Parametric","",0.2,0.4,"V",0.27987,0.289725,0.283706,0.00527793,5.28652,5.28652,7.34469,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_7",110022,"Parametric","",0.2,0.4,"V",0.279445,0.289409,0.282823,0.00570428,4.83982,4.83982,6.84731,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_2",110023,"Parametric","",0.5,0.9,"V",0.762827,0.763169,0.762941,0.00019746,231.37,443.871,231.37,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_15",110024,"Parametric","",0.5,0.9,"V",0.763106,0.763277,0.763163,9.87302e-05,461.99,888.492,461.99,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_pmon_d_clk0_pad_o",110025,"Parametric","",0.2,0.4,"V",0.280796,0.289614,0.28402,0.00486357,5.75843,5.75843,7.94892,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_18",110026,"Parametric","",0.2,0.4,"V",0.279173,0.288117,0.282705,0.00475916,5.79269,5.79269,8.21539,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_8",110027,"Parametric","",0.2,0.4,"V",0.279489,0.289171,0.283267,0.0051793,5.35896,5.35896,7.51279,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_14",110028,"Parametric","",0.2,0.4,"V",0.278654,0.288851,0.282338,0.00565659,4.85204,4.85204,6.93362,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_20",110029,"Parametric","",0.5,0.9,"V",0.762931,0.762988,0.76295,3.28986e-05,1388.61,2664.25,1388.61,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_rstn_pad_i",110030,"Parametric","",0.5,0.9,"V",0.762931,0.763273,0.763083,0.000174142,262.08,503.581,262.08,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_12",110031,"Parametric","",0.2,0.4,"V",0.279127,0.28954,0.282826,0.0058248,4.73983,4.73983,6.70549,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_24",110032,"Parametric","",0.5,0.9,"V",0.763045,0.763159,0.763102,5.6982e-05,800.825,1539.09,800.825,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_shiftwr_pad_i",110033,"Parametric","",0.5,0.9,"V",0.763061,0.763289,0.763156,0.000118641,384.475,739.359,384.475,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_wrstn_pad_i",110034,"Parametric","",0.5,0.9,"V",0.763039,0.76338,0.763172,0.000182662,249.693,480.253,249.693,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_12",110035,"Parametric","",0.5,0.9,"V",0.763072,0.763357,0.763186,0.000150794,302.43,581.778,302.43,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_12",110036,"Parametric","",0.5,0.9,"V",0.763192,0.763249,0.76323,3.28986e-05,1385.77,2667.08,1385.77,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_1",110037,"Parametric","",0.5,0.9,"V",0.763093,0.763093,0.763093,0,***,***,***,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_lpg2_pad_i",110038,"Parametric","",0.5,0.9,"V",0.763321,0.763377,0.763358,3.2348e-05,1408.04,2713.8,1408.04,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_clk_pad_i",110039,"Parametric","",0.5,0.9,"V",0.763282,0.763396,0.763339,5.70118e-05,799.021,1539.67,799.021,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_10",110040,"Parametric","",0.2,0.4,"V",0.278293,0.289512,0.282545,0.00608212,4.52393,4.52393,6.43715,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_14",110041,"Parametric","",0.2,0.4,"V",0.280328,0.289945,0.28361,0.00548775,5.07857,5.07857,7.06971,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_27",110042,"Parametric","",0.5,0.9,"V",0.762914,0.762971,0.762933,3.28986e-05,1388.78,2664.08,1388.78,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_selectwr_pad_i",110043,"Parametric","",0.5,0.9,"V",0.763079,0.763363,0.763192,0.000150434,303.139,583.184,303.139,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_pmbist_pmbist_mode_pad_i",110044,"Parametric","",0.5,0.9,"V",0.762901,0.763243,0.763015,0.00019746,231.245,443.996,231.245,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_11",110045,"Parametric","",0.5,0.9,"V",0.76307,0.763241,0.763127,9.87302e-05,462.111,888.37,462.111,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_21",110046,"Parametric","",0.5,0.9,"V",0.762923,0.763094,0.76298,9.87302e-05,462.607,887.874,462.607,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_0",110047,"Parametric","",0.5,0.9,"V",0.763338,0.763452,0.763395,5.6982e-05,799.111,1540.81,799.111,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_ss1_pad_i",110048,"Parametric","",0.5,0.9,"V",0.763055,0.763169,0.763112,5.6982e-05,800.767,1539.15,800.767,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_ddr_enable_pad_i",110049,"Parametric","",0.5,0.9,"V",0.763355,0.763469,0.763431,6.57972e-05,691.868,1334.56,691.868,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_3",110050,"Parametric","",0.2,0.4,"V",0.278247,0.28991,0.282893,0.00618225,4.46943,4.46943,6.31414,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_int_data_pad_4",110051,"Parametric","",0.2,0.4,"V",0.279441,0.289569,0.282893,0.00578271,4.77821,4.77821,6.75041,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_int_data_pad_2",110052,"Parametric","",0.2,0.4,"V",0.278727,0.290224,0.283242,0.00613248,4.52467,4.52467,6.34641,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_19",110053,"Parametric","",0.2,0.4,"V",0.278443,0.288459,0.282446,0.00530209,5.18322,5.18322,7.39044,3,0,0,0.223929,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_23",110054,"Parametric","",0.2,0.4,"V",0.277981,0.287827,0.281946,0.0051951,5.2579,5.2579,7.5747,3,0,0,0.223929,***
