Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"1",0,1,1,"1",1,10561,""
2,"2",0,2,1,"1",1,10561,""
3,"3",0,3,1,"1",1,10561,""
4,"4",0,4,1,"1",1,10561,""
5,"5",0,1,1,"1",1,10483,""
6,"6",0,2,1,"1",1,10483,""
7,"7",0,3,1,"1",1,10483,""
8,"8",0,4,1,"1",1,10483,""
9,"9",0,1,1,"1",1,10476,""
10,"10",0,2,1,"1",1,10476,""
11,"11",0,3,1,"1",1,10476,""
12,"12",0,4,1,"1",1,10476,""
13,"13",0,1,1,"1",1,10489,""
14,"14",0,2,1,"1",1,10489,""
15,"15",0,3,1,"1",1,10489,""
16,"16",0,4,1,"1",1,10489,""
17,"17",0,1,1,"1",1,10500,""
18,"18",0,2,1,"1",1,10500,""
19,"19",0,3,1,"1",1,10500,""
20,"20",0,4,1,"1",1,10500,""
21,"21",0,1,1,"1",1,10519,""
22,"22",0,2,1,"1",1,10519,""
23,"23",0,3,1,"1",1,10519,""
24,"24",0,4,1,"1",1,10519,""
25,"25",0,1,1,"1",1,10475,""
26,"26",0,2,1,"1",1,10475,""
27,"27",0,3,1,"1",1,10475,""
28,"28",0,4,1,"1",1,10475,""
29,"29",0,1,0,"100",8,21585,""
30,"30",0,2,0,"87",13,21585,""
31,"29",0,1,0,"100",8,21033,""
32,"30",0,2,0,"87",13,21033,""
33,"29",0,1,0,"100",8,20993,""
34,"30",0,2,0,"87",13,20993,""
35,"29",0,1,0,"100",8,25018,""
36,"30",0,2,0,"100",8,25018,""
37,"29",0,1,1,"1",1,10595,""
38,"30",0,2,1,"1",1,10595,""
39,"31",0,3,1,"1",1,10595,""
40,"32",0,4,1,"1",1,10595,""
