Test,Test#,Pattern,Wafer,Site,Pin,Device,Value,Unit,P/F,Time,TS Time,Print To Data Log
"OpensShorts_T",2025,"",0,1,"@",1,1,"","P",0.0174044,***,""
"OpensShorts_VDD33COM_Pins",12026,"",0,1,"@",1,1,"","P",0.0078754,***,""
"OpensShorts_VDD33COM_Pins",12027,"",0,1,"@",1,1,"","P",0.0078754,***,""
"Shrt_Pwr_VDDA",33,"",0,1,"VDDA",1,0.106819,"uA","P",0.0164485,***,""
"Shrt_Pwr_VDD",10033,"",0,1,"VDD",1,0.55183,"uA","P",0.0297564,***,""
"Shrt_Pwr_VDDS",20033,"",0,1,"VDDS",1,0.023394,"uA","P",0.0308702,***,""
"Shrt_Pwr_VDDA2",30033,"",0,1,"VDDA2",1,0.044873,"uA","P",0.0308252,***,""
"Shrt_Pwr_VDDA1",40033,"",0,1,"VDDA1",1,0.696242,"uA","P",0.00381938,***,""
"Shrt_Pwr",14000001,"",0,1,"VDDP",1,-0.628,"uA","P",0.00332307,***,""
"Open_Pwr",14010001,"",0,1,"VDDP",1,-8.35527,"mA","P",0.0032937,***,""
"Open_Pwr_t_VDD",49,"",0,1,"VDD",1,-4.9995,"mA","P",0.0129514,***,""
"Open_Pwr_t_VDDA",47,"",0,1,"VDDA",1,-4.99818,"mA","P",0.0129514,***,""
"Open_Pwr_t_VDDA1",46,"",0,1,"VDDA1",1,-4.9983,"mA","P",0.0129514,***,""
"Open_Pwr_t_VDDA2",48,"",0,1,"VDDA2",1,-4.99281,"mA","P",0.0129514,***,""
"Open_Pwr_t_VDDS",50,"",0,1,"VDDS",1,-4.99364,"mA","P",0.0129514,***,""
"Func_MPB_Membist",122,"",0,1,"@",1,1,"","P",0.0140441,***,""
"Func_MPB_F751744_path_delay",131,"",0,1,"@",1,1,"","P",0.0132141,***,""
"Func_MPB_F751744_scan16_0_DPM",10131,"",0,1,"@",1,1,"","P",0.017417,***,""
"Func_MPB_F751744_scan16_1_DPM",20131,"",0,1,"@",1,1,"","P",0.0173407,***,""
"Func_MPB_F751744_scan16_2_DPM",30131,"",0,1,"@",1,1,"","P",0.017296,***,""
"Func_MPB_F751744_scan16_3_DPM",40131,"",0,1,"@",1,1,"","P",0.01731,***,""
"Func_MPB_F751744_scan16_4_DPM",50131,"",0,1,"@",1,1,"","P",0.0172886,***,""
"Func_MPB_F751744_scan16_5_DPM",60131,"",0,1,"@",1,1,"","P",0.0173275,***,""
"Func_MPB_F751744_scan16_6_DPM",70131,"",0,1,"@",1,1,"","P",0.0173152,***,""
"Func_MPB_F751744_scan16_7_DPM",80131,"",0,1,"@",1,1,"","P",0.0173146,***,""
"Func_MPB_F751744_scan16_8_DPM",90131,"",0,1,"@",1,1,"","P",0.0173207,***,""
"Func_MPB_F751744_scan16_9_DPM",100131,"",0,1,"@",1,1,"","P",0.0173353,***,""
"Func_MPB_F751744_scan16_10_DPM",110131,"",0,1,"@",1,1,"","P",0.017303,***,""
"Func_MPB_F751744_scan16_11_DPM",120131,"",0,1,"@",1,1,"","P",0.0139423,***,""
"Func_MPB_PCIe_LB_I82_DPM",43000001,"",0,1,"@",1,1,"","P",0.0795103,***,""
"Iddq_Boxlo_Pre_100ns_T",167,"",0,1,"VDDA",1,73.8989,"uA","P",0.0303895,***,""
"Iddq_Boxlo_Pre_100ns_T",10167,"",0,1,"VDD",1,5.45686,"uA","P",0.0308527,***,""
"Iddq_Boxlo_Pre_100ns_T",20167,"",0,1,"VDDS",1,0.040312,"uA","P",0.0514201,***,""
"Iddq_Boxlo_Pre_100ns_T",30167,"",0,1,"VDDA2",1,102.308,"uA","P",0.142858,***,""
"Iddq_Boxlo_Pre_100ns_T",40167,"",0,1,"VDDA",1,66.4782,"uA","P",0.0309176,***,""
"Iddq_Boxlo_Pre_100ns_T",50167,"",0,1,"VDD",1,5.03922,"uA","P",0.0308287,***,""
"Iddq_Boxlo_Pre_100ns_T",60167,"",0,1,"VDDS",1,0.112313,"uA","P",0.0513973,***,""
"Iddq_Boxlo_Pre_100ns_T",70167,"",0,1,"VDDA2",1,100.651,"uA","P",0.0514115,***,""
"Iddq_Boxlo_Pre_100ns_T",80167,"",0,1,"VDDA",1,90.9113,"uA","P",0.0309298,***,""
"Iddq_Boxlo_Pre_100ns_T",90167,"",0,1,"VDD",1,4.86585,"uA","P",0.0308905,***,""
"Iddq_Boxlo_Pre_100ns_T",100167,"",0,1,"VDDS",1,0.05487,"uA","P",0.0514903,***,""
"Iddq_Boxlo_Pre_100ns_T",110167,"",0,1,"VDDA2",1,103.058,"uA","P",0.0514721,***,""
"Func_MPB_Membist",187,"",0,1,"@",1,1,"","P",0.0128016,***,""
"Func_MPB_PCIe_LB_I82_DPM",23000001,"",0,1,"@",1,1,"","P",0.0285752,***,""
"Func_MPB_F751744_path_delay",200,"",0,1,"@",1,1,"","P",0.0148054,***,""
"Func_MPB_F751744_scan16_0_DPM",10200,"",0,1,"@",1,1,"","P",0.0183223,***,""
"Func_MPB_F751744_scan16_1_DPM",20200,"",0,1,"@",1,1,"","P",0.0182338,***,""
"Func_MPB_F751744_scan16_2_DPM",30200,"",0,1,"@",1,1,"","P",0.018238,***,""
"Func_MPB_F751744_scan16_3_DPM",40200,"",0,1,"@",1,1,"","P",0.0182179,***,""
"Func_MPB_F751744_scan16_4_DPM",50200,"",0,1,"@",1,1,"","P",0.018158,***,""
"Func_MPB_F751744_scan16_5_DPM",60200,"",0,1,"@",1,1,"","P",0.0182058,***,""
"Func_MPB_F751744_scan16_6_DPM",70200,"",0,1,"@",1,1,"","P",0.0181455,***,""
"Func_MPB_F751744_scan16_7_DPM",80200,"",0,1,"@",1,1,"","P",0.0181535,***,""
"Func_MPB_F751744_scan16_8_DPM",90200,"",0,1,"@",1,1,"","P",0.0181611,***,""
"Func_MPB_F751744_scan16_9_DPM",100200,"",0,1,"@",1,1,"","P",0.0182092,***,""
"Func_MPB_F751744_scan16_10_DPM",110200,"",0,1,"@",1,1,"","P",0.0181407,***,""
"Func_MPB_F751744_scan16_11_DPM",120200,"",0,1,"@",1,1,"","P",0.0148243,***,""
"Extlb_MPB_PCIe_PHY_ELB_DPM",45000001,"",0,1,"@",1,1,"","P",0.0236422,***,""
"Extlb_MPB_PCIe_PHY_ELB_DPM",45020001,"",0,1,"@",1,1,"","P",0.0173473,***,""
"Func_MPB_PCIe_PHYILB_DPM",44000001,"",0,1,"@",1,1,"","P",0.0158393,***,""
"Func_MPB_PCIe_PHYILB_DPM",44020001,"",0,1,"@",1,1,"","P",0.0156961,***,""
"PHYPCIe_VR1_T",18015001,"",0,1,"@",1,1.20039,"V","P",0.00846057,***,""
"PHYPCIe_VR1_T",18035001,"",0,1,"@",1,1.20207,"V","P",0.00594455,***,""
"ZTXP1_VDDMin",19000001,"",0,1,"TXP",1,799.11,"mV","P",0.0304079,***,""
"ZTXN1_VDDMin",19010001,"",0,1,"TXN",1,798.883,"mV","P",0.0304079,***,""
"ZTXP1_Delta",19020001,"",0,1,"TXP",1,274.144,"mV","P",0.0304079,***,""
"ZTXN1_Delta",19030001,"",0,1,"TXN",1,274.826,"mV","P",0.0304079,***,""
"ZTXP2_VDDMin",19040001,"",0,1,"TXP",1,538.476,"mV","P",0.0304079,***,""
"ZTXN2_VDDMin",19050001,"",0,1,"TXN",1,538.704,"mV","P",0.0304079,***,""
"ZTXP2_Delta",19060001,"",0,1,"TXP",1,58.741,"mV","P",0.0304079,***,""
"ZTXN2_Delta",19070001,"",0,1,"TXN",1,58.968,"mV","P",0.0304079,***,""
"Calc_TX_Zon_VDDMin",19085007,"",0,1,"TXP",1,47.6037,"Ohm","P",0.0304079,***,""
"Calc_TX_Zon_VDDMin",19085008,"",0,1,"TXN",1,47.6037,"Ohm","P",0.0304079,***,""
"Calc_TX_Zon_VDDMin",19085009,"",0,1,"TXP+TXN",1,95.2074,"Ohm","P",0.0304079,***,""
"ZTXP1_VDDMax",83000001,"",0,1,"TXP",1,1130.92,"V","P",0.030003,***,""
"ZTXN1_VDDMax",83010001,"",0,1,"TXN",1,1130.69,"V","P",0.030003,***,""
"ZTXP1_Delta",83020001,"",0,1,"TXP",1,627.402,"mV","P",0.030003,***,""
"ZTXN1_Delta",83030001,"",0,1,"TXN",1,628.37,"mV","P",0.030003,***,""
"ZTXP2_VDDMax",83040001,"",0,1,"TXP",1,879.73,"mV","P",0.030003,***,""
"ZTXN2_VDDMax",83050001,"",0,1,"TXN",1,879.958,"mV","P",0.030003,***,""
"ZTXP2_Delta",83060001,"",0,1,"TXP",1,373.766,"mV","P",0.030003,***,""
"ZTXN2_Delta",83070001,"",0,1,"TXN",1,375.132,"mV","P",0.030003,***,""
"Calc_TX_Zon_VDDMax",83085007,"",0,1,"TXP",1,50.4826,"Ohm","P",0.030003,***,""
"Calc_TX_Zon_VDDMax",83085008,"",0,1,"TXN",1,50.3972,"Ohm","P",0.030003,***,""
"Calc_TX_Zon_VDDMax",83085009,"",0,1,"TXP+TXN",1,100.88,"Ohm","P",0.030003,***,""
"RXP_Zon_VDDMin",22000001,"",0,1,"RXP",1,5.07444,"mA","P",0.0156165,***,""
"RXN_Zon_VDDMin",22010001,"",0,1,"RXN",1,5.04237,"mA","P",0.0156165,***,""
"RXP_Zon_Delta",22020001,"",0,1,"RXP",1,1.96983,"mA","P",0.0156165,***,""
"RXN_Zon_Delta",22030001,"",0,1,"RXN",1,1.96202,"mA","P",0.0156165,***,""
"Calc_ZRX_on_VDDMin",22045007,"",0,1,"RXP",1,48.3152,"Ohm","P",0.0156165,***,""
"Calc_ZRX_on_VDDMin",22045008,"",0,1,"RXN",1,48.6957,"Ohm","P",0.0156165,***,""
"Calc_ZRX_on_VDDMin",22045009,"",0,1,"RXP+RXN",1,97.011,"Ohm","P",0.0156165,***,""
"RXP_Zoff_VDDMin",22050001,"",0,1,"RXP",1,-2.675,"uA","P",0.0164561,***,""
"RXN_Zoff_VDDMin",22060001,"",0,1,"RXN",1,-3.159,"uA","P",0.0164561,***,""
"Calc_ZRX_off_VDDMin",22075003,"",0,1,"RXP",1,74.7664,"KOhm","P",0.0164561,***,""
"Calc_ZRX_off_VDDMin",22075004,"",0,1,"RXN",1,63.3112,"KOhm","P",0.0164561,***,""
"RXP_Zon_VDDMax",84000001,"",0,1,"RXP",1,5.12478,"mA","P",0.0140855,***,""
"RXN_Zon_VDDMax",84010001,"",0,1,"RXN",1,5.09284,"mA","P",0.0140855,***,""
"RXP_Zon_Delta",84020001,"",0,1,"RXP",1,1.97674,"mA","P",0.0140855,***,""
"RXN_Zon_Delta",84030001,"",0,1,"RXN",1,1.96795,"mA","P",0.0140855,***,""
"Calc_ZRX_on_VDDMax",84045007,"",0,1,"RXP",1,47.6487,"Ohm","P",0.0140855,***,""
"Calc_ZRX_on_VDDMax",84045008,"",0,1,"RXN",1,48.0018,"Ohm","P",0.0140855,***,""
"Calc_ZRX_on_VDDMax",84045009,"",0,1,"RXP+RXN",1,95.6505,"Ohm","P",0.0140855,***,""
"RXP_Zoff_VDDMax",84050001,"",0,1,"RXP",1,-2.62,"uA","P",0.0163746,***,""
"RXN_Zoff_VDDMax",84060001,"",0,1,"RXN",1,-3.157,"uA","P",0.0163746,***,""
"Calc_ZRX_off_VDDMax",84075003,"",0,1,"RXP",1,76.3359,"KOhm","P",0.0163746,***,""
"Calc_ZRX_off_VDDMax",84075004,"",0,1,"RXN",1,63.3513,"KOhm","P",0.0163746,***,""
"TXP_I_Short_VDDMin",21000001,"",0,1,"TXP_SHRT",1,-23.4548,"mA","P",0.0384157,***,""
