Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"OpensShorts_T","OpensShorts_T",2025,"Parametric","",1,1,"",0,1,0.875,0.334932,-0.124403,-0.124403,0.124403,40,5,0,0.0174044,***
"OpensShorts_VDD33COM_Pins","OpensShorts_VDD33COM_Pins",12026,"Parametric","",1,1,"",1,1,1,0,***,***,***,40,0,0,0.0078754,***
"OpensShorts_VDD33COM_Pins","OpensShorts_VDD33COM_Pins",12027,"Parametric","",1,1,"",1,1,1,0,***,***,***,40,0,0,0.0078754,***
"Shrt_Pwr_VDDA_st","Shrt_Pwr_VDDA",33,"Parametric","",-25,25,"uA",0.021762,0.155325,0.117957,0.0263804,314.4,317.381,314.4,40,0,0,0.0164485,***
"Shrt_Pwr_VDD_st","Shrt_Pwr_VDD",10033,"Parametric","",-25,25,"uA",0.007446,0.670821,0.465423,0.173579,47.115,48.9025,47.115,40,0,0,0.0297564,***
"Shrt_Pwr_VDDS_st","Shrt_Pwr_VDDS",20033,"Parametric","",-25,25,"uA",-0.036016,0.093868,0.0391154,0.0301788,275.7,276.564,275.7,40,0,0,0.0308702,***
"Shrt_Pwr_VDDA2_st","Shrt_Pwr_VDDA2",30033,"Parametric","",-25,25,"uA",-0.042352,0.07277,0.0300163,0.0219525,379.151,380.063,379.151,40,0,0,0.0308252,***
"Shrt_Pwr_VDDA1_st","Shrt_Pwr_VDDA1",40033,"Parametric","",-25,25,"uA",-0.821507,1.51827,0.400691,0.532841,15.3888,15.8901,15.3888,40,0,0,0.00381938,***
"Shrt_Pwr_VDDP","Shrt_Pwr",14000001,"Parametric","",-25,25,"uA",-0.95,1.345,0.028625,0.576386,14.4413,14.4745,14.4413,40,0,0,0.00332307,***
"Open_Pwr_VDDP","Open_Pwr",14010001,"Parametric","",***,-2,"mA",-10.1074,0.000345,-8.53713,2.15726,1.0101,***,1.0101,40,2,0,0.0032937,***
"Open_Pwr_t","Open_Pwr_t_VDD",49,"Parametric","",***,-2,"mA",-5.01408,-0.0230622,-4.74998,1.09726,0.835407,***,0.835407,40,2,0,0.0129514,***
"Open_Pwr_t","Open_Pwr_t_VDDA",47,"Parametric","",***,-2,"mA",-5.01902,-0.0200626,-4.75453,1.09927,0.835265,***,0.835265,40,2,0,0.0129514,***
"Open_Pwr_t","Open_Pwr_t_VDDA1",46,"Parametric","",***,-2,"mA",-5.00106,-0.452361,-4.77185,0.982715,0.940201,***,0.940201,40,2,0,0.0129514,***
"Open_Pwr_t","Open_Pwr_t_VDDA2",48,"Parametric","",***,-2,"mA",-5.01588,-0.0613609,-4.75067,1.08853,0.842316,***,0.842316,40,2,0,0.0129514,***
"Open_Pwr_t","Open_Pwr_t_VDDS",50,"Parametric","",***,-2,"mA",-5.00001,-0.0556369,-4.74832,1.08944,0.8409,***,0.8409,40,2,0,0.0129514,***
"F751744_MEMBIST_Func_Vmin_Pre_st","Func_MPB_Membist",122,"Parametric","",1,1,"",0,1,0.875,0.334932,-0.124403,-0.124403,0.124403,40,5,0,0.0140441,***
"F751744_PATH_DELAY_Func_Vmin_Pre_st","Func_MPB_F751744_path_delay",131,"Parametric","",1,1,"",0,1,0.875,0.334932,-0.124403,-0.124403,0.124403,40,5,0,0.0132141,***
"F751744_SCAN16_0_Func_Vmin_Pre_st","Func_MPB_F751744_scan16_0_DPM",10131,"Parametric","",1,1,"",0,1,0.875,0.334932,-0.124403,-0.124403,0.124403,40,5,0,0.017417,***
"F751744_SCAN16_1_Func_Vmin_Pre_st","Func_MPB_F751744_scan16_1_DPM",20131,"Parametric","",1,1,"",0,1,0.875,0.334932,-0.124403,-0.124403,0.124403,40,5,0,0.0173407,***
"F751744_SCAN16_2_Func_Vmin_Pre_st","Func_MPB_F751744_scan16_2_DPM",30131,"Parametric","",1,1,"",0,1,0.875,0.334932,-0.124403,-0.124403,0.124403,40,5,0,0.017296,***
"F751744_SCAN16_3_Func_Vmin_Pre_st","Func_MPB_F751744_scan16_3_DPM",40131,"Parametric","",1,1,"",0,1,0.875,0.334932,-0.124403,-0.124403,0.124403,40,5,0,0.01731,***
