Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"P1",0,1,1,"1",1,10563.7,""
2,"P2",0,2,1,"1",1,10563.7,""
3,"P3",0,3,1,"1",1,10563.7,""
4,"P4",0,4,1,"1",1,10563.7,""
5,"P5",0,1,0,"79",13,10554.4,"79"
6,"P6",0,2,1,"1",1,10554.4,""
7,"P7",0,3,1,"1",1,10554.5,""
8,"P8",0,4,1,"1",1,10554.5,""
9,"P5",0,1,0,"79",13,10522.5,"79"
10,"P6",0,2,1,"1",1,10522.6,""
11,"P7",0,3,1,"1",1,10522.6,""
12,"P8",0,4,1,"1",1,10522.6,""
13,"P5",0,1,0,"79",13,10519.5,"79"
14,"P6",0,2,1,"1",1,10519.6,""
15,"P7",0,3,1,"1",1,10519.6,""
16,"P8",0,4,1,"1",1,10519.6,""
17,"P5",0,1,0,"79",13,10572.6,"79"
18,"P6",0,2,1,"1",1,10572.6,""
19,"P7",0,3,1,"1",1,10572.6,""
20,"P8",0,4,1,"1",1,10572.6,""
21,"P9",0,1,0,"79",13,10545.3,"79"
22,"P10",0,2,1,"1",1,10545.3,""
23,"P11",0,3,1,"1",1,10545.3,""
24,"P12",0,4,1,"1",1,10545.3,""
25,"P9",0,1,0,"79",13,10572.6,"79"
26,"P10",0,2,1,"1",1,10572.6,""
27,"P11",0,3,1,"1",1,10572.6,""
28,"P12",0,4,1,"1",1,10572.6,""
29,"P13",0,1,0,"79",13,10529.9,"79"
30,"P14",0,2,1,"1",1,10530,""
31,"P15",0,3,1,"1",1,10530,""
32,"P16",0,4,1,"1",1,10530,""
33,"P14",0,1,1,"1",1,10545.3,""
34,"P13",0,2,1,"1",1,10545.3,""
35,"P15",0,3,1,"1",1,10545.3,""
36,"P16",0,4,1,"1",1,10545.3,""
37,"P17",0,1,1,"1",1,10543.9,""
38,"P18",0,2,1,"1",1,10544,""
39,"P19",0,3,1,"1",1,10544,""
40,"P20",0,4,1,"1",1,10544,""
41,"P21",0,1,1,"1",1,11360.3,""
42,"P22",0,2,1,"1",1,11360.3,""
43,"P23",0,3,1,"1",1,11360.3,""
44,"P24",0,4,0,"87",13,11360.3,"87"
45,"P21",0,1,1,"1",1,11328.7,""
46,"P22",0,2,1,"1",1,11328.7,""
47,"P23",0,3,1,"1",1,11328.7,""
48,"P24",0,4,0,"87",13,11328.7,"87"
49,"P25",0,1,0,"79",13,11087.1,"79"
50,"P26",0,2,1,"1",1,11087.1,""
51,"P27",0,3,1,"1",1,11087.1,""
52,"P28",0,4,0,"87",13,11087.1,"87"
53,"P25",0,1,0,"79",13,11347.6,"79"
54,"P26",0,2,1,"1",1,11347.7,""
55,"P27",0,3,1,"1",1,11347.7,""
56,"P28",0,4,0,"87",13,11347.6,"87"
57,"P29",0,1,0,"100",8,21156.9,"100"
58,"P30",0,2,1,"1",1,21156.9,""
59,"P5",0,3,1,"1",1,21156.9,""
60,"P9",0,4,1,"1",1,21156.9,""
61,"P24",0,1,0,"79",13,10414.5,"79"
62,"P28",0,2,1,"1",1,10414.5,""
63,"P25",0,3,1,"1",1,10414.5,""
64,"P24",0,1,0,"79",13,10391.9,"79"
65,"P28",0,2,1,"1",1,10391.9,""
66,"P25",0,3,1,"1",1,10391.9,""
67,"P28",0,1,0,"87",13,10738.1,"87"
68,"P24",0,2,1,"1",1,10738.1,""
69,"P25",0,3,1,"1",1,10738.2,""
70,"P28",0,1,0,"87",13,10940.2,"87"
71,"P24",0,2,1,"1",1,10940.2,""
72,"P25",0,3,1,"1",1,10940.2,""
73,"P20.1",0,1,0,"87",13,24698.3,"87"
74,"P20.2",0,2,1,"1",1,24698.3,""
75,"P20.3",0,3,1,"1",1,24698.3,""
76,"P20.4",0,4,0,"100",8,24698.3,"100"
