SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"1","good",1,280,56,73.7,1,0
"79","F_LEAK_IO",1,55,11,14.5,0,0
"87","F_LEAK_IDDQ_BOXLO_PRE",4,43.8,7,9.2,0,0
"100","F_OS_OPEN",1,10,2,2.6,0,0
"12","",0,***,0,0,0,0
"90","F_PARA_PCIe",0,***,0,0,0,0
"db","",0,***,0,0,0,0
"","",0,***,0,0,0,0
"10","F_OS_SHRT2_PWR_VDDA",0,***,0,0,0,0
"11","F_OS_SHRT2_PWR_VDD",0,***,0,0,0,0
"13","F_OS_SHRT2_PWR_VDDA2",0,***,0,0,0,0
"14","F_OS_SHRT2_PWR_VDDA1",0,***,0,0,0,0
"2","F_OS_SHRT",0,***,0,0,0,0
"29","F_OS_CRES",0,***,0,0,0,0
"3","F_OS_SHRT_PWR_VDDA",0,***,0,0,0,0
"4","F_OS_SHRT_PWR_VDD",0,***,0,0,0,0
"44","F_FUNC_MIN_PRE",0,***,0,0,0,0
"45","F_FUNC_MIN_PRE1",0,***,0,0,0,0
"47","F_FUNC_MIN_PRE3",0,***,0,0,0,0
"5","F_OS_SHRT_PWR_VDDS",0,***,0,0,0,0
"6","F_OS_SHRT_PWR_VDDA2",0,***,0,0,0,0
"66","F_FUNC_MAX_POST",0,***,0,0,0,0
"67","F_FUNC_MAX_POST1",0,***,0,0,0,0
"7","F_OS_SHRT_PWR_VDDA1",0,***,0,0,0,0
"70","F_FUNC_BOXHI_POST",0,***,0,0,0,0
"75","F_PARA_VIO_MIN",0,***,0,0,0,0
"76","F_PARA_VIO_MIN1",0,***,0,0,0,0
"77","F_PARA_VIO_MAX",0,***,0,0,0,0
"78","F_PARA_VIO_MAX1",0,***,0,0,0,0
"8","F_OS_SHRT_PWR_VDDA_VDD_VDDS_VD",0,***,0,0,0,0
"86","F_OS_SHRT_PWR_VDDP",0,***,0,0,0,0
