Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"OpensShorts_T","OpensShorts_T",2025,"Parametric","OpensShorts_T",1,1,"",0,1,0.973684,0.161136,-0.0544379,-0.0544379,0.0544379,76,2,0,17.0824,65.7842
"OpensShorts_VDD33COM_Pins","OpensShorts_VDD33COM_Pins",12026,"Parametric","OpensShorts_T_VDD33COM_Pins",1,1,"",1,1,1,0,***,***,***,76,0,0,6.78725,26.7491
"OpensShorts_VDD33COM_Pins","OpensShorts_VDD33COM_Pins",12027,"Parametric","OpensShorts_T_VDD33COM_Pins",1,1,"",1,1,1,0,***,***,***,76,0,0,0.0376711,26.7491
"Opens_T","Opens_T",23026,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44362,-0.594827,-0.615519,0.0964135,***,1.32928,***,76,1,0,16.3994,74.1107
"Opens_T","Opens_T",23027,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44494,-0.595453,-0.626547,0.135494,***,0.918746,***,76,2,0,0.0238026,74.1107
"Opens_T","Opens_T",23028,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44899,-0.474837,-0.511798,0.154513,***,1.0532,***,76,2,0,0.0239868,74.1107
"Opens_T","Opens_T",23029,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44737,-0.595581,-0.616134,0.09682,***,1.32158,***,76,1,0,0.0215789,74.1107
"Opens_T","Opens_T",23030,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.4395,-0.476184,-0.500543,0.109269,***,1.52362,***,76,1,0,0.0246711,74.1107
"Opens_T","Opens_T",23031,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44028,-0.363986,-0.384491,0.122748,***,1.67148,***,76,1,0,0.0228026,74.1107
"Opens_T","Opens_T",23032,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44076,-0.47347,-0.498089,0.109715,***,1.52489,***,76,1,0,0.0206053,74.1107
"Opens_T","Opens_T",23033,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44223,-0.452642,-0.479206,0.112146,***,1.54796,***,76,1,0,0.0225789,74.1107
"Opens_T","Opens_T",23034,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44557,-0.595754,-0.618057,0.0963501,***,1.32137,***,76,1,0,0.0221711,74.1107
"Opens_T","Opens_T",23035,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44315,-0.595094,-0.616051,0.0963131,***,1.32882,***,76,1,0,0.0210658,74.1107
"Opens_T","Opens_T",23036,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44863,-0.595793,-0.627561,0.135865,***,0.913746,***,76,2,0,0.0219342,74.1107
"Opens_T","Opens_T",23037,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44737,-0.595979,-0.627089,0.135808,***,0.915288,***,76,2,0,0.0217368,74.1107
"Opens_T","Opens_T",23038,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44223,-0.595906,-0.616617,0.0961232,***,1.32948,***,76,1,0,0.02075,74.1107
"Opens_T","Opens_T",23039,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44742,-0.595239,-0.627014,0.135683,***,0.91632,***,76,2,0,0.0220921,74.1107
"Opens_T","Opens_T",23040,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44904,-0.484525,-0.506639,0.109636,***,1.49999,***,76,1,0,0.0229737,74.1107
"Opens_T","Opens_T",23041,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44509,-0.596237,-0.627699,0.135261,***,0.917486,***,76,2,0,0.0217632,74.1107
"Opens_T","Opens_T",23042,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44894,-0.595587,-0.6282,0.135437,***,0.915063,***,76,2,0,0.0205132,74.1107
"Opens_T","Opens_T",23043,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44582,-0.594559,-0.628342,0.135246,***,0.916001,***,76,2,0,0.0227368,74.1107
"Opens_T","Opens_T",23044,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44633,-0.486874,-0.509032,0.109041,***,1.50087,***,76,1,0,0.0254079,74.1107
"Opens_T","Opens_T",23045,"Parametric","OpensShorts_T_VDD33COM_Pins",-1,***,"V",-1.44463,-0.595771,-0.616886,0.0963549,***,1.32536,***,76,1,0,0.0231316,74.1107
