Datalog report
Mon Feb  3 12:32:03 2025

                      Lot:  RT_data
                   Tester:  smartscale00.anoralabs.com
                  Program:  IBM_NP_Master_Rev004_RT.ttf
                      Rev:  
                   Device:  B6811850
          Device Revision:  
                    Sites:  1
             Package Type:  B6811850
                 Operator:  padmesh
                Test Code:  FT
         Test Temperature:  25C
        Handler or Prober:  handtest (Offline)
         Smartest Version:  7.10.6.0
    Smartest Release Date:  Thu, 04 Aug 2022 08:14:36 +0200
           Executive Name:  TCCT
        Executive Version:  1.9.8
   Executive Release Date:  20200617


Site1 PartID: "P7960037"
Number     Test Name                                                             Low           Measured               High       Site(P/F)
721101     vdd_core                                                            0.080V     <      0.0999V     <       0.120V      Site:1
211002     Supply_Short_vcs_pll                                               -1.000mA    <      0.0205mA    <       1.000mA     Site:1
211003     Supply_Short_vcs_pm_1                                              -1.000mA    <      0.0177mA    <       1.000mA     Site:1
211004     Supply_Short_vcs_pm_2                                              -1.000mA    <      0.0150mA    <       1.000mA     Site:1
211007     Supply_Short_vcsio_pll                                             -1.000mA    <      0.0048mA    <       1.000mA     Site:1
211008     Supply_Short_vcsio_ts                                              -1.000mA    <      0.0125mA    <       1.000mA     Site:1
211009     Supply_Short_vcsio_vs_1                                            -1.000mA    <      0.0024mA    <       1.000mA     Site:1
211010     Supply_Short_vcsio_vs_2                                            -1.000mA    <      0.0022mA    <       1.000mA     Site:1
211005     Supply_Short_vdd_io_clk                                            -1.000mA    <      0.0125mA    <       1.000mA     Site:1
211006     Supply_Short_vdd_pll                                               -1.000mA    <      0.0121mA    <       1.000mA     Site:1
211011     Supply_Short_vddio_io_clk                                          -1.000mA    <      0.0046mA    <       1.000mA     Site:1
211012     Supply_Short_vddio_pll                                             -1.000mA    <     -0.0045mA    <       1.000mA     Site:1
211013     Supply_Short_vddio_rx                                              -1.000mA    <      0.0736mA    <       1.000mA     Site:1
211014     Supply_Short_vddio_tx                                              -1.000mA    <      0.0736mA    <       1.000mA     Site:1
211001     Supply_Short_vdd_core                                              -0.100mA    <    511.0075mA    <    1000.000mA     Site:1
110001     cont_row_even_col_even_io_req_pad_size_0                            0.200V     <      0.7603V     <       0.900V      Site:1
110002     cont_row_even_col_even_io_req_pad_data_30                           0.500V     <      0.7601V     <       0.900V      Site:1
110003     cont_row_even_col_even_io_req_pad_data_13                           0.500V     <      0.7599V     <       0.900V      Site:1
110004     cont_row_even_col_even_io_req_pad_addr_5                            0.500V     <      0.7601V     <       0.900V      Site:1
110005     cont_row_even_col_even_io_req_pad_size_1                            0.500V     <      0.7603V     <       0.900V      Site:1
110006     cont_row_even_col_even_io_req_pad_addr_9                            0.500V     <      0.7599V     <       0.900V      Site:1
110007     cont_row_even_col_even_dft_scan_scan_out_pad_o_4                    0.200V     <      0.2739V     <       0.400V      Site:1
110008     cont_row_even_col_even_io_req_pad_data_8                            0.500V     <      0.7600V     <       0.900V      Site:1
110009     cont_row_even_col_even_io_req_pad_data_4                            0.500V     <      0.7600V     <       0.900V      Site:1
110010     cont_row_even_col_even_io_rsp_pad_data_30                           0.200V     <      0.2729V     <       0.400V      Site:1
110011     cont_row_even_col_even_io_rsp_pad_data_26                           0.200V     <      0.2735V     <       0.400V      Site:1
110012     cont_row_even_col_even_io_req_pad_data_18                           0.500V     <      0.7600V     <       0.900V      Site:1
110013     cont_row_even_col_even_io_req_pad_addr_8                            0.500V     <      0.7600V     <       0.900V      Site:1
110014     cont_row_even_col_even_io_req_pad_addr_4                            0.500V     <      0.7600V     <       0.900V      Site:1
110015     cont_row_even_col_even_io_rsp_pad_data_21                           0.200V     <      0.2746V     <       0.400V      Site:1
110016     cont_row_even_col_even_io_req_pad_data_1                            0.500V     <      0.7596V     <       0.900V      Site:1
110017     cont_row_even_col_even_tap_tck_pad_i                                0.500V     <      0.7599V     <       0.900V      Site:1
110018     cont_row_even_col_even_io_rsp_pad_size_1                            0.200V     <      0.2744V     <       0.400V      Site:1
110019     cont_row_even_col_even_tap_tdi_pad_i                                0.500V     <      0.7598V     <       0.900V      Site:1
110020     cont_row_even_col_even_dft_scan_scan_out_pad_o_2                    0.200V     <      0.2722V     <       0.400V      Site:1
110021     cont_row_even_col_even_io_rsp_pad_addr_valid                        0.200V     <      0.2723V     <       0.400V      Site:1
110022     cont_row_even_col_even_io_rsp_pad_data_7                            0.200V     <      0.2719V     <       0.400V      Site:1
110023     cont_row_even_col_even_io_req_pad_addr_2                            0.500V     <      0.7599V     <       0.900V      Site:1
110024     cont_row_even_col_even_io_req_pad_addr_15                           0.500V     <      0.7599V     <       0.900V      Site:1
110025     cont_row_even_col_even_pmon_d_clk0_pad_o                            0.200V     <      0.2723V     <       0.400V      Site:1
110026     cont_row_even_col_even_io_rsp_pad_data_18                           0.200V     <      0.2729V     <       0.400V      Site:1
110027     cont_row_even_col_even_dft_scan_scan_out_pad_o_8                    0.200V     <      0.2746V     <       0.400V      Site:1
110028     cont_row_even_col_even_io_rsp_pad_data_14                           0.200V     <      0.2740V     <       0.400V      Site:1
110029     cont_row_even_col_even_io_req_pad_data_20                           0.500V     <      0.7598V     <       0.900V      Site:1
110030     cont_row_even_col_even_tap_rstn_pad_i                               0.500V     <      0.7596V     <       0.900V      Site:1
110031     cont_row_even_col_even_dft_scan_scan_out_pad_o_12                   0.200V     <      0.2733V     <       0.400V      Site:1
110032     cont_row_even_col_even_io_req_pad_addr_24                           0.500V     <      0.7602V     <       0.900V      Site:1
110033     cont_row_even_col_even_dft_1500_shiftwr_pad_i                       0.500V     <      0.7602V     <       0.900V      Site:1
110034     cont_row_even_col_even_dft_1500_wrstn_pad_i                         0.500V     <      0.7601V     <       0.900V      Site:1
110035     cont_row_even_col_even_io_req_pad_addr_12                           0.500V     <      0.7600V     <       0.900V      Site:1
110036     cont_row_even_col_even_dft_scan_scan_in_pad_i_12                    0.500V     <      0.7602V     <       0.900V      Site:1
110037     cont_row_even_col_even_dft_scan_scan_in_pad_i_1                     0.500V     <      0.7602V     <       0.900V      Site:1
110038     cont_row_even_col_even_dft_scan_lpg2_pad_i                          0.500V     <      0.7601V     <       0.900V      Site:1
110039     cont_row_even_col_even_io_clk_pad_i                                 0.500V     <      0.7603V     <       0.900V      Site:1
