Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.099654,0.099654,0.099654,0,***,***,***,1,0,0,1.45413,***
"supply_short_HT","supply_short_HT_vcs_pll",221102,"Parametric","",-1,1,"mA",0.00860096,0.00860096,0.00860096,0,***,***,***,1,0,0,0.315953,***
"supply_short_HT","supply_short_HT_vcs_pm_1",221103,"Parametric","",-1,1,"mA",0.0177437,0.0177437,0.0177437,0,***,***,***,1,0,0,0.315953,***
"supply_short_HT","supply_short_HT_vcs_pm_2",221104,"Parametric","",-1,1,"mA",0.0189723,0.0189723,0.0189723,0,***,***,***,1,0,0,0.315953,***
"supply_short_HT","supply_short_HT_vcsio_pll",221107,"Parametric","",-1,1,"mA",-0.00306018,-0.00306018,-0.00306018,0,***,***,***,1,0,0,0.315953,***
"supply_short_HT","supply_short_HT_vcsio_ts",221108,"Parametric","",-1,1,"mA",0.000670069,0.000670069,0.000670069,0,***,***,***,1,0,0,0.315953,***
"supply_short_HT","supply_short_HT_vcsio_vs_1",221109,"Parametric","",-1,1,"mA",0.00242986,0.00242986,0.00242986,0,***,***,***,1,0,0,0.315953,***
"supply_short_HT","supply_short_HT_vcsio_vs_2",221110,"Parametric","",-1,1,"mA",0.00610976,0.00610976,0.00610976,0,***,***,***,1,0,0,0.315953,***
"supply_short_HT","supply_short_HT_vdd_io_clk",221105,"Parametric","",-1,1,"mA",0.0203683,0.0203683,0.0203683,0,***,***,***,1,0,0,0.315953,***
"supply_short_HT","supply_short_HT_vdd_pll",221106,"Parametric","",-1,1,"mA",0.0120565,0.0120565,0.0120565,0,***,***,***,1,0,0,0.315953,***
"supply_short_HT","supply_short_HT_vddio_io_clk",221111,"Parametric","",-1,1,"mA",0.00458819,0.00458819,0.00458819,0,***,***,***,1,0,0,0.315953,***
"supply_short_HT","supply_short_HT_vddio_pll",221112,"Parametric","",-1,1,"mA",-0.00452724,-0.00452724,-0.00452724,0,***,***,***,1,0,0,0.315953,***
"supply_short_HT","supply_short_HT_vddio_rx",221113,"Parametric","",-1,2,"mA",0.0578539,0.0578539,0.0578539,0,***,***,***,1,0,0,0.315953,***
"supply_short_HT","supply_short_HT_vddio_tx",221114,"Parametric","",-1,2,"mA",0.0736026,0.0736026,0.0736026,0,***,***,***,1,0,0,0.315953,***
"supply_short_HT","supply_short_HT_vdd_core",221101,"Parametric","",-1,10000,"mA",491.332,491.332,491.332,0,***,***,***,1,0,0,0.315953,***
