Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"Efuse_wr_rd","Address_0x3",***,"Parametric","_rdi_burst_Funtional_tests_COLD_BOOT_FUNC_mp_md5_8e40796f9f99e170009718380f1c79aa",1,1," ",0,1,0.666667,0.57735,-0.19245,-0.19245,0.19245,3,1,0,21436,21474.3
"Efuse_wr_rd","Address_0x4",***,"Parametric","_rdi_burst_Funtional_tests_COLD_BOOT_FUNC_mp_md5_8e40796f9f99e170009718380f1c79aa",1,1," ",0,1,0.666667,0.57735,-0.19245,-0.19245,0.19245,3,1,0,0.0506667,21474.3
"Efuse_wr_rd","Address_0x5",***,"Parametric","_rdi_burst_Funtional_tests_COLD_BOOT_FUNC_mp_md5_8e40796f9f99e170009718380f1c79aa",1,1," ",0,1,0.666667,0.57735,-0.19245,-0.19245,0.19245,3,1,0,0.033,21474.3
"Supply_Short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.0204589,0.0204589,0.0204589,0,***,***,***,1,0,0,572.115,578.294
"Supply_Short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.0335554,0.0335554,0.0335554,0,***,***,***,1,0,0,0.139,578.294
"Supply_Short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0268781,0.0268781,0.0268781,0,***,***,***,1,0,0,0.011,578.294
"Supply_Short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",0.000891426,0.000891426,0.000891426,0,***,***,***,1,0,0,0.017,578.294
"Supply_Short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",0.0125257,0.0125257,0.0125257,0,***,***,***,1,0,0,0.1,578.294
"Supply_Short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",0.0103338,0.0103338,0.0103338,0,***,***,***,1,0,0,0.024,578.294
"Supply_Short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",0.0100627,0.0100627,0.0100627,0,***,***,***,1,0,0,0.06,578.294
"Supply_Short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.0203683,0.0203683,0.0203683,0,***,***,***,1,0,0,0.023,578.294
"Supply_Short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.0239114,0.0239114,0.0239114,0,***,***,***,1,0,0,0.036,578.294
"Supply_Short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.00458819,0.00458819,0.00458819,0,***,***,***,1,0,0,0.032,578.294
"Supply_Short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",0.00337019,0.00337019,0.00337019,0,***,***,***,1,0,0,0.033,578.294
"Supply_Short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0894326,0.0894326,0.0894326,0,***,***,***,1,0,0,0.03,578.294
"Supply_Short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.113091,0.113091,0.113091,0,***,***,***,1,0,0,0.03,578.294
"Supply_Short","supply_short_vdd_core",211001,"Parametric","",-0.1,2000,"mA",812.627,812.627,812.627,0,***,***,***,1,0,0,0.031,578.294
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.73997,0.73997,0.73997,0,***,***,***,1,0,0,439.155,449.608
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.739816,0.739816,0.739816,0,***,***,***,1,0,0,0.034,449.608
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.739919,0.739919,0.739919,0,***,***,***,1,0,0,2.325,449.608
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.739976,0.739976,0.739976,0,***,***,***,1,0,0,0.016,449.608
