Test,Test#,Pattern,Wafer,Site,Pin,Device,Value,Unit,P/F,Time,TS Time,Print To Data Log
"vdd_core",721101,"",0,1,"vdd_core",1,0.0997767,"V","P",3304.89,3312.12,""
"Supply_Short_vcs_pll",211002,"",0,1,"vcs_pll",1,0.0125536,"mA","P",308.594,313.775,""
"Supply_Short_vcs_pm_1",211003,"",0,1,"vcs_pm_1",1,0.0256495,"mA","P",0.015,313.775,""
"Supply_Short_vcs_pm_2",211004,"",0,1,"vcs_pm_2",1,0.0150194,"mA","P",0.042,313.775,""
"Supply_Short_vcsio_pll",211007,"",0,1,"vcsio_pll",1,0.00484303,"mA","P",0.155,313.775,""
"Supply_Short_vcsio_ts",211008,"",0,1,"vcsio_ts",1,0.00857382,"mA","P",0.012,313.775,""
"Supply_Short_vcsio_vs_1",211009,"",0,1,"vcsio_vs_1",1,0.00242986,"mA","P",0.017,313.775,""
"Supply_Short_vcsio_vs_2",211010,"",0,1,"vcsio_vs_2",1,0.00215676,"mA","P",0.018,313.775,""
"Supply_Short_vdd_io_clk",211005,"",0,1,"vdd_io_clk",1,0.0203683,"mA","P",0.009,313.775,""
"Supply_Short_vdd_pll",211006,"",0,1,"vdd_pll",1,0.0239114,"mA","P",0.025,313.775,""
"Supply_Short_vddio_io_clk",211011,"",0,1,"vddio_io_clk",1,0.00854062,"mA","P",0.034,313.775,""
"Supply_Short_vddio_pll",211012,"",0,1,"vddio_pll",1,-0.000578522,"mA","P",0.032,313.775,""
"Supply_Short_vddio_rx",211013,"",0,1,"vddio_rx",1,0.113117,"mA","P",0.032,313.775,""
"Supply_Short_vddio_tx",211014,"",0,1,"vddio_tx",1,0.0736026,"mA","P",0.03,313.775,""
"Supply_Short_vdd_core",211001,"",0,1,"vdd_core",1,604.02,"mA","P",0.031,313.775,""
"cont_row_even_col_even_io_req_pad_size_0",110001,"",0,1,"io_req_pad_size_0",1,0.754819,"V","P",447.979,458.875,""
"cont_row_even_col_even_io_req_pad_data_30",110002,"",0,1,"io_req_pad_data_30",1,0.754666,"V","P",0.013,458.875,""
"cont_row_even_col_even_io_req_pad_data_13",110003,"",0,1,"io_req_pad_data_13",1,0.75454,"V","P",0.047,458.875,""
"cont_row_even_col_even_io_req_pad_addr_5",110004,"",0,1,"io_req_pad_addr_5",1,0.754654,"V","P",0.053,458.875,""
"cont_row_even_col_even_io_req_pad_size_1",110005,"",0,1,"io_req_pad_size_1",1,0.754933,"V","P",0.045,458.875,""
