Test Suite,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Value,Unit,P/F,Time,TS Time,Print To Data Log
"Device_Power_Up","vdd_core",721101,"",0,1,"vdd_core",1,"8336653",0.0997767,"V","P",1.43771,***,""
"Supply_Short_HT","Supply_Short_HT_vcs_pll",221102,"",0,1,"vcs_pll",1,"8336653",0.119275,"mA","P",0.310375,***,""
"Supply_Short_HT","Supply_Short_HT_vcs_pm_1",221103,"",0,1,"vcs_pm_1",1,"8336653",0.160049,"mA","P",0.310375,***,""
"Supply_Short_HT","Supply_Short_HT_vcs_pm_2",221104,"",0,1,"vcs_pm_2",1,"8336653",0.161276,"mA","P",0.310375,***,""
"Supply_Short_HT","Supply_Short_HT_vcsio_pll",221107,"",0,1,"vcsio_pll",1,"8336653",0.0285527,"mA","P",0.310375,***,""
"Supply_Short_HT","Supply_Short_HT_vcsio_ts",221108,"",0,1,"vcsio_ts",1,"8336653",0.0322851,"mA","P",0.310375,***,""
"Supply_Short_HT","Supply_Short_HT_vcsio_vs_1",221109,"",0,1,"vcsio_vs_1",1,"8336653",0.0300938,"mA","P",0.310375,***,""
"Supply_Short_HT","Supply_Short_HT_vcsio_vs_2",221110,"",0,1,"vcsio_vs_2",1,"8336653",0.0337807,"mA","P",0.310375,***,""
"Supply_Short_HT","Supply_Short_HT_vdd_io_clk",221105,"",0,1,"vdd_io_clk",1,"8336653",0.103384,"mA","P",0.310375,***,""
"Supply_Short_HT","Supply_Short_HT_vdd_pll",221106,"",0,1,"vdd_pll",1,"8336653",0.0950407,"mA","P",0.310375,***,""
"Supply_Short_HT","Supply_Short_HT_vddio_io_clk",221111,"",0,1,"vddio_io_clk",1,"8336653",0.00854062,"mA","P",0.310375,***,""
"Supply_Short_HT","Supply_Short_HT_vddio_pll",221112,"",0,1,"vddio_pll",1,"8336653",0.00731891,"mA","P",0.310375,***,""
"Supply_Short_HT","Supply_Short_HT_vddio_rx",221113,"",0,1,"vddio_rx",1,"8336653",0.973634,"mA","P",0.310375,***,""
"Supply_Short_HT","Supply_Short_HT_vddio_tx",221114,"",0,1,"vddio_tx",1,"8336653",0.902852,"mA","P",0.310375,***,""
"Supply_Short_HT","Supply_Short_HT_vdd_core",221101,"",0,1,"vdd_core",1,"8336653",4043.69,"mA","P",0.310375,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"",0,1,"io_req_pad_size_0",1,"8336653",0.668906,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"",0,1,"io_req_pad_data_30",1,"8336653",0.669035,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"",0,1,"io_req_pad_data_13",1,"8336653",0.669942,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"",0,1,"io_req_pad_addr_5",1,"8336653",0.670852,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"",0,1,"io_req_pad_size_1",1,"8336653",0.668906,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"",0,1,"io_req_pad_addr_9",1,"8336653",0.670329,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"",0,1,"dft_scan_scan_out_pad_o_4",1,"8336653",0.237129,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"",0,1,"io_req_pad_data_8",1,"8336653",0.670451,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"",0,1,"io_req_pad_data_4",1,"8336653",0.670907,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"",0,1,"io_rsp_pad_data_30",1,"8336653",0.236445,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"",0,1,"io_rsp_pad_data_26",1,"8336653",0.236741,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"",0,1,"io_req_pad_data_18",1,"8336653",0.669661,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"",0,1,"io_req_pad_addr_8",1,"8336653",0.67055,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"",0,1,"io_req_pad_addr_4",1,"8336653",0.670771,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"",0,1,"io_rsp_pad_data_21",1,"8336653",0.236229,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"",0,1,"io_req_pad_data_1",1,"8336653",0.670966,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"",0,1,"tap_tck_pad_i",1,"8336653",0.671404,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"",0,1,"io_rsp_pad_size_1",1,"8336653",0.235819,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"",0,1,"tap_tdi_pad_i",1,"8336653",0.671354,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"",0,1,"dft_scan_scan_out_pad_o_2",1,"8336653",0.234542,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"",0,1,"io_rsp_pad_addr_valid",1,"8336653",0.2344,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_7",110022,"",0,1,"io_rsp_pad_data_7",1,"8336653",0.236788,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_2",110023,"",0,1,"io_req_pad_addr_2",1,"8336653",0.671009,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_15",110024,"",0,1,"io_req_pad_addr_15",1,"8336653",0.669656,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_pmon_d_clk0_pad_o",110025,"",0,1,"pmon_d_clk0_pad_o",1,"8336653",0.239431,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_18",110026,"",0,1,"io_rsp_pad_data_18",1,"8336653",0.234395,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_8",110027,"",0,1,"dft_scan_scan_out_pad_o_8",1,"8336653",0.235464,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_14",110028,"",0,1,"io_rsp_pad_data_14",1,"8336653",0.237403,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_20",110029,"",0,1,"io_req_pad_data_20",1,"8336653",0.669231,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_tap_rstn_pad_i",110030,"",0,1,"tap_rstn_pad_i",1,"8336653",0.670955,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_12",110031,"",0,1,"dft_scan_scan_out_pad_o_12",1,"8336653",0.235591,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_24",110032,"",0,1,"io_req_pad_addr_24",1,"8336653",0.66945,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_shiftwr_pad_i",110033,"",0,1,"dft_1500_shiftwr_pad_i",1,"8336653",0.671049,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_wrstn_pad_i",110034,"",0,1,"dft_1500_wrstn_pad_i",1,"8336653",0.670981,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_12",110035,"",0,1,"io_req_pad_addr_12",1,"8336653",0.670113,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_12",110036,"",0,1,"dft_scan_scan_in_pad_i_12",1,"8336653",0.669998,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_1",110037,"",0,1,"dft_scan_scan_in_pad_i_1",1,"8336653",0.669405,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_lpg2_pad_i",110038,"",0,1,"dft_scan_lpg2_pad_i",1,"8336653",0.668929,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_clk_pad_i",110039,"",0,1,"io_clk_pad_i",1,"8336653",0.66871,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_10",110040,"",0,1,"dft_scan_scan_out_pad_o_10",1,"8336653",0.23506,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_14",110041,"",0,1,"dft_scan_scan_out_pad_o_14",1,"8336653",0.236905,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_27",110042,"",0,1,"io_req_pad_data_27",1,"8336653",0.668922,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_selectwr_pad_i",110043,"",0,1,"dft_1500_selectwr_pad_i",1,"8336653",0.670836,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_pmbist_pmbist_mode_pad_i",110044,"",0,1,"dft_pmbist_pmbist_mode_pad_i",1,"8336653",0.670512,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_11",110045,"",0,1,"dft_scan_scan_in_pad_i_11",1,"8336653",0.66967,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_21",110046,"",0,1,"io_req_pad_addr_21",1,"8336653",0.669301,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_0",110047,"",0,1,"dft_scan_scan_in_pad_i_0",1,"8336653",0.66927,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_ss1_pad_i",110048,"",0,1,"dft_scan_ss1_pad_i",1,"8336653",0.669131,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_ddr_enable_pad_i",110049,"",0,1,"io_ddr_enable_pad_i",1,"8336653",0.668717,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_3",110050,"",0,1,"io_rsp_pad_data_3",1,"8336653",0.237161,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_int_data_pad_4",110051,"",0,1,"int_data_pad_4",1,"8336653",0.237554,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_int_data_pad_2",110052,"",0,1,"int_data_pad_2",1,"8336653",0.237118,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_19",110053,"",0,1,"io_rsp_pad_data_19",1,"8336653",0.235007,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_23",110054,"",0,1,"io_rsp_pad_data_23",1,"8336653",0.237397,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_pmbist_pmda_tck_pad_i",110055,"",0,1,"dft_pmbist_pmda_tck_pad_i",1,"8336653",0.670609,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_global_chip_reset_pad_i",110056,"",0,1,"global_chip_reset_pad_i",1,"8336653",0.668767,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_pll_d_clk_pad_o",110057,"",0,1,"pll_d_clk_pad_o",1,"8336653",0.235992,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_pmbist_pmda_ovfl_pad_o",110058,"",0,1,"dft_pmbist_pmda_ovfl_pad_o",1,"8336653",0.238004,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_7",110059,"",0,1,"dft_scan_scan_out_pad_o_7",1,"8336653",0.235005,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_3",110060,"",0,1,"dft_scan_scan_out_pad_o_3",1,"8336653",0.235285,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_pmbist_pmda_tdo_pad_o",110061,"",0,1,"dft_pmbist_pmda_tdo_pad_o",1,"8336653",0.237682,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_14",110062,"",0,1,"io_req_pad_data_14",1,"8336653",0.669743,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_4",110063,"",0,1,"dft_scan_scan_in_pad_i_4",1,"8336653",0.669434,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_cmle_pad_i",110064,"",0,1,"dft_scan_cmle_pad_i",1,"8336653",0.669203,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_reserved_in_pad_i_0",110065,"",0,1,"reserved_in_pad_i_0",1,"8336653",0.668661,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_opcg_trigger_pad_i",110066,"",0,1,"dft_opcg_trigger_pad_i",1,"8336653",0.668701,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_15",110067,"",0,1,"dft_scan_scan_out_pad_o_15",1,"8336653",0.237015,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_machine_init_done_pad_o",110068,"",0,1,"machine_init_done_pad_o",1,"8336653",0.235012,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_pll_a_out_pad_ao",110069,"",0,1,"pll_a_out_pad_ao",1,"8336653",0.663568,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_valid",110070,"",0,1,"io_req_pad_data_valid",1,"8336653",0.668908,"V","P",0.441429,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_pllset_pad_i_3",110071,"",0,1,"pllset_pad_i_3",1,"8336653",0.668604,"V","P",0.441429,***,""
