Test Suite,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Value,Unit,P/F,Time,TS Time,Print To Data Log
"Device_Power_Up","vdd_core",721101,"",0,1,"vdd_core",1,"8203780",0.0997767,"V","P",1.4653,***,"061324001"
"supply_short_HT","supply_short_HT_vcs_pll",221102,"",0,1,"vcs_pll",1,"8203780",0.166706,"mA","P",0.316354,***,""
"supply_short_HT","supply_short_HT_vcs_pm_1",221103,"",0,1,"vcs_pm_1",1,"8203780",0.235154,"mA","P",0.316354,***,""
"supply_short_HT","supply_short_HT_vcs_pm_2",221104,"",0,1,"vcs_pm_2",1,"8203780",0.236381,"mA","P",0.316354,***,""
"supply_short_HT","supply_short_HT_vcsio_pll",221107,"",0,1,"vcsio_pll",1,"8203780",0.0246011,"mA","P",0.316354,***,""
"supply_short_HT","supply_short_HT_vcsio_ts",221108,"",0,1,"vcsio_ts",1,"8203780",0.0283332,"mA","P",0.316354,***,""
"supply_short_HT","supply_short_HT_vcsio_vs_1",221109,"",0,1,"vcsio_vs_1",1,"8203780",0.0221898,"mA","P",0.316354,***,""
"supply_short_HT","supply_short_HT_vcsio_vs_2",221110,"",0,1,"vcsio_vs_2",1,"8203780",0.0337807,"mA","P",0.316354,***,""
"supply_short_HT","supply_short_HT_vdd_io_clk",221105,"",0,1,"vdd_io_clk",1,"8203780",0.135009,"mA","P",0.316354,***,""
"supply_short_HT","supply_short_HT_vdd_pll",221106,"",0,1,"vdd_pll",1,"8203780",0.138509,"mA","P",0.316354,***,""
"supply_short_HT","supply_short_HT_vddio_io_clk",221111,"",0,1,"vddio_io_clk",1,"8203780",0.0164455,"mA","P",0.316354,***,""
"supply_short_HT","supply_short_HT_vddio_pll",221112,"",0,1,"vddio_pll",1,"8203780",0.0112676,"mA","P",0.316354,***,""
"supply_short_HT","supply_short_HT_vddio_rx",221113,"",0,1,"vddio_rx",1,"8203780",0.977582,"mA","P",0.316354,***,""
"supply_short_HT","supply_short_HT_vddio_tx",221114,"",0,1,"vddio_tx",1,"8203780",0.902852,"mA","P",0.316354,***,""
"supply_short_HT","supply_short_HT_vdd_core",221101,"",0,1,"vdd_core",1,"8203780",6694.55,"mA","P",0.316354,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"",0,1,"io_req_pad_size_0",1,"8203780",0.669475,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"",0,1,"io_req_pad_data_30",1,"8203780",0.669604,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"",0,1,"io_req_pad_data_13",1,"8203780",0.670454,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"",0,1,"io_req_pad_addr_5",1,"8203780",0.67125,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"",0,1,"io_req_pad_size_1",1,"8203780",0.669589,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"",0,1,"io_req_pad_addr_9",1,"8203780",0.670841,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"",0,1,"dft_scan_scan_out_pad_o_4",1,"8203780",0.241855,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"",0,1,"io_req_pad_data_8",1,"8203780",0.670907,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"",0,1,"io_req_pad_data_4",1,"8203780",0.671476,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"",0,1,"io_rsp_pad_data_30",1,"8203780",0.244478,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"",0,1,"io_rsp_pad_data_26",1,"8203780",0.241752,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"",0,1,"io_req_pad_data_18",1,"8203780",0.670173,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"",0,1,"io_req_pad_addr_8",1,"8203780",0.671176,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"",0,1,"io_req_pad_addr_4",1,"8203780",0.671226,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"",0,1,"io_rsp_pad_data_21",1,"8203780",0.240557,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"",0,1,"io_req_pad_data_1",1,"8203780",0.671479,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"",0,1,"tap_tck_pad_i",1,"8203780",0.67186,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"",0,1,"io_rsp_pad_size_1",1,"8203780",0.245389,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"",0,1,"tap_tdi_pad_i",1,"8203780",0.671809,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"",0,1,"dft_scan_scan_out_pad_o_2",1,"8203780",0.24149,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"",0,1,"io_rsp_pad_addr_valid",1,"8203780",0.24397,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_7",110022,"",0,1,"io_rsp_pad_data_7",1,"8203780",0.241571,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_2",110023,"",0,1,"io_req_pad_addr_2",1,"8203780",0.671464,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_15",110024,"",0,1,"io_req_pad_addr_15",1,"8203780",0.670226,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_pmon_d_clk0_pad_o",110025,"",0,1,"pmon_d_clk0_pad_o",1,"8203780",0.243357,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_18",110026,"",0,1,"io_rsp_pad_data_18",1,"8203780",0.241686,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_8",110027,"",0,1,"dft_scan_scan_out_pad_o_8",1,"8203780",0.241216,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_14",110028,"",0,1,"io_rsp_pad_data_14",1,"8203780",0.243156,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_20",110029,"",0,1,"io_req_pad_data_20",1,"8203780",0.669858,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_tap_rstn_pad_i",110030,"",0,1,"tap_rstn_pad_i",1,"8203780",0.671411,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_12",110031,"",0,1,"dft_scan_scan_out_pad_o_12",1,"8203780",0.24111,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_24",110032,"",0,1,"io_req_pad_addr_24",1,"8203780",0.669905,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_shiftwr_pad_i",110033,"",0,1,"dft_1500_shiftwr_pad_i",1,"8203780",0.671447,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_wrstn_pad_i",110034,"",0,1,"dft_1500_wrstn_pad_i",1,"8203780",0.67155,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_12",110035,"",0,1,"io_req_pad_addr_12",1,"8203780",0.670626,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_12",110036,"",0,1,"dft_scan_scan_in_pad_i_12",1,"8203780",0.670397,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_1",110037,"",0,1,"dft_scan_scan_in_pad_i_1",1,"8203780",0.669917,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_lpg2_pad_i",110038,"",0,1,"dft_scan_lpg2_pad_i",1,"8203780",0.669611,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_clk_pad_i",110039,"",0,1,"io_clk_pad_i",1,"8203780",0.669336,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_10",110040,"",0,1,"dft_scan_scan_out_pad_o_10",1,"8203780",0.241097,"V","P",0.444659,***,""
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_14",110041,"",0,1,"dft_scan_scan_out_pad_o_14",1,"8203780",0.241286,"V","P",0.444659,***,""
