Datalog report
Fri Jan 24 11:19:32 2025

                      Lot:  8IQYH47000.10-TT-I
                   Tester:  smartscale00.anoralabs.com
                  Program:  IBM_NP_Master_Rev004_HT.ttf
                      Rev:  
                   Device:  B6811850
          Device Revision:  
                    Sites:  1
             Package Type:  B6811850
                 Operator:  Joe
                Test Code:  FT
         Test Temperature:  75C
        Handler or Prober:  handtest (Offline)
         Smartest Version:  7.10.6.0
    Smartest Release Date:  Thu, 04 Aug 2022 08:14:36 +0200
           Executive Name:  TCCT
        Executive Version:  1.9.8
   Executive Release Date:  20200617


Site1 PartID: "P8203759"
Number     Test Name                                                             Low           Measured               High       Site(P/F)
721101     vdd_core                                                            0.080V     <      0.0997V     <       0.120V      Site:1
221102     Supply_Short_HT_vcs_pll                                            -1.000mA    <      0.0205mA    <       1.000mA     Site:1
221103     Supply_Short_HT_vcs_pm_1                                           -1.000mA    <      0.0415mA    <       1.000mA     Site:1
221104     Supply_Short_HT_vcs_pm_2                                           -1.000mA    <      0.0269mA    <       1.000mA     Site:1
221107     Supply_Short_HT_vcsio_pll                                          -1.000mA    <      0.0048mA    <       1.000mA     Site:1
221108     Supply_Short_HT_vcsio_ts                                           -1.000mA    <      0.0007mA    <       1.000mA     Site:1
221109     Supply_Short_HT_vcsio_vs_1                                         -1.000mA    <     -0.0015mA    <       1.000mA     Site:1
221110     Supply_Short_HT_vcsio_vs_2                                         -1.000mA    <      0.0061mA    <       1.000mA     Site:1
221105     Supply_Short_HT_vdd_io_clk                                         -1.000mA    <      0.0243mA    <       1.000mA     Site:1
221106     Supply_Short_HT_vdd_pll                                            -1.000mA    <      0.0279mA    <       1.000mA     Site:1
221111     Supply_Short_HT_vddio_io_clk                                       -1.000mA    <      0.0164mA    <       1.000mA     Site:1
221112     Supply_Short_HT_vddio_pll                                          -1.000mA    <     -0.0045mA    <       1.000mA     Site:1
221113     Supply_Short_HT_vddio_rx                                           -1.000mA    <      0.0776mA    <       2.000mA     Site:1
221114     Supply_Short_HT_vddio_tx                                           -1.000mA    <      0.1131mA    <       2.000mA     Site:1
221101     Supply_Short_HT_vdd_core                                           -1.000mA    <    924.1976mA    <   10000.000mA     Site:1
110001     cont_row_even_col_even_io_req_pad_size_0                            0.200V     <      0.7587V     <       0.900V      Site:1
110002     cont_row_even_col_even_io_req_pad_data_30                           0.500V     <      0.7586V     <       0.900V      Site:1
110003     cont_row_even_col_even_io_req_pad_data_13                           0.500V     <      0.7591V     <       0.900V      Site:1
110004     cont_row_even_col_even_io_req_pad_addr_5                            0.500V     <      0.7586V     <       0.900V      Site:1
110005     cont_row_even_col_even_io_req_pad_size_1                            0.500V     <      0.7587V     <       0.900V      Site:1
110006     cont_row_even_col_even_io_req_pad_addr_9                            0.500V     <      0.7586V     <       0.900V      Site:1
110007     cont_row_even_col_even_dft_scan_scan_out_pad_o_4                    0.200V     <      0.2868V     <       0.400V      Site:1
110008     cont_row_even_col_even_io_req_pad_data_8                            0.500V     <      0.7587V     <       0.900V      Site:1
110009     cont_row_even_col_even_io_req_pad_data_4                            0.500V     <      0.7589V     <       0.900V      Site:1
110010     cont_row_even_col_even_io_rsp_pad_data_30                           0.200V     <      0.2879V     <       0.400V      Site:1
110011     cont_row_even_col_even_io_rsp_pad_data_26                           0.200V     <      0.2861V     <       0.400V      Site:1
110012     cont_row_even_col_even_io_req_pad_data_18                           0.500V     <      0.7586V     <       0.900V      Site:1
110013     cont_row_even_col_even_io_req_pad_addr_8                            0.500V     <      0.7588V     <       0.900V      Site:1
110014     cont_row_even_col_even_io_req_pad_addr_4                            0.500V     <      0.7587V     <       0.900V      Site:1
110015     cont_row_even_col_even_io_rsp_pad_data_21                           0.200V     <      0.2857V     <       0.400V      Site:1
110016     cont_row_even_col_even_io_req_pad_data_1                            0.500V     <      0.7583V     <       0.900V      Site:1
110017     cont_row_even_col_even_tap_tck_pad_i                                0.500V     <      0.7586V     <       0.900V      Site:1
110018     cont_row_even_col_even_io_rsp_pad_size_1                            0.200V     <      0.2874V     <       0.400V      Site:1
110019     cont_row_even_col_even_tap_tdi_pad_i                                0.500V     <      0.7584V     <       0.900V      Site:1
110020     cont_row_even_col_even_dft_scan_scan_out_pad_o_2                    0.200V     <      0.2862V     <       0.400V      Site:1
110021     cont_row_even_col_even_io_rsp_pad_addr_valid                        0.200V     <      0.2879V     <       0.400V      Site:1
110022     cont_row_even_col_even_io_rsp_pad_data_7                            0.200V     <      0.2852V     <       0.400V      Site:1
110023     cont_row_even_col_even_io_req_pad_addr_2                            0.500V     <      0.7584V     <       0.900V      Site:1
110024     cont_row_even_col_even_io_req_pad_addr_15                           0.500V     <      0.7584V     <       0.900V      Site:1
110025     cont_row_even_col_even_pmon_d_clk0_pad_o                            0.200V     <      0.2845V     <       0.400V      Site:1
110026     cont_row_even_col_even_io_rsp_pad_data_18                           0.200V     <      0.2857V     <       0.400V      Site:1
