Device,Device ID,Testflow,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"W3,1",1,1,1,0,"1580",5,88148,""
2,"W4,1",2,1,1,0,"1412",5,78051,""
3,"W5,1",3,1,1,0,"1580",5,23265,""
4,"W6,1",4,1,1,1,"4",4,111034,""
5,"W7,1",5,1,1,1,"2",2,128610,""
6,"W8,1",6,1,1,0,"1580",5,24724,""
7,"W9,2",7,1,1,0,"1580",5,24786,""
8,"W8,2",8,1,1,0,"1580",5,23334,""
9,"W7,2",9,1,1,1,"2",2,123582,""
10,"W6,2",10,1,1,0,"1580",5,23303,""
11,"W5,2",11,1,1,1,"2",2,121809,""
12,"W4,2",12,1,1,0,"1580",5,23658,""
13,"W3,2",13,1,1,1,"2",2,116081,""
14,"W2,2",14,1,1,0,"1580",5,23618,""
15,"W1,3",15,1,1,0,"1580",5,23624,""
16,"W2,3",16,1,1,0,"1580",5,23641,""
17,"W3,3",17,1,1,0,"1580",5,23618,""
18,"W4,3",18,1,1,1,"2",2,121634,""
19,"W5,3",19,1,1,0,"1580",5,23632,""
20,"W6,3",20,1,1,0,"1407",5,14998,""
21,"W7,3",21,1,1,0,"1580",5,23619,""
22,"W8,3",22,1,1,1,"2",2,120909,""
23,"W9,3",23,1,1,0,"1580",5,23645,""
24,"W10,3",24,1,1,0,"1413",5,13344,""
25,"W10,4",25,1,1,1,"3",3,127434,""
26,"W9,4",26,1,1,0,"1580",5,23802,""
27,"W8,4",27,1,1,1,"4",4,81181,""
28,"W7,4",28,1,1,1,"2",2,116165,""
29,"W6,4",29,1,1,0,"1580",5,23888,""
30,"W5,4",30,1,1,0,"1411",5,26751,""
31,"W4,4",31,1,1,0,"1580",5,23823,""
32,"W3,4",32,1,1,0,"1580",5,23857,""
33,"W2,4",33,1,1,1,"2",2,116585,""
34,"W1,4",34,1,1,1,"4",4,87840,""
35,"W1,5",35,1,1,0,"1412",5,28271,""
36,"W2,5",36,1,1,1,"4",4,73923,""
37,"W3,5",37,1,1,1,"2",2,108249,""
38,"W4,5",38,1,1,1,"2",2,117549,""
39,"W5,5",39,1,1,0,"1580",5,23830,""
40,"W6,5",40,1,1,1,"4",4,78379,""
41,"W7,5",41,1,1,0,"1580",5,23854,""
42,"W8,5",42,1,1,0,"1412",5,28323,""
43,"W9,5",43,1,1,0,"1580",5,23861,""
44,"W10,5",44,1,1,1,"3",3,117072,""
45,"W10,6",45,1,1,0,"1411",5,19088,""
46,"W9,6",46,1,1,0,"1411",5,19076,""
47,"W8,6",47,1,1,0,"1580",5,23811,""
48,"W7,6",48,1,1,0,"1411",5,19061,""
49,"W6,6",49,1,1,0,"1580",5,23806,""
50,"W5,6",50,1,1,0,"1580",5,23826,""
51,"W4,6",51,1,1,1,"2",2,109062,""
52,"W3,6",52,1,1,0,"1580",5,23809,""
53,"W2,6",53,1,1,0,"1580",5,23785,""
54,"W1,6",54,1,1,0,"1414",5,15694,""
55,"W2,7",55,1,1,0,"1580",5,23824,""
56,"W3,7",56,1,1,0,"1580",5,23780,""
57,"W4,7",57,1,1,0,"1580",5,23312,""
58,"W5,7",58,1,1,0,"1580",5,23775,""
59,"W6,7",59,1,1,0,"1580",5,23885,""
60,"W7,7",60,1,1,0,"1408",5,10726,""
61,"W8,7",61,1,1,0,"1411",5,19080,""
62,"W9,7",62,1,1,0,"1580",5,23877,""
63,"W7,8",63,1,1,0,"1407",5,23058,""
64,"W6,8",64,1,1,0,"1580",5,23858,""
65,"W5,8",65,1,1,1,"4",4,90906,""
66,"W4,8",66,1,1,1,"4",4,83241,""
