Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0998994,0.100022,0.0999069,2.95076e-05,224.878,224.878,226.983,66,0,0,0.963022,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.00464832,0.0283642,0.0164463,0.0048777,67.2144,69.4622,67.2144,66,0,0,0.184287,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.00638185,0.0300938,0.0187767,0.00469587,69.6515,72.3172,69.6515,66,0,0,0.184287,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0150194,0.0347838,0.0265786,0.00445659,72.8076,76.7835,72.8076,66,0,0,0.184287,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00306018,0.0166979,0.00502265,0.00388613,85.3444,86.206,85.3444,66,0,0,0.184287,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",0.000670069,0.0204294,0.00863369,0.0043008,76.8358,78.1741,76.8358,66,0,0,0.184287,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",0.001932,0.0177437,0.00959827,0.00352735,93.5927,95.4068,93.5927,66,0,0,0.184287,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.00179623,0.0140157,0.00527124,0.0037671,88.0191,88.9519,88.0191,66,0,0,0.184287,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.012462,0.0282745,0.0211469,0.00417323,78.1851,81.5632,78.1851,66,0,0,0.184287,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.00810491,0.0318147,0.0196604,0.00481787,67.8266,70.5471,67.8266,66,0,0,0.184287,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.000635764,0.0164455,0.00878017,0.00359441,91.9224,93.5509,91.9224,66,0,0,0.184287,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.0124247,0.00731891,-0.003211,0.00428847,77.4782,77.4782,77.9774,66,0,0,0.184287,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0775906,0.160484,0.114971,0.0161825,18.2302,22.9666,18.2302,66,0,0,0.184287,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0341145,0.192067,0.110099,0.0312166,9.50243,11.8537,9.50243,66,0,0,0.184287,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1000,"mA",460.755,809.467,627.038,75.8554,1.63891,2.75585,1.63891,66,0,0,0.184287,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.751463,0.754363,0.752262,0.000410217,120.049,448.755,120.049,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.751549,0.75428,0.752453,0.000406437,121.009,207.045,121.009,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.751151,0.753713,0.752065,0.000401326,122.872,209.36,122.872,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.751612,0.754401,0.752518,0.000438435,112.128,191.984,112.128,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.751475,0.754377,0.752373,0.00042205,116.595,199.323,116.595,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.751618,0.754464,0.75257,0.000432353,113.665,194.725,113.665,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.273739,0.290942,0.281105,0.00355896,7.5963,7.5963,11.1358,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.751538,0.754156,0.752373,0.000411887,119.472,204.241,119.472,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.751698,0.754259,0.752534,0.000422351,116.385,199.308,116.385,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.274703,0.291158,0.280324,0.00358974,7.45867,7.45867,11.1128,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.274126,0.291897,0.281145,0.00358615,7.5424,7.5424,11.0476,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.751475,0.754035,0.752368,0.000400184,122.97,210.21,122.97,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"Parametric","",0.5,0.9,"V",0.751726,0.754458,0.75251,0.000436161,112.718,192.979,112.718,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"Parametric","",0.5,0.9,"V",0.751322,0.753941,0.752225,0.000414177,118.931,202.993,118.931,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"Parametric","",0.2,0.4,"V",0.274265,0.290272,0.280868,0.00350475,7.69129,7.69129,11.3305,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"Parametric","",0.5,0.9,"V",0.751544,0.75439,0.75262,0.000447495,109.781,188.174,109.781,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"Parametric","",0.5,0.9,"V",0.751772,0.754504,0.752752,0.000448138,109.526,188.001,109.526,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"Parametric","",0.2,0.4,"V",0.273535,0.291913,0.280991,0.00357428,7.55314,7.55314,11.0986,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"Parametric","",0.5,0.9,"V",0.751698,0.754202,0.752617,0.000432064,113.705,194.891,113.705,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"Parametric","",0.2,0.4,"V",0.273817,0.291469,0.280931,0.00355325,7.5922,7.5922,11.1699,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"Parametric","",0.2,0.4,"V",0.273322,0.291776,0.280348,0.00345018,7.76265,7.76265,11.56,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_7",110022,"Parametric","",0.2,0.4,"V",0.271925,0.291911,0.281043,0.00349463,7.73027,7.73027,11.3466,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_2",110023,"Parametric","",0.5,0.9,"V",0.751185,0.753975,0.752285,0.000438041,112.406,191.98,112.406,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_15",110024,"Parametric","",0.5,0.9,"V",0.751555,0.754173,0.752445,0.000394131,124.793,213.504,124.793,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_pmon_d_clk0_pad_o",110025,"Parametric","",0.2,0.4,"V",0.263326,0.292184,0.280792,0.00424133,6.34961,6.34961,9.36872,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_18",110026,"Parametric","",0.2,0.4,"V",0.272665,0.291057,0.280751,0.0036567,7.36099,7.36099,10.8704,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_8",110027,"Parametric","",0.2,0.4,"V",0.273701,0.290848,0.281152,0.00355221,7.61514,7.61514,11.1525,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_14",110028,"Parametric","",0.2,0.4,"V",0.274209,0.29169,0.280812,0.0035245,7.64292,7.64292,11.2723,66,0,0,0.197777,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_20",110029,"Parametric","",0.5,0.9,"V",0.751208,0.753542,0.752065,0.000369349,133.51,227.486,133.51,66,0,0,0.197777,***
