Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"W3,1",1,1,0,"1580",5,219674,""
2,"W4,1",1,1,0,"1412",5,49027,""
3,"W5,1",1,1,0,"1111",6,1426,""
4,"W5,1",1,1,0,"1111",6,1427,""
5,"W6,1",1,1,0,"1580",5,124669,""
6,"W7,1",1,1,0,"1412",5,29608,""
7,"W8,1",1,1,0,"1580",5,44115,""
8,"W9,2",1,1,0,"1411",5,34178,""
9,"W8,2",1,1,1,"2",2,126670,""
10,"W7,2",1,1,0,"1411",5,29477,""
11,"W6,2",1,1,0,"1412",5,29563,""
12,"W5,2",1,1,1,"2",2,123229,""
13,"W4,2",1,1,0,"1416",5,29506,""
14,"W3,2",1,1,0,"1580",5,43235,""
15,"W2,2",1,1,0,"1580",5,43246,""
16,"W1,3",1,1,0,"1580",5,43286,""
17,"W2,3",1,1,1,"4",4,94097,""
18,"W3,3",1,1,1,"2",2,112295,""
19,"W4,3",1,1,0,"1412",5,29497,""
20,"W5,3",1,1,1,"4",4,78136,""
21,"W6,3",1,1,1,"2",2,119729,""
22,"W7,3",1,1,0,"1580",5,94402,""
23,"W8,3",1,1,1,"4",4,76400,""
24,"W9,3",1,1,1,"2",2,107192,""
25,"W10,3",1,1,0,"1412",5,33277,""
26,"W10,4",1,1,1,"2",2,128657,""
27,"W9,4",1,1,0,"1580",5,43294,""
28,"W8,4",1,1,1,"2",2,110629,""
29,"W7,4",1,1,1,"4",4,80522,""
30,"W6,4",1,1,1,"2",2,122589,""
31,"W5,4",1,1,0,"1580",5,43203,""
32,"W4,4",1,1,1,"4",4,80343,""
33,"W3,4",1,1,0,"1411",5,32914,""
34,"W2,4",1,1,1,"2",2,111303,""
35,"W1,4",1,1,0,"1580",5,90490,""
36,"W1,5",1,1,0,"1580",5,86242,""
37,"W2,5",1,1,0,"1580",5,42772,""
38,"W3,5",1,1,0,"1580",5,125851,""
39,"W4,5",1,1,0,"1580",5,124114,""
40,"W5,5",1,1,0,"1411",5,32855,""
41,"W6,5",1,1,0,"1580",5,42857,""
42,"W7,5",1,1,1,"4",4,77940,""
43,"W8,5",1,1,1,"4",4,74190,""
44,"W9,5",1,1,0,"1580",5,121216,""
45,"W10,5",1,1,0,"1411",5,29094,""
46,"W10,6",1,1,1,"2",2,122933,""
47,"W9,6",1,1,1,"2",2,107730,""
48,"W8,6",1,1,0,"1580",5,97292,""
49,"W7,6",1,1,0,"1412",5,32807,""
50,"W6,6",1,1,0,"1580",5,121818,""
51,"W5,6",1,1,0,"1580",5,42821,""
52,"W4,6",1,1,0,"1412",5,29107,""
53,"W3,6",1,1,0,"1580",5,98245,""
54,"W2,6",1,1,1,"4",4,87512,""
55,"W1,6",1,1,0,"1416",5,29168,""
56,"W2,7",1,1,0,"1580",5,42837,""
57,"W3,7",1,1,0,"1001",7,1188,""
58,"W3,7",1,1,0,"1001",7,1184,""
59,"W4,7",1,1,0,"1580",5,42794,""
60,"W5,7",1,1,1,"4",4,82481,""
61,"W6,7",1,1,1,"2",2,112959,""
62,"W7,7",1,1,1,"2",2,111944,""
63,"W8,7",1,1,1,"4",4,78204,""
64,"W9,7",1,1,0,"1412",5,32853,""
65,"W7,8",1,1,0,"1580",5,43839,""
66,"W6,8",1,1,0,"1580",5,42812,""
67,"W5,8",1,1,0,"1580",5,42815,""
68,"W4,8",1,1,0,"1580",5,42803,""
