Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.03,0.07,"V",0.0500769,0.0501997,0.0501419,6.17084e-05,107.268,108.802,107.268,0,0,0.986643,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.0131614,0.0329241,0.0203108,0.00369377,88.4092,92.075,88.4092,0,0,0.184652,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.00374863,0.0195567,0.0148492,0.00343155,95.6953,98.5801,95.6953,0,0,0.184652,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0236818,0.0394929,0.0300179,0.00349163,92.6006,98.332,92.6006,0,0,0.184652,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00554228,0.014215,0.00520801,0.00372971,88.907,89.8379,88.907,0,0,0.184652,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",-0.00865763,0.0111015,0.00348842,0.00322541,102.985,103.707,102.985,0,0,0.184652,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",-0.0106271,0.00913778,0.00431282,0.00311824,106.437,107.359,106.437,0,0,0.184652,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.00147749,0.00642866,0.00259185,0.00281359,118.165,118.78,118.165,0,0,0.184652,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.0104338,0.0222929,0.0160146,0.00343095,95.599,98.7108,95.599,0,0,0.184652,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.00242835,0.0142832,0.00975045,0.00343169,96.1866,98.0808,96.1866,0,0,0.184652,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",-0.000379808,0.019382,0.0101986,0.00316197,104.344,106.495,104.344,0,0,0.184652,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.018558,0.00118574,-0.00915069,0.00361197,91.4413,91.4413,93.1303,0,0,0.184652,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0503586,8.51317,0.336705,1.43365,0.15422,0.310793,0.15422,2,0,0.184652,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0622018,0.18067,0.102853,0.0272659,10.9679,13.4827,10.9679,0,0,0.184652,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",556.47,779.434,692.358,56.4695,2.99656,4.08751,2.99656,0,0,0.184652,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.5,0.9,"V",0.75135,0.753852,0.752083,0.000435596,113.191,192.903,113.191,0,0,0.234228,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.751778,0.754395,0.752429,0.000427891,114.96,196.646,114.96,0,0,0.234228,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.751786,0.754688,0.752487,0.000459092,107.105,183.324,107.105,0,0,0.234228,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.752333,0.755349,0.753007,0.00047481,103.194,177.62,103.194,0,0,0.234228,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.751664,0.754224,0.752369,0.000449884,109.384,186.988,109.384,0,0,0.234228,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.752376,0.755563,0.753091,0.000488385,100.269,172.74,100.269,0,0,0.234228,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.269778,0.291511,0.279177,0.00528233,4.99632,4.99632,7.62438,0,0,0.234228,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.752237,0.75531,0.752905,0.000471588,103.972,178.761,103.972,0,0,0.234228,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.752302,0.755205,0.753021,0.000476643,102.787,176.947,102.787,0,0,0.234228,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.267456,0.291072,0.278173,0.00528648,4.92913,4.92913,7.68165,0,0,0.234228,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.268344,0.291327,0.278949,0.00543304,4.84378,4.84378,7.42682,0,0,0.234228,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.751704,0.754719,0.752379,0.000476086,103.358,176.704,103.358,0,0,0.234228,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"Parametric","",0.5,0.9,"V",0.75218,0.755253,0.752872,0.00047925,102.332,175.88,102.332,0,0,0.234228,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"Parametric","",0.5,0.9,"V",0.751662,0.754566,0.752369,0.000481487,102.205,174.715,102.205,0,0,0.234228,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"Parametric","",0.2,0.4,"V",0.268431,0.29119,0.278815,0.00535282,4.90798,4.90798,7.5465,0,0,0.234228,***
