SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"1580","PMBIST_Post_repair_Func_fail",1,47.8,33,47.8,1,0
"1132","IDD_Dynamic_fail",1,2.9,2,2.9,1,0
"1416","TOP_SAF4_EXTEST_LOGIC_1_Fail",1,5.8,4,5.8,1,0
"1414","TOP_SAF4_EXTEST_SCAN_1_Fail",1,1.4,1,1.4,1,0
"2","Medium",1,15.9,11,15.9,1,0
"1491","TOP_SAF4_CTRL_DATA_TOP_SCAN_Fail",1,1.4,1,1.4,1,0
"1412","TOP_SAF4_CORE_ROW_0_7_LOGIC_Fail",1,4.3,3,4.3,1,0
"1001","supply_short_fail",1,2.9,2,2.9,1,0
"1408","PMBIST_BWE_Func_fail",1,1.4,1,1.4,1,0
"4","TOP ONLY",1,8.7,6,8.7,1,0
"1422","TOP_TDF4_OPCG2P_CORE_ROW_0_7_LOGIC_Fail",1,1.4,1,1.4,1,0
"3","Slow",1,1.4,1,1.4,1,0
"1131","IDD_static_fail",1,2.9,2,2.9,1,0
"1493","TOP_SAF4_COL_ROW_SCAN_Fail",1,1.4,1,1.4,1,0
