Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"W3,1",1,1,0,"1580",5,29101,""
2,"W4,1",1,1,0,"1580",5,23366,""
3,"W5,1",1,1,1,"4",4,102506,""
4,"W6,1",1,1,0,"1411",5,26268,""
5,"W7,1",1,1,1,"2",2,123887,""
6,"W8,1",1,1,0,"1580",5,24782,""
7,"W9,2",1,1,0,"1405",5,16723,""
8,"W8,2",1,1,0,"1113",6,2465,""
9,"W8,2",1,1,0,"1113",6,2450,""
10,"W7,2",1,1,1,"2",2,111716,""
11,"W6,2",1,1,1,"3",3,135070,""
12,"W5,2",1,1,0,"1580",5,23349,""
13,"W4,2",1,1,0,"1411",5,26245,""
14,"W3,2",1,1,1,"4",4,79253,""
15,"W2,2",1,1,0,"1405",5,16469,""
16,"W1,3",1,1,0,"1580",5,23908,""
17,"W2,3",1,1,0,"1580",5,23886,""
18,"W3,3",1,1,0,"1412",5,28343,""
19,"W4,3",1,1,0,"1580",5,23870,""
20,"W5,3",1,1,0,"1405",5,16536,""
21,"W6,3",1,1,0,"1405",5,16548,""
22,"W7,3",1,1,1,"4",4,114432,""
23,"W8,3",1,1,0,"1580",5,23805,""
24,"W9,3",1,1,0,"1580",5,23831,""
25,"W10,3",1,1,0,"1413",5,13520,""
26,"W10,4",1,1,0,"1405",5,17471,""
27,"W9,4",1,1,1,"2",2,115925,""
28,"W8,4",1,1,0,"1580",5,23818,""
29,"W7,4",1,1,0,"1405",5,19096,""
30,"W6,4",1,1,0,"1407",5,23575,""
31,"W5,4",1,1,0,"1405",5,19088,""
32,"W4,4",1,1,1,"2",2,120485,""
33,"W3,4",1,1,0,"1405",5,16466,""
34,"W2,4",1,1,0,"1405",5,16419,""
35,"W1,4",1,1,0,"1405",5,19051,""
36,"W1,5",1,1,0,"1580",5,23819,""
37,"W2,5",1,1,1,"4",4,86477,""
38,"W3,5",1,1,0,"1414",5,15734,""
39,"W4,5",1,1,1,"4",4,72243,""
40,"W5,5",1,1,0,"1405",5,19100,""
41,"W6,5",1,1,0,"1405",5,19100,""
42,"W7,5",1,1,0,"1580",5,23861,""
43,"W8,5",1,1,0,"1580",5,23811,""
44,"W9,5",1,1,0,"1407",5,23601,""
45,"W10,5",1,1,0,"1131",7,3556,""
46,"W10,6",1,1,0,"1580",5,23901,""
47,"W9,6",1,1,0,"1407",5,23591,""
48,"W8,6",1,1,0,"1407",5,23634,""
49,"W7,6",1,1,0,"1407",5,23560,""
50,"W6,6",1,1,0,"1407",5,23588,""
51,"W5,6",1,1,0,"1405",5,19147,""
52,"W4,6",1,1,0,"1405",5,19120,""
53,"W3,6",1,1,0,"1580",5,23844,""
54,"W2,6",1,1,0,"1405",5,19089,""
55,"W1,6",1,1,0,"1580",5,23783,""
56,"W2,7",1,1,0,"1580",5,23795,""
57,"W3,7",1,1,0,"1580",5,23837,""
58,"W4,7",1,1,0,"1407",5,26172,""
59,"W5,7",1,1,0,"1407",5,23641,""
60,"W6,7",1,1,0,"1580",5,23868,""
61,"W7,7",1,1,0,"1407",5,23588,""
62,"W8,7",1,1,0,"1407",5,26239,""
63,"W9,7",1,1,0,"1580",5,23846,""
64,"W7,8",1,1,0,"1580",5,24796,""
65,"W6,8",1,1,0,"1580",5,23835,""
66,"W5,8",1,1,0,"1580",5,23865,""
67,"W4,8",1,1,0,"1580",5,23789,""
