SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"1580","PMBIST_Post_repair_Func_fail",1,35.8,24,35.8,1,0
"4","TOP ONLY",1,7.5,5,7.5,1,0
"1411","TOP_SAF4_CORE_ROW_0_7_SCAN_Fail",1,3,2,3,1,0
"2","Medium",1,6,4,6,1,0
"1405","Chip_efuse_fail",1,22.4,15,22.4,1,0
"1113","Continuity_Mux_Pos",1,3,2,3,1,0
"3","Slow",1,1.5,1,1.5,1,0
"1412","TOP_SAF4_CORE_ROW_0_7_LOGIC_Fail",1,1.5,1,1.5,1,0
"1413","TOP_SAF4_EXT_IF_SCAN_Fail",1,1.5,1,1.5,1,0
"1407","PMBIST_POST_BURN_fail",1,14.9,10,14.9,1,0
"1414","TOP_SAF4_EXTEST_SCAN_1_Fail",1,1.5,1,1.5,1,0
"1131","IDD_static_fail",1,1.5,1,1.5,1,0
