Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.099776,0.0998987,0.0998896,3.24924e-05,204.043,204.043,206.309,0,0,0.962746,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.0130919,0.0289021,0.0219409,0.00389764,83.6453,87.3982,83.6453,0,0,0.184963,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.013171,0.0329306,0.0231393,0.00403243,80.7504,84.5759,80.7504,0,0,0.184963,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0150517,0.0308631,0.0231344,0.00478877,67.997,71.2177,67.997,0,0,0.184963,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00357717,0.00827791,0.001967,0.0033742,98.5944,98.9831,98.5944,0,0,0.184963,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",0.00359017,0.0193974,0.0110219,0.00347535,94.8564,96.9707,94.8564,0,0,0.184963,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",-0.00259207,0.0171724,0.00820465,0.00386704,85.4913,86.9057,85.4913,0,0,0.184963,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.00412866,0.0156367,0.00690454,0.0045924,72.0826,73.0849,72.0826,0,0,0.184963,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.00994641,0.0257592,0.0170268,0.00398526,82.2174,85.0657,82.2174,0,0,0.184963,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.0120864,0.0278933,0.0169819,0.0035804,91.5185,94.6805,91.5185,0,0,0.184963,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",-0.00330466,0.0164571,0.0071366,0.00444297,74.4894,75.5603,74.4894,0,0,0.184963,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.0100557,0.00968786,2.23481e-05,0.00396564,84.0534,84.0571,84.0534,0,0,0.184963,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.102783,0.185676,0.128175,0.0184791,15.7263,20.3505,15.7263,0,0,0.184963,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0671143,0.225067,0.136071,0.028627,10.0596,13.2284,10.0596,0,0,0.184963,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",437.52,717.463,571.738,63.5818,2.99791,2.99791,3.29372,0,0,0.184963,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.5,0.9,"V",0.751038,0.753938,0.75228,0.000440505,111.781,190.903,111.781,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.750726,0.753741,0.75231,0.000423498,116.246,198.592,116.246,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.748306,0.753431,0.751913,0.00060453,81.6539,138.903,81.6539,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.746055,0.754023,0.752142,0.000873398,56.4302,96.2303,56.4302,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.751107,0.753724,0.752215,0.000434816,113.293,193.35,113.293,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.747078,0.753907,0.752052,0.000747273,65.9946,112.432,65.9946,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.265597,0.279724,0.272179,0.00330996,7.26889,7.26889,12.8723,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.747119,0.753835,0.752089,0.000747282,65.9772,112.447,65.9772,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.745695,0.753492,0.751911,0.000867594,56.8964,96.7852,56.8964,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.264014,0.281381,0.271346,0.0034797,6.83453,6.83453,12.3242,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.264623,0.27949,0.271782,0.00328225,7.28993,7.28993,13.0213,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.74944,0.754105,0.752199,0.000535496,92.0029,156.988,92.0029,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"Parametric","",0.5,0.9,"V",0.74725,0.753909,0.752179,0.00075251,65.4793,111.706,65.4793,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"Parametric","",0.5,0.9,"V",0.745917,0.753432,0.751933,0.000857577,57.5524,97.9243,57.5524,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"Parametric","",0.2,0.4,"V",0.265786,0.279914,0.272136,0.00312317,7.699,7.699,13.6468,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"Parametric","",0.5,0.9,"V",0.745229,0.753995,0.752213,0.00097658,50.4436,86.0873,50.4436,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"Parametric","",0.5,0.9,"V",0.745018,0.754126,0.752377,0.00102122,48.185,82.3776,48.185,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"Parametric","",0.2,0.4,"V",0.265124,0.282023,0.271346,0.00352702,6.74283,6.74283,12.1589,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"Parametric","",0.5,0.9,"V",0.74467,0.753833,0.752133,0.00102691,47.9973,81.8422,47.9973,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"Parametric","",0.2,0.4,"V",0.265165,0.281052,0.271933,0.00335041,7.15667,7.15667,12.7414,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"Parametric","",0.2,0.4,"V",0.264218,0.281876,0.270849,0.00362768,6.51006,6.51006,11.8672,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_7",110022,"Parametric","",0.2,0.4,"V",0.266468,0.280704,0.272229,0.00318907,7.54963,7.54963,13.3551,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_2",110023,"Parametric","",0.5,0.9,"V",0.745112,0.753597,0.752011,0.000958766,51.451,87.6166,51.451,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_15",110024,"Parametric","",0.5,0.9,"V",0.748883,0.753778,0.752071,0.000581705,84.7672,144.444,84.7672,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_pmon_d_clk0_pad_o",110025,"Parametric","",0.2,0.4,"V",0.264195,0.281784,0.271451,0.00345204,6.89943,6.89943,12.4128,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_18",110026,"Parametric","",0.2,0.4,"V",0.264646,0.279793,0.271825,0.00339701,7.04789,7.04789,12.5772,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_8",110027,"Parametric","",0.2,0.4,"V",0.265672,0.280996,0.272416,0.00336354,7.17653,7.17653,12.6439,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_14",110028,"Parametric","",0.2,0.4,"V",0.265165,0.281052,0.272181,0.00355267,6.77252,6.77252,11.9927,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_20",110029,"Parametric","",0.5,0.9,"V",0.74973,0.753488,0.751984,0.000475182,103.831,176.763,103.831,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_rstn_pad_i",110030,"Parametric","",0.5,0.9,"V",0.74526,0.753859,0.752211,0.00096246,51.1846,87.3493,51.1846,0,0,0.197966,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_12",110031,"Parametric","",0.2,0.4,"V",0.266157,0.280907,0.272261,0.00317181,7.59406,7.59406,13.4244,0,0,0.197966,***
