Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"W3,1",1,1,0,"1580",5,217660,""
2,"W4,1",1,1,1,"4",4,98525,""
3,"W5,1",1,1,0,"1412",5,29093,""
4,"W6,1",1,1,0,"1416",5,47915,""
5,"W7,1",1,1,0,"1580",5,42763,""
6,"W8,1",1,1,0,"1580",5,43640,""
7,"W9,2",1,1,0,"1411",5,29978,""
8,"W8,2",1,1,1,"2",2,120132,""
9,"W7,2",1,1,1,"2",2,106307,""
10,"W6,2",1,1,1,"4",4,90195,""
11,"W5,2",1,1,0,"1580",5,42804,""
12,"W4,2",1,1,0,"1580",5,42747,""
13,"W3,2",1,1,0,"1580",5,98903,""
14,"W2,2",1,1,0,"1580",5,42813,""
15,"W1,3",1,1,0,"1411",5,29096,""
16,"W2,3",1,1,1,"4",4,88054,""
17,"W3,3",1,1,1,"2",2,118194,""
18,"W4,3",1,1,0,"1416",5,29091,""
19,"W5,3",1,1,0,"1416",5,32799,""
20,"W6,3",1,1,1,"2",2,116649,""
21,"W7,3",1,1,0,"1412",5,32862,""
22,"W8,3",1,1,0,"1580",5,42775,""
23,"W9,3",1,1,0,"1414",5,29140,""
24,"W10,3",1,1,0,"1412",5,29125,""
25,"W10,4",1,1,0,"1580",5,43797,""
26,"W9,4",1,1,0,"1434",5,32824,""
27,"W8,4",1,1,0,"1412",5,29107,""
28,"W7,4",1,1,0,"1580",5,94984,""
29,"W6,4",1,1,1,"2",2,124553,""
30,"W5,4",1,1,1,"4",4,79267,""
31,"W4,4",1,1,1,"2",2,112352,""
32,"W3,4",1,1,0,"1416",5,29160,""
33,"W2,4",1,1,0,"1416",5,29106,""
34,"W1,4",1,1,0,"1580",5,42769,""
35,"W1,5",1,1,0,"1580",5,42751,""
36,"W2,5",1,1,0,"1411",5,29131,""
37,"W3,5",1,1,1,"4",4,85626,""
38,"W4,5",1,1,1,"4",4,94393,""
39,"W5,5",1,1,0,"1441",5,32822,""
40,"W7,5",1,1,1,"2",2,110684,""
41,"W8,5",1,1,1,"2",2,107195,""
42,"W9,5",1,1,1,"4",4,79580,""
43,"W10,5",1,1,0,"1580",5,42861,""
44,"W10,6",1,1,0,"1580",5,97476,""
45,"W9,6",1,1,0,"1580",5,100505,""
46,"W8,6",1,1,1,"2",2,116016,""
47,"W7,6",1,1,1,"2",2,106418,""
48,"W6,6",1,1,0,"1580",5,98010,""
49,"W5,6",1,1,0,"1408",5,29136,""
50,"W4,6",1,1,0,"1412",5,29197,""
51,"W3,6",1,1,0,"1412",5,32878,""
52,"W2,6",1,1,0,"1412",5,29123,""
53,"W1,6",1,1,0,"1580",5,42805,""
54,"W2,7",1,1,0,"1580",5,141158,""
55,"W3,7",1,1,1,"4",4,86957,""
56,"W4,7",1,1,1,"4",4,82729,""
57,"W5,7",1,1,0,"1580",5,42810,""
58,"W6,7",1,1,1,"2",2,106580,""
59,"W7,7",1,1,1,"4",4,85465,""
60,"W8,7",1,1,0,"1580",5,98357,""
61,"W9,7",1,1,0,"1580",5,109756,""
