Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.03,0.07,"V",0.0501997,0.0503224,0.0502017,1.5712e-05,420.025,428.582,420.025,61,0,0,0.973697,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.017114,0.0289715,0.0222976,0.00310728,104.883,109.667,104.883,61,0,0,0.183849,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.00374863,0.0274608,0.0142442,0.00407431,80.6482,82.9789,80.6482,61,0,0,0.183849,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0197291,0.0394929,0.0293194,0.00411157,78.695,83.449,78.695,61,0,0,0.183849,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00159082,0.014215,0.00378575,0.00322899,102.84,103.622,102.84,61,0,0,0.183849,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",-0.00865763,0.0150533,0.000606483,0.00394426,84.4598,84.5623,84.4598,61,0,0,0.183849,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",-0.00272116,0.00913778,0.00324071,0.0031145,106.679,107.373,106.679,61,0,0,0.183849,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.00147749,0.0103817,0.00383648,0.00305226,108.79,109.628,108.79,61,0,0,0.183849,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.0104338,0.026246,0.0182103,0.00330478,99.0274,102.701,99.0274,61,0,0,0.183849,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.00637996,0.0182348,0.0135706,0.00326721,100.639,103.408,100.639,61,0,0,0.183849,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.00357255,0.0154296,0.00882075,0.00286114,115.476,117.531,115.476,61,0,0,0.183849,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.0146092,0.00118574,-0.0091069,0.00340286,97.0649,97.0649,98.849,61,0,0,0.183849,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.058253,0.16088,0.0874365,0.0169971,17.8964,21.3259,17.8964,61,0,0,0.183849,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0227123,0.141181,0.0991018,0.0268498,11.1844,13.6451,11.1844,61,0,0,0.183849,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",509.921,707.969,615.946,52.397,3.71557,3.91909,3.71557,61,0,0,0.183849,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.5,0.9,"V",0.751862,0.753966,0.752584,0.000357422,137.481,235.561,137.481,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.752176,0.753997,0.752919,0.000371417,132,226.985,132,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.752469,0.754176,0.753128,0.000373066,131.229,226.17,131.229,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.752959,0.754894,0.753568,0.000369623,132.056,228.672,132.056,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.752233,0.754395,0.752878,0.000374895,130.811,224.844,130.811,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.753002,0.755165,0.753709,0.000426713,114.278,198.188,114.278,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.267503,0.286163,0.275177,0.00443458,5.65086,5.65086,9.38252,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.752806,0.754684,0.753447,0.000379365,128.77,222.694,128.77,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.753042,0.754749,0.753645,0.000388117,125.697,217.842,125.697,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.267683,0.286178,0.274617,0.00432739,5.74763,5.74763,9.65813,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.266182,0.286492,0.274906,0.0045274,5.51498,5.51498,9.21016,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.752216,0.754037,0.752814,0.000365432,134.258,230.607,134.258,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"Parametric","",0.5,0.9,"V",0.752806,0.754854,0.753487,0.000423064,115.438,199.723,115.438,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"Parametric","",0.5,0.9,"V",0.752345,0.754053,0.752925,0.000357445,137.154,235.864,137.154,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"Parametric","",0.2,0.4,"V",0.266383,0.286297,0.274968,0.00465252,5.37112,5.37112,8.95804,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"Parametric","",0.5,0.9,"V",0.753005,0.754997,0.753643,0.000424914,114.813,198.976,114.813,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"Parametric","",0.5,0.9,"V",0.753079,0.755128,0.75376,0.000440215,110.734,192.148,110.734,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"Parametric","",0.2,0.4,"V",0.267456,0.28824,0.274952,0.00443983,5.62727,5.62727,9.38831,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"Parametric","",0.5,0.9,"V",0.752985,0.755034,0.753666,0.000415025,117.53,203.735,117.53,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"Parametric","",0.2,0.4,"V",0.267057,0.286463,0.275212,0.00446703,5.61236,5.61236,9.31179,61,0,0,0.232896,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"Parametric","",0.2,0.4,"V",0.268078,0.287194,0.274568,0.00423975,5.86262,5.86262,9.86158,61,0,0,0.232896,***
