Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"W3,1",1,1,0,"1580",5,49701,""
2,"W4,1",1,1,0,"1580",5,24627,""
3,"W5,1",1,1,0,"2411",5,100229,""
4,"W6,1",1,1,0,"1431",5,94824,""
5,"W7,1",1,1,0,"65535",65535,129404,""
6,"W8,1",1,1,0,"1580",5,24619,""
7,"W9,2",1,1,0,"2412",5,199424,""
8,"W8,2",1,1,0,"1113",6,2459,""
9,"W8,2",1,1,0,"1113",6,2452,""
10,"W7,2",1,1,0,"1113",6,2455,""
11,"W7,2",1,1,0,"1113",6,2466,""
12,"W6,2",1,1,0,"65535",65535,132654,""
13,"W5,2",1,1,0,"1580",5,24580,""
14,"W4,2",1,1,0,"1431",5,92565,""
15,"W3,2",1,1,0,"2416",5,78756,""
16,"W2,2",1,1,0,"65535",65535,129177,""
17,"W1,3",1,1,0,"1580",5,24604,""
18,"W2,3",1,1,0,"1580",5,24586,""
19,"W3,3",1,1,0,"1431",5,112299,""
20,"W4,3",1,1,0,"1580",5,24596,""
21,"W5,3",1,1,0,"65535",65535,133783,""
22,"W6,3",1,1,0,"2426",5,114096,""
23,"W7,3",1,1,0,"2411",5,88629,""
24,"W8,3",1,1,0,"1580",5,24629,""
25,"W9,3",1,1,0,"1580",5,24590,""
26,"W10,3",1,1,0,"1431",5,114203,""
27,"W10,4",1,1,0,"65535",65535,121301,""
28,"W9,4",1,1,0,"65535",65535,115205,""
29,"W8,4",1,1,0,"1580",5,24618,""
30,"W7,4",1,1,0,"65535",65535,108930,""
31,"W6,4",1,1,0,"2416",5,92243,""
32,"W5,4",1,1,0,"65535",65535,120927,""
33,"W4,4",1,1,0,"65535",65535,107801,""
34,"W3,4",1,1,0,"65535",65535,142959,""
35,"W2,4",1,1,0,"2411",5,173417,""
36,"W1,4",1,1,0,"65535",65535,125350,""
37,"W1,5",1,1,0,"2412",5,110900,""
38,"W2,5",1,1,0,"2412",5,86847,""
39,"W3,5",1,1,0,"2416",5,67348,""
40,"W4,5",1,1,0,"2414",5,74527,""
41,"W5,5",1,1,0,"1431",5,94154,""
42,"W6,5",1,1,0,"2412",5,86073,""
43,"W7,5",1,1,0,"1580",5,24599,""
44,"W8,5",1,1,0,"1580",5,24587,""
45,"W9,5",1,1,0,"2411",5,77733,""
46,"W10,5",1,1,0,"1131",7,3851,""
47,"W10,6",1,1,0,"1580",5,24614,""
48,"W9,6",1,1,0,"2411",5,72463,""
49,"W8,6",1,1,0,"2426",5,105903,""
50,"W7,6",1,1,0,"1113",6,2480,""
51,"W7,6",1,1,0,"1113",6,2465,""
52,"W6,6",1,1,0,"2426",5,95257,""
53,"W5,6",1,1,0,"2412",5,88341,""
54,"W4,6",1,1,0,"65535",65535,108963,""
55,"W3,6",1,1,0,"1580",5,24642,""
56,"W2,6",1,1,0,"65535",65535,108784,""
57,"W1,6",1,1,0,"1580",5,24606,""
58,"W2,7",1,1,0,"1580",5,24650,""
59,"W3,7",1,1,0,"1580",5,24658,""
60,"W4,7",1,1,0,"65535",65535,111803,""
61,"W5,7",1,1,0,"65535",65535,110391,""
62,"W6,7",1,1,0,"2412",5,101682,""
63,"W7,7",1,1,0,"1431",5,111213,""
64,"W8,7",1,1,0,"2414",5,73961,""
65,"W9,7",1,1,0,"1580",5,24560,""
66,"W7,8",1,1,0,"1580",5,24588,""
67,"W6,8",1,1,0,"1580",5,24588,""
68,"W5,8",1,1,0,"2412",5,89447,""
69,"W4,8",1,1,0,"1580",5,24585,""
