Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.099776,0.100021,0.0998898,3.8341e-05,172.92,172.92,174.836,0,0,0.977075,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.00913934,0.0289021,0.0207679,0.00388714,83.9719,87.5337,83.9719,0,0,0.184935,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.013171,0.0329306,0.0241677,0.00427947,76.0089,79.7738,76.0089,0,0,0.184935,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0110988,0.034816,0.0257072,0.0045629,71.1749,74.9309,71.1749,0,0,0.184935,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00752886,0.00827791,0.00226446,0.00322241,103.208,103.676,103.208,0,0,0.184935,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",-0.000361633,0.0193974,0.00994742,0.00402193,82.0545,83.7034,82.0545,0,0,0.184935,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",0.00136082,0.0171724,0.00892289,0.00416459,79.3257,80.7541,79.3257,0,0,0.184935,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.000175588,0.0116836,0.00549621,0.003422,96.8736,97.9443,96.8736,0,0,0.184935,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.0059932,0.0257592,0.0173945,0.00462494,70.8194,73.3267,70.8194,0,0,0.184935,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.00813469,0.0239416,0.0183863,0.0042496,76.9965,79.8809,76.9965,0,0,0.184935,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.00064768,0.0164571,0.00660484,0.00393038,84.2492,85.3695,84.2492,0,0,0.184935,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.006107,0.00968786,0.00138984,0.00371812,89.5264,89.7756,89.5264,0,0,0.184935,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0909409,0.169887,0.125952,0.0185258,15.7267,20.2592,15.7267,0,0,0.184935,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0671143,0.225067,0.127205,0.0292136,9.95876,12.8616,9.95876,0,0,0.184935,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",440.984,764.738,584.062,68.8353,2.82879,2.82879,2.98267,0,0,0.184935,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.5,0.9,"V",0.751322,0.753995,0.752426,0.000423899,116.045,198.495,116.045,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.75101,0.753969,0.75241,0.000431025,114.139,195.201,114.139,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.748534,0.753659,0.75198,0.000600522,82.1616,139.867,82.1616,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.746169,0.75408,0.752215,0.000860887,57.2221,97.6569,57.2221,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.751164,0.754008,0.752325,0.00044889,109.659,187.37,109.659,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.747305,0.754078,0.752071,0.000734558,67.1282,114.387,67.1282,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.26554,0.279724,0.27219,0.00327691,7.34329,7.34329,13.0011,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.74729,0.754062,0.75217,0.000748226,65.8582,112.341,65.8582,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.745752,0.753606,0.751928,0.000867833,56.8742,96.7651,56.8742,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.264583,0.281494,0.271386,0.00348448,6.8289,6.8289,12.3035,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.26468,0.279717,0.271787,0.00328939,7.27458,7.27458,12.9926,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.749667,0.754219,0.752323,0.000533852,92.2084,157.549,92.2084,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"Parametric","",0.5,0.9,"V",0.747307,0.754023,0.752181,0.000742128,66.3943,113.269,66.3943,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"Parametric","",0.5,0.9,"V",0.745974,0.753546,0.752033,0.000853631,57.7796,98.4159,57.7796,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"Parametric","",0.2,0.4,"V",0.265501,0.280199,0.272207,0.00309524,7.77613,7.77613,13.7623,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"Parametric","",0.5,0.9,"V",0.745286,0.754109,0.752304,0.000967705,50.8748,86.9082,50.8748,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"Parametric","",0.5,0.9,"V",0.745246,0.754297,0.752384,0.000992814,49.5614,84.7371,49.5614,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"Parametric","",0.2,0.4,"V",0.265636,0.282307,0.271361,0.00355053,6.6996,6.6996,12.0769,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"Parametric","",0.5,0.9,"V",0.745069,0.753947,0.752152,0.000979626,50.3075,85.7988,50.3075,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"Parametric","",0.2,0.4,"V",0.26488,0.281166,0.272071,0.00331051,7.25675,7.25675,12.8812,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"Parametric","",0.2,0.4,"V",0.264275,0.281989,0.270875,0.00367157,6.43457,6.43457,11.723,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_7",110022,"Parametric","",0.2,0.4,"V",0.266582,0.28133,0.272354,0.00322257,7.48408,7.48408,13.2033,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_2",110023,"Parametric","",0.5,0.9,"V",0.745226,0.753654,0.752055,0.000931478,52.9427,90.1989,52.9427,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_15",110024,"Parametric","",0.5,0.9,"V",0.74894,0.753949,0.752146,0.000579454,85.0539,145.048,85.0539,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_pmon_d_clk0_pad_o",110025,"Parametric","",0.2,0.4,"V",0.264309,0.282125,0.271461,0.00339324,7.01996,7.01996,12.6269,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_18",110026,"Parametric","",0.2,0.4,"V",0.264589,0.280134,0.271904,0.00339337,7.0632,7.0632,12.5829,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_8",110027,"Parametric","",0.2,0.4,"V",0.265957,0.281281,0.272392,0.00334441,7.21522,7.21522,12.7186,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_14",110028,"Parametric","",0.2,0.4,"V",0.265165,0.28128,0.272284,0.003487,6.90989,6.90989,12.2088,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_20",110029,"Parametric","",0.5,0.9,"V",0.749901,0.753716,0.752097,0.000479343,102.851,175.307,102.851,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_rstn_pad_i",110030,"Parametric","",0.5,0.9,"V",0.746,0.7542,0.752319,0.000895161,54.9921,93.9568,54.9921,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_12",110031,"Parametric","",0.2,0.4,"V",0.266214,0.281134,0.27229,0.00318644,7.56227,7.56227,13.3597,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_24",110032,"Parametric","",0.5,0.9,"V",0.750227,0.753869,0.752226,0.000474174,103.882,177.309,103.882,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_shiftwr_pad_i",110033,"Parametric","",0.5,0.9,"V",0.746503,0.754417,0.752422,0.000853595,57.6301,98.5721,57.6301,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_wrstn_pad_i",110034,"Parametric","",0.5,0.9,"V",0.746823,0.754222,0.752371,0.00081372,60.4748,103.382,60.4748,0,0,0.197358,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_12",110035,"Parametric","",0.5,0.9,"V",0.748483,0.754175,0.752409,0.000644704,76.3096,130.504,76.3096,0,0,0.197358,***
