Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"W3,1",1,1,0,"1113",6,2940,""
2,"W3,1",1,1,0,"1580",5,88460,""
3,"W4,1",1,1,0,"1580",5,25077,""
4,"W5,1",1,1,0,"1580",5,24102,""
5,"W6,1",1,1,0,"1580",5,24210,""
6,"W7,1",1,1,0,"1412",5,35713,""
7,"W8,1",1,1,0,"1580",5,25058,""
8,"W9,2",1,1,0,"1413",5,19876,""
9,"W8,2",1,1,0,"1580",5,24092,""
10,"W7,2",1,1,0,"1411",5,24509,""
11,"W6,2",1,1,1,"2",2,123814,""
12,"W5,2",1,1,0,"1580",5,24296,""
13,"W4,2",1,1,0,"1580",5,24191,""
14,"W3,2",1,1,1,"2",2,125660,""
15,"W2,2",1,1,1,"2",2,118660,""
16,"W1,3",1,1,0,"1434",5,20632,""
17,"W2,3",1,1,1,"2",2,113843,""
18,"W3,3",1,1,1,"2",2,114514,""
19,"W4,3",1,1,1,"2",2,117039,""
20,"W5,3",1,1,1,"2",2,113934,""
21,"W6,3",1,1,1,"2",2,119690,""
22,"W7,3",1,1,1,"2",2,115497,""
23,"W8,3",1,1,1,"2",2,109359,""
24,"W9,3",1,1,0,"1580",5,24136,""
25,"W10,3",1,1,0,"1580",5,24083,""
26,"W10,4",1,1,1,"4",4,93233,""
27,"W9,4",1,1,1,"2",2,124473,""
28,"W8,4",1,1,0,"1580",5,24081,""
29,"W7,4",1,1,1,"2",2,116960,""
30,"W6,4",1,1,0,"1580",5,24089,""
31,"W5,4",1,1,0,"1580",5,24082,""
32,"W4,4",1,1,1,"3",3,125657,""
33,"W3,4",1,1,1,"2",2,107022,""
34,"W2,4",1,1,0,"1580",5,24097,""
35,"W1,4",1,1,1,"2",2,113252,""
36,"W1,5",1,1,0,"1580",5,24224,""
37,"W2,5",1,1,0,"1580",5,24095,""
38,"W3,5",1,1,0,"1412",5,33692,""
39,"W4,5",1,1,0,"1580",5,24180,""
40,"W5,5",1,1,0,"1580",5,24111,""
41,"W6,5",1,1,1,"2",2,121453,""
42,"W7,5",1,1,1,"4",4,76753,""
43,"W8,5",1,1,1,"2",2,113912,""
44,"W9,5",1,1,0,"1580",5,24147,""
45,"W10,5",1,1,0,"1580",5,24098,""
46,"W10,6",1,1,0,"1407",5,22938,""
47,"W9,6",1,1,0,"1580",5,24123,""
48,"W8,6",1,1,1,"2",2,116722,""
49,"W7,6",1,1,0,"1411",5,24458,""
50,"W6,6",1,1,1,"4",4,86140,""
51,"W5,6",1,1,0,"1580",5,24117,""
52,"W4,6",1,1,0,"1580",5,24074,""
53,"W3,6",1,1,1,"2",2,107271,""
54,"W2,6",1,1,1,"4",4,83315,""
55,"W1,6",1,1,0,"1407",5,25513,""
56,"W2,7",1,1,0,"1407",5,20243,""
57,"W3,7",1,1,0,"1411",5,24462,""
58,"W4,7",1,1,1,"4",4,80887,""
59,"W5,7",1,1,0,"1412",5,33678,""
60,"W6,7",1,1,0,"1412",5,33746,""
61,"W7,7",1,1,1,"2",2,115473,""
62,"W8,7",1,1,0,"1412",5,38926,""
63,"W9,7",1,1,0,"1580",5,24096,""
64,"W7,8",1,1,0,"1407",5,23912,""
65,"W6,8",1,1,0,"1407",5,22864,""
66,"W5,8",1,1,0,"1407",5,22874,""
67,"W4,8",1,1,0,"1580",5,24071,""
