SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"1580","PMBIST_Post_repair_Func_fail",1,40.9,27,40.9,1,0
"4","TOP ONLY",1,9.1,6,9.1,1,0
"1412","TOP_SAF4_CORE_ROW_0_7_LOGIC_Fail",1,9.1,6,9.1,1,0
"1411","TOP_SAF4_CORE_ROW_0_7_SCAN_Fail",1,10.6,7,10.6,1,0
"1131","IDD_static_fail",1,3,2,3,1,0
"2","Medium",1,10.6,7,10.6,1,0
"1493","TOP_SAF4_COL_ROW_SCAN_Fail",1,1.5,1,1.5,1,0
"1408","PMBIST_BWE_Func_fail",1,1.5,1,1.5,1,0
"1407","PMBIST_POST_BURN_fail",1,10.6,7,10.6,1,0
"1434","TOP_SAF4_COL_ROW_LOGIC_Fail",1,1.5,1,1.5,1,0
"1001","supply_short_fail",1,1.5,1,1.5,1,0
